Company,Year_term,Lighting_Fixed rate lighting,Lighting_Meter rate lighting A/B,Lighting_Meter rate lighting C,Lighting_Temporary lighting,Lighting_Agricultural lighting,Lighting_Public street lighting,Lighting_Total Lighting - optional contracs,Lighting_Total Lighting - optional contracs2,Lighting_Total Lighting,Power_Commercial use power - optional contracts,Power_Commercial use power,Power_Small use power_Low voltage power - optipnal contracts,Power_Small use power_Low voltage power,Power_Small use power_High voltage power A - optinal contracts,Power_Small use power_High voltage power A,Power_Small use power_Total Small use power - optional contracts,Power_Small use power_Total Small use power,Power_High voltage power B - optional contracts,Power_High voltage power B,Power_Other power services_Temporary power,Power_Other power services_Agricultural power,Power_Other power services_Construction power,Power_Other power services_Business use power,Power_Other power services_High voltage power B - optional contracts,Power_Other power services_High voltage power B,Power_Other power services_Commercial use power,Power_Other power services_High voltage power A/B,Power_Other power services_Other power services - optional contracts,Power_Other power services_Total Other power services,Power_Total Power - optional contracts,Power_Total Power,Total of Lighting and Power
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Okinawa,199503,3106,537330,,4412,,53018,,,599855,,,,54950,,1051,,56001,,,,,,,,,,,,,,,
Hokkaido,199502,60467,2392770,69546,8443,,543173,,,3096112,,,,187414,,9868,,197282,,,,,,,,,,,,,,,
Tohoku,199502,114599,4533620,163386,34489,0,968159,,,5820323,,,,826594,,26570,,853164,,,,,,,,,,,,,,,
Tokyo,199502,398045,16985668,943433,104802,,3060890,,,21528102,,,,2030815,,76827,,2107642,,,,,,,,,,,,,,,
Chubu,199502,133134,5818003,364679,55835,2116,1150898,,,7540481,,,,924431,,50384,,974815,,,,,,,,,,,,,,,
Hokuriku,199502,27263,1112703,60429,11328,0,232172,,,1449627,,,,230250,,9776,,240026,,,,,,,,,,,,,,,
Kansai,199502,137392,8416125,226266,43710,0,1427069,,,10275340,,,,974771,,43495,,1018266,,,,,,,,,,,,,,,
Chugoku,199502,62415,3349275,56236,26165,252,489129,,,4002789,,,,389007,,18736,,407743,,,,,,,,,,,,,,,
Shikoku,199502,32371,1812216,37637,15808,,243680,,,2150127,,,,246234,,10072,,256306,,,,,,,,,,,,,,,
Kyushu,199502,104221,5504750,158904,46443,220,448854,,,6274468,,,,727828,,20373,,748201,,,,,,,,,,,,,,,
Okinawa,199502,3107,535371,,4492,,52918,,,597808,,,,55085,,1048,,56133,,,,,,,,,,,,,,,
Hokkaido,199501,60419,2390386,69376,9686,,542637,,,3092448,,,,187436,,9884,,197320,,,,,,,,,,,,,,,
Tohoku,199501,114587,4528401,163025,31803,0,966383,,,5810112,,,,826977,,26558,,853535,,,,,,,,,,,,,,,
Tokyo,199501,397841,16956861,940276,101238,,3056699,,,21486344,,,,2032220,,76865,,2109085,,,,,,,,,,,,,,,
Chubu,199501,132850,5810342,363483,53548,2126,1149823,,,7527777,,,,925029,,50377,,975406,,,,,,,,,,,,,,,
Hokuriku,199501,27217,1111696,60247,10972,0,231691,,,1447328,,,,230429,,9766,,240195,,,,,,,,,,,,,,,
Kansai,199501,137364,8488866,227453,44284,0,1425889,,,10348126,,,,983808,,43575,,1027383,,,,,,,,,,,,,,,
Chugoku,199501,62310,3345829,56219,25033,254,488214,,,3996361,,,,389296,,18736,,408032,,,,,,,,,,,,,,,
Shikoku,199501,32371,1810071,37596,14958,,243230,,,2146446,,,,246330,,10059,,256389,,,,,,,,,,,,,,,
Kyushu,199501,104020,5503044,158465,43406,219,446816,,,6266880,,,,728081,,20354,,748435,,,,,,,,,,,,,,,
Okinawa,199501,3099,534313,,4383,,52894,,,596526,,,,55211,,1044,,56255,,,,,,,,,,,,,,,
Hokkaido,199412,60283,2394981,69028,13708,,539455,,,3095459,,,,187475,,9866,,197341,,,,,,,,,,,,,,,
Tohoku,199412,114431,4523133,162361,39006,0,963276,,,5807813,,,,827020,,26538,,853558,,,,,,,,,,,,,,,
Tokyo,199412,397418,16941320,936225,101942,,3050785,,,21460682,,,,2031477,,76896,,2108373,,,,,,,,,,,,,,,
Chubu,199412,132589,5804352,361713,53941,2054,1146788,,,7516810,,,,924912,,50368,,975280,,,,,,,,,,,,,,,
Hokuriku,199412,27159,1111315,59853,11804,0,231014,,,1446467,,,,230522,,9769,,240291,,,,,,,,,,,,,,,
Kansai,199412,136989,8472060,226710,43157,,1422509,,,10324761,,,,982990,,43536,,1026526,,,,,,,,,,,,,,,
Chugoku,199412,61988,3344014,56111,24938,257,487249,,,3992179,,,,389229,,18730,,407959,,,,,,,,,,,,,,,
Shikoku,199412,32478,1808860,37513,14854,,242257,,,2144063,,,,246340,,10062,,256402,,,,,,,,,,,,,,,
Kyushu,199412,103793,5498265,157731,42897,352,445673,,,6259369,,,,727418,,20321,,747739,,,,,,,,,,,,,,,
Okinawa,199412,3103,534231,,4325,,52545,,,595941,,,,55299,,1043,,56342,,,,,,,,,,,,,,,
Hokkaido,199411,60169,2397341,68748,14995,,537897,,,3095516,,,,187488,,9858,,197346,,,,,,,,,,,,,,,
Tohoku,199411,114371,4518020,161609,35402,0,960721,,,5795523,,,,826976,,26513,,853489,,,,,,,,,,,,,,,
Tokyo,199411,396978,16925274,932305,98911,,3045183,,,21430244,,,,2030856,,76865,,2107721,,,,,,,,,,,,,,,
Chubu,199411,132423,5796240,360143,52470,1625,1144197,,,7502268,,,,924538,,50310,,974848,,,,,,,,,,,,,,,
Hokuriku,199411,27139,1110297,59511,12127,0,230260,,,1444482,,,,230525,,9759,,240284,,,,,,,,,,,,,,,
Kansai,199411,136783,8465415,226129,44570,0,1420716,,,10316146,,,,982676,,43519,,1026195,,,,,,,,,,,,,,,
Chugoku,199411,61762,3341657,55946,24456,241,486224,,,3987023,,,,389061,,18712,,407773,,,,,,,,,,,,,,,
Shikoku,199411,32452,1807737,37401,14209,,240961,,,2140636,,,,246233,,10055,,256288,,,,,,,,,,,,,,,
Kyushu,199411,103568,5493799,157034,40761,1465,443637,,,6250458,,,,726642,,20279,,746921,,,,,,,,,,,,,,,
Okinawa,199411,3091,533444,,4038,,52410,,,594522,,,,55401,,1042,,56443,,,,,,,,,,,,,,,
Hokkaido,199410,59949,2397722,68398,17766,,536615,,,3095274,,,,187350,,9857,,197207,,,,,,,,,,,,,,,
Tohoku,199410,114354,4512678,160820,35427,0,958604,,,5787070,,,,827168,,26439,,853607,,,,,,,,,,,,,,,
Tokyo,199410,396607,16909023,928716,93981,,3039471,,,21398576,,,,2030672,,76865,,2107537,,,,,,,,,,,,,,,
Chubu,199410,132226,5790362,358804,50158,1302,1141312,,,7489199,,,,924546,,50228,,974774,,,,,,,,,,,,,,,
Hokuriku,199410,27138,1109628,59276,11632,17,229508,,,1442023,,,,230630,,9753,,240383,,,,,,,,,,,,,,,
Kansai,199410,136484,8459339,225617,43302,0,1418632,,,10305182,,,,982321,,43502,,1025823,,,,,,,,,,,,,,,
Chugoku,199410,61678,3338771,55829,23428,252,485212,,,3981143,,,,389022,,18706,,407728,,,,,,,,,,,,,,,
Shikoku,199410,32425,1806113,37312,13568,,240325,,,2137516,,,,246116,,10006,,256122,,,,,,,,,,,,,,,
Kyushu,199410,103386,5487671,156416,38898,2589,442253,,,6241053,,,,726158,,20231,,746389,,,,,,,,,,,,,,,
Okinawa,199410,3089,533501,,3788,,52289,,,594062,,,,55382,,1039,,56421,,,,,,,,,,,,,,,
Hokkaido,199409,59785,2391977,68178,17675,,535620,,,3087357,,,,187247,,9838,,197085,,,,,,,,,,,,,,,
Tohoku,199409,114299,4507304,160206,33135,0,956245,,,5776235,,,,826604,,26367,,852971,,,,,,,,,,,,,,,
Tokyo,199409,396176,16887052,924780,91206,,3034288,,,21363656,,,,2030745,,76826,,2107571,,,,,,,,,,,,,,,
Chubu,199409,131958,5781626,357613,47645,1321,1138599,,,7473539,,,,924384,,50178,,974562,,,,,,,,,,,,,,,
Hokuriku,199409,27125,1108333,59023,11076,22,228845,,,1439084,,,,230709,,9745,,240454,,,,,,,,,,,,,,,
Kansai,199409,136436,8448273,225102,41348,0,1417344,,,10289541,,,,982083,,43493,,1025576,,,,,,,,,,,,,,,
Chugoku,199409,61494,3334868,55717,22997,264,484134,,,3974804,,,,388928,,18678,,407606,,,,,,,,,,,,,,,
Shikoku,199409,32430,1804279,37228,13280,,239668,,,2134560,,,,245981,,9978,,255959,,,,,,,,,,,,,,,
Kyushu,199409,103208,5481342,155825,37876,3486,440763,,,6232121,,,,725825,,20197,,746022,,,,,,,,,,,,,,,
Okinawa,199409,3085,532357,,3733,,52227,,,592632,,,,55337,,1037,,56374,,,,,,,,,,,,,,,
Hokkaido,199408,59653,2391576,68019,17269,,534207,,,3083858,,,,186873,,9822,,196695,,,,,,,,,,,,,,,
Tohoku,199408,114228,4502998,159664,32784,0,954028,,,5768574,,,,826138,,26328,,852466,,,,,,,,,,,,,,,
Tokyo,199408,395871,16875821,920967,92013,,3029788,,,21344219,,,,2029844,,76797,,2106641,,,,,,,,,,,,,,,
Chubu,199408,131774,5774972,356000,48480,1244,1135650,,,7462756,,,,924028,,50167,,974195,,,,,,,,,,,,,,,
Hokuriku,199408,27088,1107807,58740,10530,7,228045,,,1436750,,,,230613,,9723,,240336,,,,,,,,,,,,,,,
Kansai,199408,136520,8435633,224539,40296,0,1414741,,,10272078,,,,981233,,43475,,1024708,,,,,,,,,,,,,,,
Chugoku,199408,61336,3333187,55610,22510,171,483318,,,3970517,,,,388658,,18668,,407326,,,,,,,,,,,,,,,
Shikoku,199408,32420,1802625,37170,13107,,238939,,,2131799,,,,245821,,9970,,255791,,,,,,,,,,,,,,,
Kyushu,199408,103037,5478577,155060,37254,3093,439124,,,6225549,,,,725152,,20141,,745293,,,,,,,,,,,,,,,
Okinawa,199408,3079,532179,,3667,,52126,,,592118,,,,55282,,1037,,56319,,,,,,,,,,,,,,,
Hokkaido,199407,59539,2390165,67810,16032,,532845,,,3078668,,,,186563,,9803,,196366,,,,,,,,,,,,,,,
Tohoku,199407,114249,4498827,158895,29722,0,952452,,,5758889,,,,825148,,26298,,851446,,,,,,,,,,,,,,,
Tokyo,199407,395596,16863289,916594,90810,,3026044,,,21321741,,,,2027526,,76812,,2104338,,,,,,,,,,,,,,,
Chubu,199407,131579,5769689,354094,44855,695,1133567,,,7448981,,,,923273,,50126,,973399,,,,,,,,,,,,,,,
Hokuriku,199407,27044,1106677,58370,10325,0,227131,,,1433974,,,,230465,,9718,,240183,,,,,,,,,,,,,,,
Kansai,199407,136309,8456258,224094,38155,0,1413018,,,10287572,,,,981153,,43551,,1024704,,,,,,,,,,,,,,,
Chugoku,199407,61223,3330570,55494,22079,131,482668,,,3965557,,,,387978,,18679,,406657,,,,,,,,,,,,,,,
Shikoku,199407,32429,1801156,37068,12951,,238584,,,2129624,,,,245446,,9966,,255412,,,,,,,,,,,,,,,
Kyushu,199407,102855,5474998,154019,37109,1508,437843,,,6217486,,,,723352,,20126,,743478,,,,,,,,,,,,,,,
Okinawa,199407,3077,531037,,3511,,52062,,,590619,,,,55041,,1035,,56076,,,,,,,,,,,,,,,
Hokkaido,199406,59472,2385197,67600,13960,,531719,,,3069821,,,,186301,,9797,,196098,,,,,,,,,,,,,,,
Tohoku,199406,114388,4495800,158438,23951,0,949907,,,5747049,,,,824671,,26291,,850962,,,,,,,,,,,,,,,
Tokyo,199406,395061,16842937,912375,81407,,3022948,,,21283660,,,,2024870,,76865,,2101735,,,,,,,,,,,,,,,
Chubu,199406,131372,5763449,352783,41733,748,1132081,,,7436500,,,,922888,,50117,,973005,,,,,,,,,,,,,,,
Hokuriku,199406,27021,1105969,58197,9563,0,226316,,,1431302,,,,230417,,9722,,240139,,,,,,,,,,,,,,,
Kansai,199406,136123,8448267,223684,36637,0,1411816,,,10275511,,,,980283,,43563,,1023846,,,,,,,,,,,,,,,
Chugoku,199406,61126,3328014,55417,21060,136,481676,,,3959740,,,,387390,,18647,,406037,,,,,,,,,,,,,,,
Shikoku,199406,32397,1799276,37006,12447,,238181,,,2126603,,,,245195,,9953,,255148,,,,,,,,,,,,,,,
Kyushu,199406,102739,5468910,153254,35847,533,436301,,,6206691,,,,722139,,20123,,742262,,,,,,,,,,,,,,,
Okinawa,199406,3077,530651,,3525,,52016,,,590172,,,,54888,,1032,,55920,,,,,,,,,,,,,,,
Hokkaido,199405,59328,2385043,67488,12856,,531485,,,3067884,,,,186358,,9806,,196164,,,,,,,,,,,,,,,
Tohoku,199405,114447,4491045,158217,20534,0,946839,,,5735548,,,,824526,,26269,,850795,,,,,,,,,,,,,,,
Tokyo,199405,394990,16827128,909250,77198,,3019632,,,21256582,,,,2023549,,76844,,2100393,,,,,,,,,,,,,,,
Chubu,199405,131134,5760314,351689,38751,962,1130651,,,7427733,,,,922689,,50144,,972833,,,,,,,,,,,,,,,
Hokuriku,199405,26995,1105343,58058,8699,0,225464,,,1428606,,,,230477,,9727,,240204,,,,,,,,,,,,,,,
Kansai,199405,135857,8436491,223131,35521,0,1410350,,,10259537,,,,979347,,43582,,1022929,,,,,,,,,,,,,,,
Chugoku,199405,61001,3324038,55343,19816,143,480826,,,3952789,,,,386981,,18645,,405626,,,,,,,,,,,,,,,
Shikoku,199405,32341,1797116,36942,12168,,237539,,,2123314,,,,245032,,9946,,254978,,,,,,,,,,,,,,,
Kyushu,199405,102568,5449498,152767,33187,469,434423,,,6181948,,,,721082,,20101,,741183,,,,,,,,,,,,,,,
Okinawa,199405,3074,529977,,3688,,51938,,,589540,,,,54691,,1029,,55720,,,,,,,,,,,,,,,
Hokkaido,199404,59085,2387146,67412,10030,,530670,,,3065458,,,,186461,,9841,,196302,,,,,,,,,,,,,,,
Tohoku,199404,114402,4478013,157809,23680,0,944650,,,5722895,,,,824658,,26231,,850889,,,,,,,,,,,,,,,
Tokyo,199404,394399,16797774,906272,79350,,3013875,,,21219539,,,,2023121,,76829,,2099950,,,,,,,,,,,,,,,
Chubu,199404,130698,5754649,350412,40121,1619,1128690,,,7420284,,,,922652,,50109,,972761,,,,,,,,,,,,,,,
Hokuriku,199404,27086,1103816,57896,8488,0,224414,,,1425552,,,,230626,,9727,,240353,,,,,,,,,,,,,,,
Kansai,199404,135576,8406996,222496,34301,0,1407592,,,10224100,,,,978519,,43560,,1022079,,,,,,,,,,,,,,,
Chugoku,199404,60705,3313931,55220,20573,176,479351,,,3940969,,,,386693,,18628,,405321,,,,,,,,,,,,,,,
Shikoku,199404,32244,1793428,36819,12755,,236665,,,2119084,,,,244866,,9931,,254797,,,,,,,,,,,,,,,
Kyushu,199404,102387,5405915,152204,34966,209,432315,,,6136939,,,,720750,,20070,,740820,,,,,,,,,,,,,,,
Okinawa,199404,3054,530201,,4072,,51780,,,589911,,,,54484,,1028,,55512,,,,,,,,,,,,,,,
Hokkaido,199403,58895,2389402,67294,8142,,530167,,,3064144,,,,186502,,9831,,196333,,,,,,,,,,,,,,,
Tohoku,199403,113886,4467930,157286,28146,0,939254,,,5710651,,,,824963,,26212,,851175,,,,,,,,,,,,,,,
Tokyo,199403,393098,16757350,901764,99642,,3006238,,,21184785,,,,2022418,,76853,,2099271,,,,,,,,,,,,,,,
Chubu,199403,130221,5736221,348935,51678,2047,1124785,,,7407468,,,,922173,,50085,,972258,,,,,,,,,,,,,,,
Hokuriku,199403,27005,1099923,57677,9898,1,223037,,,1421206,,,,230607,,9703,,240310,,,,,,,,,,,,,,,
Kansai,199403,135127,8390511,221760,39162,0,1404612,,,10207199,,,,977976,,43590,,1021566,,,,,,,,,,,,,,,
Chugoku,199403,60121,3304805,55070,24445,230,477871,,,3932940,,,,386559,,18616,,405175,,,,,,,,,,,,,,,
Shikoku,199403,32098,1789307,36676,14825,,235840,,,2115880,,,,244775,,9941,,254716,,,,,,,,,,,,,,,
Kyushu,199403,101589,5425956,151504,43470,147,428441,,,6159929,,,,720472,,19984,,740456,,,,,,,,,,,,,,,
Okinawa,199403,3060,528286,,4168,,50833,,,587123,,,,54490,,1024,,55514,,,,,,,,,,,,,,,
Hokkaido,199402,58793,2365007,67148,7986,,530061,,,3038851,,,,186563,,9823,,196386,,,,,,,,,,,,,,,
Tohoku,199402,113654,4464858,156914,24168,0,937189,,,5700768,,,,825381,,26188,,851569,,,,,,,,,,,,,,,
Tokyo,199402,392184,16746547,898008,105582,,2999609,,,21167887,,,,2021977,,76788,,2098765,,,,,,,,,,,,,,,
Chubu,199402,129936,5726288,347820,55304,2202,1122656,,,7397419,,,,922271,,50031,,972302,,,,,,,,,,,,,,,
Hokuriku,199402,26946,1098534,57469,10659,0,222327,,,1419459,,,,230648,,9687,,240335,,,,,,,,,,,,,,,
Kansai,199402,134822,8387611,221402,42018,0,1402948,,,10204003,,,,978116,,43582,,1021698,,,,,,,,,,,,,,,
Chugoku,199402,59796,3303741,55045,25444,258,477624,,,3931526,,,,386637,,18600,,405237,,,,,,,,,,,,,,,
Shikoku,199402,32102,1788294,36584,15071,,235194,,,2114282,,,,244708,,9924,,254632,,,,,,,,,,,,,,,
Kyushu,199402,101235,5434589,150996,44414,146,427113,,,6167186,,,,720540,,19940,,740480,,,,,,,,,,,,,,,
Okinawa,199402,3060,526378,,4150,,50592,,,584916,,,,54602,,1021,,55623,,,,,,,,,,,,,,,
Hokkaido,199401,58704,2362667,66963,9228,,529002,,,3036212,,,,186563,,9828,,196391,,,,,,,,,,,,,,,
Tohoku,199401,113446,4461561,156626,23786,0,935320,,,5694628,,,,825859,,26182,,852041,,,,,,,,,,,,,,,
Tokyo,199401,391697,16723337,895224,101681,,2993517,,,21130705,,,,2022956,,76889,,2099845,,,,,,,,,,,,,,,
Chubu,199401,129773,5719901,346593,53025,2235,1120932,,,7385444,,,,922922,,50036,,972958,,,,,,,,,,,,,,,
Hokuriku,199401,26939,1098090,57309,10235,0,221767,,,1417678,,,,230880,,9699,,240579,,,,,,,,,,,,,,,
Kansai,199401,134699,8384982,221246,43727,0,1401181,,,10200389,,,,978996,,43622,,1022618,,,,,,,,,,,,,,,
Chugoku,199401,59663,3302347,55025,24555,303,476489,,,3927321,,,,387039,,18577,,405616,,,,,,,,,,,,,,,
Shikoku,199401,32093,1787045,36569,14350,,234414,,,2111284,,,,244934,,9915,,254849,,,,,,,,,,,,,,,
Kyushu,199401,101091,5433533,150700,41510,149,425569,,,6161054,,,,721183,,19908,,741091,,,,,,,,,,,,,,,
Okinawa,199401,3054,526043,,3984,,50372,,,584146,,,,54721,,1017,,55738,,,,,,,,,,,,,,,
Hokkaido,199312,58479,2366265,66617,13279,,527063,,,3040898,,,,186525,,9830,,196355,,,,,,,,,,,,,,,
Tohoku,199312,113285,4456470,155892,30131,0,932403,,,5691931,,,,826012,,26205,,852217,,,,,,,,,,,,,,,
Tokyo,199312,391133,16707826,891476,102557,,2986910,,,21104583,,,,2023283,,76918,,2100201,,,,,,,,,,,,,,,
Chubu,199312,129484,5715222,345053,53769,2171,1118068,,,7376551,,,,923083,,50040,,973123,,,,,,,,,,,,,,,
Hokuriku,199312,26897,1097576,56972,10939,0,220903,,,1416444,,,,231008,,9681,,240689,,,,,,,,,,,,,,,
Kansai,199312,134507,8377724,220672,41596,0,1397563,,,10185804,,,,978633,,43645,,1022278,,,,,,,,,,,,,,,
Chugoku,199312,59506,3300939,54912,24397,322,475208,,,3923521,,,,387138,,18549,,405687,,,,,,,,,,,,,,,
Shikoku,199312,32067,1786078,36486,14126,,233428,,,2108653,,,,244965,,9906,,254871,,,,,,,,,,,,,,,
Kyushu,199312,100929,5428476,150038,41773,286,423428,,,6153209,,,,720819,,19858,,740677,,,,,,,,,,,,,,,
Okinawa,199312,3050,525231,,3828,,50307,,,583039,,,,54813,,1016,,55829,,,,,,,,,,,,,,,
Hokkaido,199311,58271,2365112,66308,15491,,525031,,,3038960,,,,186535,,9811,,196346,,,,,,,,,,,,,,,
Tohoku,199311,113297,4451873,155663,27360,0,929892,,,5681593,,,,826301,,26146,,852447,,,,,,,,,,,,,,,
Tokyo,199311,390596,16692567,887767,99455,,2982656,,,21076840,,,,2022882,,76918,,2099800,,,,,,,,,,,,,,,
Chubu,199311,129245,5709563,343580,51828,1724,1114969,,,7363510,,,,922938,,50008,,972946,,,,,,,,,,,,,,,
Hokuriku,199311,26854,1096756,56684,11044,0,220170,,,1414513,,,,231134,,9684,,240818,,,,,,,,,,,,,,,
Kansai,199311,134065,8371684,220086,43622,0,1395318,,,10177565,,,,978579,,43635,,1022214,,,,,,,,,,,,,,,
Chugoku,199311,59350,3298465,54738,23349,262,474142,,,3917621,,,,387046,,18519,,405565,,,,,,,,,,,,,,,
Shikoku,199311,32102,1785082,36379,13474,,232278,,,2105428,,,,244862,,9913,,254775,,,,,,,,,,,,,,,
Kyushu,199311,100771,5423382,149454,39967,1419,421628,,,6144460,,,,720315,,19798,,740113,,,,,,,,,,,,,,,
Okinawa,199311,3056,524956,,3552,,50700,,,582832,,,,54895,,1013,,55908,,,,,,,,,,,,,,,
Hokkaido,199310,58122,2363825,66075,16701,,523288,,,3036341,,,,186464,,9792,,196256,,,,,,,,,,,,,,,
Tohoku,199310,113196,4446845,155163,28358,0,927286,,,5674218,,,,826424,,26073,,852497,,,,,,,,,,,,,,,
Tokyo,199310,390128,16678822,884618,93032,,2976309,,,21045991,,,,2022822,,76900,,2099722,,,,,,,,,,,,,,,
Chubu,199310,128825,5703344,342445,47945,1349,1112075,,,7348400,,,,922954,,49985,,972939,,,,,,,,,,,,,,,
Hokuriku,199310,26793,1096024,56480,10614,17,219510,,,1412236,,,,231349,,9677,,241026,,,,,,,,,,,,,,,
Kansai,199310,133623,8363836,219493,41511,0,1393071,,,10163612,,,,978451,,43615,,1022066,,,,,,,,,,,,,,,
Chugoku,199310,59129,3296412,54633,21731,275,472794,,,3911599,,,,387117,,18499,,405616,,,,,,,,,,,,,,,
Shikoku,199310,32110,1783328,36276,12860,,231678,,,2102126,,,,244765,,9904,,254669,,,,,,,,,,,,,,,
Kyushu,199310,100567,5417115,148969,36460,2593,419862,,,6133078,,,,720326,,19726,,740052,,,,,,,,,,,,,,,
Okinawa,199310,3056,524507,,3201,,50615,,,581823,,,,54940,,1014,,55954,,,,,,,,,,,,,,,
Hokkaido,199309,57990,2359034,65892,16166,,519576,,,3026769,,,,186330,,9782,,196112,,,,,,,,,,,,,,,
Tohoku,199309,113174,4441769,155108,26299,0,924006,,,5663606,,,,826411,,26038,,852449,,,,,,,,,,,,,,,
Tokyo,199309,389552,16664529,881221,89996,,2971332,,,21019057,,,,2023192,,76909,,2100101,,,,,,,,,,,,,,,
Chubu,199309,128361,5695663,341427,44973,1365,1109421,,,7333307,,,,923043,,49963,,973006,,,,,,,,,,,,,,,
Hokuriku,199309,26851,1094495,56340,10110,22,218577,,,1408961,,,,231490,,9669,,241159,,,,,,,,,,,,,,,
Kansai,199309,133361,8355335,218947,38961,0,1390885,,,10148887,,,,978199,,43603,,1021802,,,,,,,,,,,,,,,
Chugoku,199309,58994,3293573,54541,20659,282,471771,,,3905978,,,,387314,,18471,,405785,,,,,,,,,,,,,,,
Shikoku,199309,32124,1781774,36149,12259,,230956,,,2098908,,,,244789,,9891,,254680,,,,,,,,,,,,,,,
Kyushu,199309,100465,5412020,148635,34100,3357,418438,,,6124311,,,,720833,,19689,,740522,,,,,,,,,,,,,,,
Okinawa,199309,3058,523450,,3039,,50634,,,580493,,,,54831,,1016,,55847,,,,,,,,,,,,,,,
Hokkaido,199308,57873,2359318,65649,16701,,522619,,,3030130,,,,186068,,9740,,195808,,,,,,,,,,,,,,,
Tohoku,199308,113182,4439173,154811,26311,0,920863,,,5657473,,,,826546,,25990,,852536,,,,,,,,,,,,,,,
Tokyo,199308,389045,16656134,878208,88792,,2966798,,,21000695,,,,2023078,,76901,,2099979,,,,,,,,,,,,,,,
Chubu,199308,128153,5690683,340464,44781,1289,1106516,,,7323678,,,,923122,,49934,,973056,,,,,,,,,,,,,,,
Hokuriku,199308,26871,1093907,56189,9344,6,217828,,,1406549,,,,231552,,9674,,241226,,,,,,,,,,,,,,,
Kansai,199308,133229,8349734,218490,37575,0,1388529,,,10138418,,,,977973,,43575,,1021548,,,,,,,,,,,,,,,
Chugoku,199308,58827,3291430,54471,19433,168,470717,,,3900752,,,,387418,,18447,,405865,,,,,,,,,,,,,,,
Shikoku,199308,32097,1780937,36090,11909,,230321,,,2096856,,,,244755,,9860,,254615,,,,,,,,,,,,,,,
Kyushu,199308,100372,5410066,148228,32316,2975,417223,,,6118290,,,,721184,,19632,,740816,,,,,,,,,,,,,,,
Okinawa,199308,3050,523066,,2914,,50479,,,579756,,,,54714,,1017,,55731,,,,,,,,,,,,,,,
Hokkaido,199307,57792,2358143,65495,16618,,519162,,,3024645,,,,185826,,9714,,195540,,,,,,,,,,,,,,,
Tohoku,199307,113183,4435279,153710,24889,0,917574,,,5647540,,,,826040,,25924,,851964,,,,,,,,,,,,,,,
Tokyo,199307,388640,16645406,874630,86750,,2962611,,,20978897,,,,2021453,,76843,,2098296,,,,,,,,,,,,,,,
Chubu,199307,127820,5685210,339333,40860,693,1103987,,,7309474,,,,922506,,49901,,972407,,,,,,,,,,,,,,,
Hokuriku,199307,26862,1093093,56017,8966,0,216898,,,1404086,,,,231500,,9668,,241168,,,,,,,,,,,,,,,
Kansai,199307,132871,8345095,217827,36689,0,1386386,,,10129186,,,,977102,,43556,,1020658,,,,,,,,,,,,,,,
Chugoku,199307,58631,3288724,54344,18412,130,469527,,,3895041,,,,386993,,18440,,405433,,,,,,,,,,,,,,,
Shikoku,199307,31794,1779359,35979,11647,,229839,,,2093979,,,,244574,,9836,,254410,,,,,,,,,,,,,,,
Kyushu,199307,100230,5405932,147808,31235,1378,416083,,,6109504,,,,720071,,19584,,739655,,,,,,,,,,,,,,,
Okinawa,199307,3037,522357,,2817,,50335,,,578736,,,,54575,,1011,,55586,,,,,,,,,,,,,,,
Hokkaido,199306,57722,2352164,65532,13584,,518073,,,3014186,,,,185577,,9714,,195291,,,,,,,,,,,,,,,
Tohoku,199306,113095,4431376,153397,19918,0,913305,,,5633776,,,,825508,,25893,,851401,,,,,,,,,,,,,,,
Tokyo,199306,388292,16632702,871189,77136,,2960996,,,20949834,,,,2019037,,76873,,2095910,,,,,,,,,,,,,,,
Chubu,199306,127531,5679686,338239,37334,742,1102439,,,7297357,,,,921716,,49863,,971579,,,,,,,,,,,,,,,
Hokuriku,199306,26859,1092286,55855,7900,0,216343,,,1401348,,,,231448,,9652,,241100,,,,,,,,,,,,,,,
Kansai,199306,132722,8337732,217327,32934,0,1384653,,,10115234,,,,975997,,43523,,1019520,,,,,,,,,,,,,,,
Chugoku,199306,58488,3285688,54271,17490,143,468419,,,3889293,,,,386501,,18415,,404916,,,,,,,,,,,,,,,
Shikoku,199306,31754,1777823,35899,11207,,229428,,,2091359,,,,244292,,9835,,254127,,,,,,,,,,,,,,,
