Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Tokyo,2000,160,8508440,13,32946000,,30000,10,47140,23,33023140,3,17308000,2,3800,,,188,58843380
Chubu,2000,180,5213210,12,22940000,,,1,720,13,22940720,1,3617000,,,,,194,31770930
Hokuriku,2000,116,1806400,5,4562000,,,1,288,6,4562288,1,540000,,,,,123,6908688
Kansai,2000,145,8129239,17,19521000,1,40000,,,18,19561000,3,9768000,,,,,166,37458239
Chugoku,2000,95,2893425,9,7981000,,,3,33900,12,8014900,1,1280000,,,,,108,12188325
Shikoku,2000,58,1124326,4,3696000,,34000,,,4,3730000,1,2022000,,,,,63,6876326
Kyushu,2000,138,2370906,12,10746750,3,3300,36,379494,51,11129544,2,5258000,5,207500,,,196,18965950
Okinawa,2000,,,3,1027000,3,276000,14,152575,20,1455575,,,,,,,20,1455575
Hokkaido,1999,66,1277972,6,3285000,1,148000,4,17410,11,3450410,1,1158000,1,50000,,,79,5936382
Tohoku,1999,210,2430896,8,11120000,,,5,85740,13,11205740,1,1349000,4,223800,,,228,15209436
Tokyo,1999,160,8102910,13,32226000,,157000,11,47900,24,32430900,3,17308000,2,3800,,,189,57845610
Chubu,1999,180,5210950,12,22940000,,,1,720,13,22940720,1,3617000,,,,,194,31768670
Hokuriku,1999,116,1806400,5,3862000,,,1,288,6,3862288,1,540000,,,,,123,6208688
Kansai,1999,144,8106539,17,19521000,4,400000,,,21,19921000,3,9768000,,,,,168,37795539
