Company,Year_term,Lighting_Fixed rate lighting (MWh),Lighting_Meter rate lighting A/B (MWh),Lighting_Meter rate lighting C (MWh),Lighting_Temporary power (MWh),Lighting_Agricultural power (MWh),Lighting_Public street lighting (MWh),Lighting_Total Lighting - optional contracs (MWh),Lighting_Total Lighting - optional contracs2 (MWh),Lighting_Total Lighting (MWh),Power_Commercial use power - optional contracts (MWh),Power_Commercial use power (MWh),Power_Small use power_Low voltage power - optipnal contracts (MWh),Power_Small use power_Low voltage power (MWh),Power_Small use power_High voltage power A - optinal contracts (MWh),Power_Small use power_High voltage power A (MWh),Power_Small use power_Total Small use power - optional contracts (MWh),Power_Small use power_Total Small use power (MWh),Power_High voltage power B - optional contracts (MWh),Power_High voltage power B (MWh),Power_Other power services_Temporary power (MWh),Power_Other power services_Agricultural power (MWh),Power_Other power services_Construction power (MWh),Power_Other power services_Business use power (MWh),Power_Other power services_High voltage power B - optional contracts (MWh),Power_Other power services_High voltage power B (MWh),Power_Other power services_Commercial use power (MWh),Power_Other power services_High voltage power A/B (MWh),Power_Other power services_Other power services - optional contracts (MWh),Power_Other power services_Total Other power services (MWh),Power_Total Power - optional contracts (MWh),Power_Total Power (MWh),Total of Lighting and Power (MWh),Specific scale demands (MWh),Total Electricity sales (MWh)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_小口電力計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計,特定規模需要,販売電力合計
Hokuriku,197507,499,121891,23570,469,,5463,,,151892,,,,79563,,174836,,254399,,,,,,,,,,,,,,,,,1208099
Kansai,197507,2344,987786,127543,3923,,30705,,,1152301,,,,319582,,577893,,897475,,,,,,,,,,,,,,,,,5615357
Chugoku,197507,964,352052,38692,494,3,12202,,,404407,,,,105564,,181943,,287507,,,,,,,,,,,,,,,,,2337486
Shikoku,197507,580,187446,18585,406,,6446,,,213463,,,,67039,,114267,,181306,,,,,,,,,,,,,,,,,1076228
Kyushu,197507,1227,520796,54563,1233,19,14379,,,592217,,,,189372,,188599,,377971,,,,,,,,,,,,,,,,,2399084
Okinawa,197507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197506,1222,217130,28376,1549,,13390,,,261667,,,,36042,,101873,,137915,,,,,,,,,,,,,,,,,887857
Tohoku,197506,2556,429748,64477,1367,,16456,,,514604,,,,109093,,232742,,341835,,,,,,,,,,,,,,,,,2579913
Tokyo,197506,6504,1514229,257374,5301,,72462,,,1855870,,,,340700,,738672,,1079372,,,,,,,,,,,,,,,,,7889896
Chubu,197506,2604,572921,95028,1682,4,26388,,,698627,,,,235180,,503209,,738389,,,,,,,,,,,,,,,,,4101406
Hokuriku,197506,545,120067,23280,462,,5932,,,150286,,,,69503,,156992,,226495,,,,,,,,,,,,,,,,,1167861
Kansai,197506,2450,929506,122755,3432,,33230,,,1091373,,,,233841,,573842,,807683,,,,,,,,,,,,,,,,,5179841
Chugoku,197506,1024,330661,37233,562,6,13250,,,382736,,,,74299,,177699,,251998,,,,,,,,,,,,,,,,,2144370
Shikoku,197506,618,171484,17653,403,,6910,,,197068,,,,48925,,101036,,149961,,,,,,,,,,,,,,,,,965790
Kyushu,197506,1295,496501,53445,1117,7,15340,,,567705,,,,128649,,192825,,321474,,,,,,,,,,,,,,,,,2199261
Okinawa,197506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197505,1278,222569,28856,1614,,14048,,,268365,,,,35652,,95304,,130956,,,,,,,,,,,,,,,,,857923
Tohoku,197505,2682,437425,63646,1436,,16786,,,521975,,,,117257,,217854,,335111,,,,,,,,,,,,,,,,,2444954
Tokyo,197505,6759,1676308,274543,5711,,76651,,,2039972,,,,329619,,743068,,1072687,,,,,,,,,,,,,,,,,7713791
Chubu,197505,2720,576320,93595,1797,15,27556,,,702003,,,,206811,,453961,,660772,,,,,,,,,,,,,,,,,3880106
Hokuriku,197505,562,123953,22785,406,,6222,,,153928,,,,64554,,143892,,208446,,,,,,,,,,,,,,,,,1115010
Kansai,197505,2533,907738,116840,3806,,34298,,,1065215,,,,185446,,508617,,694063,,,,,,,,,,,,,,,,,4810079
Chugoku,197505,1068,339080,36507,594,11,13435,,,390695,,,,64435,,168411,,232846,,,,,,,,,,,,,,,,,2019228
Shikoku,197505,651,173339,17586,427,,7149,,,199152,,,,42550,,97277,,139827,,,,,,,,,,,,,,,,,912493
Kyushu,197505,1338,506888,52967,1306,12,15355,,,577866,,,,101611,,167797,,269408,,,,,,,,,,,,,,,,,2071290
Okinawa,197505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197504,1417,242212,31039,1185,,15787,,,291640,,,,38396,,98903,,137299,,,,,,,,,,,,,,,,,885835
Tohoku,197504,2968,512481,72431,1679,,18578,,,608137,,,,125035,,235406,,360441,,,,,,,,,,,,,,,,,2550825
Tokyo,197504,7498,1727202,279168,6584,,82945,,,2103397,,,,339413,,739592,,1079005,,,,,,,,,,,,,,,,,7756043
Chubu,197504,3014,639376,100433,2315,44,30160,,,775342,,,,229391,,480390,,709781,,,,,,,,,,,,,,,,,3978754
Hokuriku,197504,626,147973,26000,526,,6971,,,182096,,,,76040,,138891,,214931,,,,,,,,,,,,,,,,,1165288
Kansai,197504,2714,1021002,128295,4353,,37385,,,1193749,,,,209763,,539196,,748959,,,,,,,,,,,,,,,,,4977767
Chugoku,197504,1160,397884,41027,764,41,14833,,,455709,,,,77420,,184009,,261429,,,,,,,,,,,,,,,,,2167899
Shikoku,197504,703,199701,19126,552,,7739,,,227821,,,,48961,,94533,,143494,,,,,,,,,,,,,,,,,953128
Kyushu,197504,1451,536327,54607,1546,8,16478,,,610417,,,,106505,,188331,,294836,,,,,,,,,,,,,,,,,2113765
Okinawa,197504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197503,1403,239068,30514,689,,15466,,,287140,,,,37608,,99755,,137363,,,,,,,,,,,,,,,,,880190
Tohoku,197503,2917,499773,69517,1572,,17960,,,591739,,,,123108,,218774,,341882,,,,,,,,,,,,,,,,,2586164
Tokyo,197503,7617,1888155,299535,7450,,81175,,,2283932,,,,382775,,758688,,1141463,,,,,,,,,,,,,,,,,8045819
Chubu,197503,2948,645878,99112,2695,154,29290,,,780077,,,,243395,,453861,,697256,,,,,,,,,,,,,,,,,4027075
Hokuriku,197503,612,149123,25474,586,,6661,,,182456,,,,76340,,150585,,226925,,,,,,,,,,,,,,,,,1162204
Kansai,197503,2661,1052618,131435,4831,,35865,,,1227410,,,,224882,,519859,,744741,,,,,,,,,,,,,,,,,5067626
Chugoku,197503,1134,390270,39869,826,84,14253,,,446436,,,,80537,,170274,,250811,,,,,,,,,,,,,,,,,2119245
Shikoku,197503,690,199779,18450,617,,7463,,,226999,,,,51826,,96230,,148056,,,,,,,,,,,,,,,,,962824
Kyushu,197503,1395,524421,53085,1701,,15911,,,596513,,,,113002,,171368,,284370,,,,,,,,,,,,,,,,,2128612
Okinawa,197503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197502,1602,272200,33666,722,,18047,,,326237,,,,41716,,105031,,146747,,,,,,,,,,,,,,,,,920151
Tohoku,197502,3318,578387,78736,1701,,20985,,,683127,,,,136055,,240815,,376870,,,,,,,,,,,,,,,,,2609917
Tokyo,197502,8316,1949435,303441,8136,,92396,,,2361724,,,,383972,,742573,,1126545,,,,,,,,,,,,,,,,,7880451
Chubu,197502,3345,759800,116288,2864,244,34114,,,916655,,,,276402,,514597,,790999,,,,,,,,,,,,,,,,,4164189
Hokuriku,197502,703,167024,28202,703,,7821,,,204453,,,,83462,,137729,,221191,,,,,,,,,,,,,,,,,1084889
Kansai,197502,2934,1224654,150144,5160,,42371,,,1425263,,,,249367,,564921,,814288,,,,,,,,,,,,,,,,,5225537
Chugoku,197502,1273,451990,45400,871,137,16829,,,516500,,,,91184,,187476,,278660,,,,,,,,,,,,,,,,,2156641
Shikoku,197502,772,224477,20068,683,,8774,,,254774,,,,55455,,92398,,147853,,,,,,,,,,,,,,,,,962145
Kyushu,197502,1560,617727,61319,1732,,18088,,,700426,,,,133037,,191009,,324046,,,,,,,,,,,,,,,,,2212156
Okinawa,197502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197501,1598,253009,31567,989,,17600,,,304763,,,,37234,,103501,,140735,,,,,,,,,,,,,,,,,911195
Tohoku,197501,3334,552270,73956,1741,,20566,,,651867,,,,119412,,218350,,337762,,,,,,,,,,,,,,,,,2663448
Tokyo,197501,8497,2193174,332538,8249,,94818,,,2637276,,,,406348,,773629,,1179977,,,,,,,,,,,,,,,,,8227770
Chubu,197501,3352,685456,100291,2394,280,33341,,,825114,,,,228894,,420401,,649295,,,,,,,,,,,,,,,,,3918953
Hokuriku,197501,704,165909,27444,701,,7751,,,202509,,,,72923,,140766,,213689,,,,,,,,,,,,,,,,,1157718
Kansai,197501,2944,1106120,131722,4965,,41013,,,1286764,,,,205407,,460038,,665445,,,,,,,,,,,,,,,,,4925007
Chugoku,197501,1275,422334,41337,758,104,15960,,,481768,,,,78716,,168483,,247199,,,,,,,,,,,,,,,,,2098260
Shikoku,197501,779,215304,19419,625,,8505,,,244632,,,,49815,,96124,,145939,,,,,,,,,,,,,,,,,964933
Kyushu,197501,1567,599714,58026,1519,2,17460,,,678288,,,,123639,,170097,,293736,,,,,,,,,,,,,,,,,2166256
Okinawa,197501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197412,1494,236699,30367,1830,,16072,,,286462,,,,35904,,109591,,145495,,,,,,,,,,,,,,,,,906305
Tohoku,197412,3109,503538,71249,1962,,19005,,,598863,,,,112748,,241857,,354605,,,,,,,,,,,,,,,,,2682995
Tokyo,197412,8020,1720528,274926,8120,,84891,,,2096485,,,,330838,,741788,,1072626,,,,,,,,,,,,,,,,,7751606
Chubu,197412,3130,646295,100129,2299,260,31112,,,783225,,,,227734,,494928,,722662,,,,,,,,,,,,,,,,,4047458
Hokuriku,197412,648,147114,26144,657,,7315,,,181878,,,,71422,,144245,,215667,,,,,,,,,,,,,,,,,1193816
Kansai,197412,2786,1039425,133302,5067,,38609,,,1219189,,,,212291,,559127,,771418,,,,,,,,,,,,,,,,,5150788
Chugoku,197412,1204,380842,40339,985,57,15140,,,438567,,,,73990,,179104,,253094,,,,,,,,,,,,,,,,,2182028
Shikoku,197412,737,188615,18274,561,,7934,,,216121,,,,44081,,92519,,136600,,,,,,,,,,,,,,,,,950359
Kyushu,197412,1467,502550,51680,1513,37,16337,,,573584,,,,105673,,185398,,291071,,,,,,,,,,,,,,,,,2131551
Okinawa,197412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197411,1430,223936,28739,2101,,15062,,,271268,,,,39928,,122562,,162490,,,,,,,,,,,,,,,,,924817
Tohoku,197411,3471,461858,67328,4275,,18840,,,555772,,,,119509,,244572,,364081,,,,,,,,,,,,,,,,,2627181
Tokyo,197411,7444,1558045,253861,7900,,81091,,,1908341,,,,297916,,724164,,1022080,,,,,,,,,,,,,,,,,7481048
Chubu,197411,3006,587911,93825,1719,951,29408,,,716820,,,,209209,,495522,,704731,,,,,,,,,,,,,,,,,3973156
Hokuriku,197411,585,128444,23745,741,2,6908,,,160425,,,,63892,,140696,,204588,,,,,,,,,,,,,,,,,1144358
Kansai,197411,2694,926975,122555,4582,,37156,,,1093962,,,,191511,,555489,,747000,,,,,,,,,,,,,,,,,4928315
Chugoku,197411,1166,335659,37363,662,153,14522,,,389525,,,,66506,,186532,,253038,,,,,,,,,,,,,,,,,2128753
Shikoku,197411,738,172575,17616,515,,7630,,,199074,,,,42062,,93309,,135371,,,,,,,,,,,,,,,,,976742
Kyushu,197411,1416,504283,53137,1372,236,15846,,,576290,,,,106606,,190671,,297277,,,,,,,,,,,,,,,,,2192789
Okinawa,197411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197410,1269,211285,26355,2308,,13371,,,254588,,,,33583,,124020,,157603,,,,,,,,,,,,,,,,,926302
Tohoku,197410,3190,414080,60372,4013,,17793,,,499448,,,,122180,,237137,,359317,,,,,,,,,,,,,,,,,2626081
Tokyo,197410,7738,1497794,244092,7001,,75096,,,1831721,,,,345300,,727262,,1072562,,,,,,,,,,,,,,,,,7771249
Chubu,197410,2735,541089,86079,1528,1376,25725,,,658532,,,,233222,,483143,,716365,,,,,,,,,,,,,,,,,4088698
Hokuriku,197410,530,115058,21714,481,24,6119,,,143926,,,,68402,,148824,,217226,,,,,,,,,,,,,,,,,1180163
Kansai,197410,2496,842065,112474,5433,,32591,,,995059,,,,218295,,535873,,754168,,,,,,,,,,,,,,,,,5039889
Chugoku,197410,1021,317203,35595,614,285,13284,,,368002,,,,82211,,188528,,270739,,,,,,,,,,,,,,,,,2186819
Shikoku,197410,674,170321,17067,407,,7382,,,195851,,,,54013,,101418,,155431,,,,,,,,,,,,,,,,,1050041
Kyushu,197410,1262,470045,48336,1340,257,14759,,,535999,,,,133416,,191092,,324508,,,,,,,,,,,,,,,,,2234631
Okinawa,197410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197409,1388,216897,26256,2943,,13229,,,260713,,,,35089,,111403,,146492,,,,,,,,,,,,,,,,,942328
Tohoku,197409,2860,466288,63874,3524,,15860,,,552406,,,,154009,,241806,,395815,,,,,,,,,,,,,,,,,2692994
Tokyo,197409,7276,1761360,289363,7754,,69900,,,2135653,,,,574413,,801576,,1375989,,,,,,,,,,,,,,,,,8792599
Chubu,197409,2615,678845,100225,1387,475,24436,,,807983,,,,387928,,509683,,897611,,,,,,,,,,,,,,,,,4517700
Hokuriku,197409,494,135778,24123,645,10,5738,,,166788,,,,96540,,155605,,252145,,,,,,,,,,,,,,,,,1237203
Kansai,197409,1797,1189840,147206,5158,,32132,,,1376133,,,,427727,,617624,,1045351,,,,,,,,,,,,,,,,,5949642
Chugoku,197409,977,404189,41219,734,48,12579,,,459746,,,,149778,,195688,,345466,,,,,,,,,,,,,,,,,2422839
Shikoku,197409,600,215357,19332,608,,6786,,,242683,,,,93374,,98026,,191400,,,,,,,,,,,,,,,,,1118751
Kyushu,197409,1217,579928,55095,1334,245,14357,,,652176,,,,249633,,204640,,454273,,,,,,,,,,,,,,,,,2584692
Okinawa,197409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197408,1192,208052,25589,1372,,11414,,,247619,,,,33826,,114222,,148048,,,,,,,,,,,,,,,,,925853
Tohoku,197408,2769,438422,63326,3346,,14976,,,522839,,,,137878,,246818,,384696,,,,,,,,,,,,,,,,,2574247
Tokyo,197408,6731,1829105,299833,8745,,66383,,,2210797,,,,593633,,839248,,1432881,,,,,,,,,,,,,,,,,8977960
Chubu,197408,2492,647424,97522,1543,4,23044,,,772029,,,,364655,,535382,,900037,,,,,,,,,,,,,,,,,4452435
Hokuriku,197408,461,130353,24087,607,,5281,,,160789,,,,94837,,154213,,249050,,,,,,,,,,,,,,,,,1197107
Kansai,197408,1700,1195691,149859,5330,,30038,,,1382618,,,,447397,,637513,,1084910,,,,,,,,,,,,,,,,,6137769
Chugoku,197408,919,390714,41734,832,4,11806,,,446009,,,,147338,,205891,,353229,,,,,,,,,,,,,,,,,2424352
Shikoku,197408,558,208892,19650,483,,6554,,,236137,,,,92689,,104032,,196721,,,,,,,,,,,,,,,,,1177107
Kyushu,197408,1153,565988,55382,1541,226,13861,,,638151,,,,250188,,207950,,458138,,,,,,,,,,,,,,,,,2545027
Okinawa,197408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197407,1132,191649,26004,2659,,11010,,,232454,,,,31741,,103312,,135053,,,,,,,,,,,,,,,,,903487
Tohoku,197407,2604,386918,58217,3008,,13858,,,464605,,,,110493,,232659,,343152,,,,,,,,,,,,,,,,,2547530
Tokyo,197407,6264,1529701,256969,8010,,61642,,,1862586,,,,407745,,801139,,1208884,,,,,,,,,,,,,,,,,8315046
Chubu,197407,2411,528697,83367,1389,2,21823,,,637689,,,,263749,,493953,,757702,,,,,,,,,,,,,,,,,4210007
Hokuriku,197407,437,111812,21477,518,,4917,,,139161,,,,75310,,166872,,242182,,,,,,,,,,,,,,,,,1217994
Kansai,197407,1612,889846,122043,5312,,28026,,,1046839,,,,296956,,578566,,875522,,,,,,,,,,,,,,,,,5551867
Chugoku,197407,883,311180,35734,709,3,11081,,,359590,,,,92782,,185812,,278594,,,,,,,,,,,,,,,,,2255429
Shikoku,197407,694,163804,16594,369,,6085,,,187546,,,,58126,,108069,,166195,,,,,,,,,,,,,,,,,1100358
Kyushu,197407,1039,461304,47524,1606,36,13004,,,524513,,,,157004,,184695,,341699,,,,,,,,,,,,,,,,,2267101
Okinawa,197407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197406,81,176559,53318,2612,,851,,,233421,,,,,,,,135492,,,,,,,,,,,,,,,,,894899
Tohoku,197406,433,393409,58437,2420,,3904,,,458603,,,,,,,,332528,,,,,,,,,,,,,,,,,2486729
Tokyo,197406,6040,1349109,225513,6572,,56732,,,1643966,,,,,,,,1069934,,,,,,,,,,,,,,,,,7604857
Chubu,197406,3155,532418,85962,1419,5,21485,,,644444,,,,,,,,754008,,,,,,,,,,,,,,,,,4124351
Hokuriku,197406,473,105459,27551,434,,4778,,,138695,,,,,,,,224049,,,,,,,,,,,,,,,,,1173304
Kansai,197406,1711,858779,118715,5016,,30169,,,1014390,,,,,,,,827463,,,,,,,,,,,,,,,,,5268595
Chugoku,197406,205,287274,55598,818,7,2001,,,345903,,,,,,,,262363,,,,,,,,,,,,,,,,,2148810
Shikoku,197406,659,165888,17875,479,,6149,,,191050,,,,,,,,138326,,,,,,,,,,,,,,,,,1012043
Kyushu,197406,295,439581,66426,1691,2,8505,,,516500,,,,,,,,314473,,,,,,,,,,,,,,,,,2243066
Okinawa,197406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197405,11254,,,1593,,,,,252620,,,,,,,,122543,,,,,,,,,,,,,,,,,890710
Tohoku,197405,14270,,,3329,2,,,,491832,,,,,,,,328229,,,,,,,,,,,,,,,,,2482647
Tokyo,197405,51976,,,12323,1,,,,1966696,,,,,,,,1170543,,,,,,,,,,,,,,,,,7811755
Chubu,197405,19185,,,1726,8,,,,645521,,,,,,,,705081,,,,,,,,,,,,,,,,,4031258
Hokuriku,197405,5270,,,639,1,,,,142033,,,,,,,,217129,,,,,,,,,,,,,,,,,1171252
Kansai,197405,25310,,,5428,,,,,976954,,,,,,,,728490,,,,,,,,,,,,,,,,,4972910
Chugoku,197405,9813,,,963,10,,,,353741,,,,,,,,239138,,,,,,,,,,,,,,,,,2127731
Shikoku,197405,5090,,,498,,,,,176794,,,,,,,,153923,,,,,,,,,,,,,,,,,1007596
Kyushu,197405,8790,,,2175,11,,,,519479,,,,,,,,264766,,,,,,,,,,,,,,,,,2104857
Okinawa,197405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197404,12365,,,1428,,,,,260920,,,,,,,,120338,,,,,,,,,,,,,,,,,871672
Tohoku,197404,15247,,,3733,3,,,,575331,,,,,,,,356089,,,,,,,,,,,,,,,,,2488109
Tokyo,197404,54308,,,14012,2,,,,1928456,,,,,,,,1118007,,,,,,,,,,,,,,,,,7566270
Chubu,197404,21252,,,2441,41,,,,743543,,,,,,,,783565,,,,,,,,,,,,,,,,,4102350
Hokuriku,197404,5961,,,969,1,,,,175582,,,,,,,,221153,,,,,,,,,,,,,,,,,1170534
Kansai,197404,28262,,,6748,,,,,1146946,,,,,,,,820547,,,,,,,,,,,,,,,,,5110797
Chugoku,197404,10239,,,1166,37,,,,427954,,,,,,,,272721,,,,,,,,,,,,,,,,,2189042
Shikoku,197404,5310,,,658,,,,,214969,,,,,,,,140196,,,,,,,,,,,,,,,,,988405
Kyushu,197404,9182,,,2240,8,,,,571522,,,,,,,,288702,,,,,,,,,,,,,,,,,2118856
Okinawa,197404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197403,14710,,,1264,,,,,258429,,,,,,,,111023,,,,,,,,,,,,,,,,,872058
Tohoku,197403,17478,,,3827,,,,,547682,,,,,,,,327004,,,,,,,,,,,,,,,,,2501513
Tokyo,197403,60123,,,15539,,,,,2058316,,,,,,,,1179287,,,,,,,,,,,,,,,,,8018810
Chubu,197403,20762,,,2719,106,,,,723251,,,,,,,,757128,,,,,,,,,,,,,,,,,4251441
Hokuriku,197403,5713,,,1252,,,,,170632,,,,,,,,236421,,,,,,,,,,,,,,,,,1166942
Kansai,197403,27145,,,7179,,,,,1141752,,,,,,,,808299,,,,,,,,,,,,,,,,,5266506
Chugoku,197403,11453,,,1198,79,,,,413861,,,,,,,,257784,,,,,,,,,,,,,,,,,2170410
Shikoku,197403,5895,,,667,,,,,206429,,,,,,,,150184,,,,,,,,,,,,,,,,,1002110
Kyushu,197403,10194,,,2342,1,,,,550267,,,,,,,,272336,,,,,,,,,,,,,,,,,2137255
Okinawa,197403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197402,14331,,,1248,,,,,288759,,,,,,,,112864,,,,,,,,,,,,,,,,,876929
Tohoku,197402,16987,,,3837,,,,,630936,,,,,,,,356655,,,,,,,,,,,,,,,,,2439268
Tokyo,197402,58199,,,16952,1,,,,2213704,,,,,,,,1221572,,,,,,,,,,,,,,,,,7861212
Chubu,197402,24547,,,2941,180,,,,851259,,,,,,,,857016,,,,,,,,,,,,,,,,,4260099
Hokuriku,197402,6716,,,1489,,,,,193272,,,,,,,,231462,,,,,,,,,,,,,,,,,1073922
Kansai,197402,30931,,,7425,,,,,1366115,,,,,,,,919310,,,,,,,,,,,,,,,,,5361818
Chugoku,197402,11032,,,1248,163,,,,476422,,,,,,,,282382,,,,,,,,,,,,,,,,,2137326
Shikoku,197402,5603,,,697,,,,,235783,,,,,,,,151512,,,,,,,,,,,,,,,,,969384
Kyushu,197402,9694,,,2261,1,,,,635033,,,,,,,,301643,,,,,,,,,,,,,,,,,2170067
Okinawa,197402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197401,16721,,,1822,,,,,276889,,,,,,,,116160,,,,,,,,,,,,,,,,,867803
Tohoku,197401,19566,,,4011,,,,,590216,,,,,,,,314147,,,,,,,,,,,,,,,,,2432513
Tokyo,197401,67294,,,16148,1,,,,2314370,,,,,,,,1182814,,,,,,,,,,,,,,,,,7955715
Chubu,197401,24018,,,2791,198,,,,766002,,,,,,,,696128,,,,,,,,,,,,,,,,,4004123
Hokuriku,197401,6765,,,1473,1,,,,190888,,,,,,,,226487,,,,,,,,,,,,,,,,,1136150
Kansai,197401,31956,,,7156,,,,,1240735,,,,,,,,739444,,,,,,,,,,,,,,,,,5079385
Chugoku,197401,12728,,,1110,133,,,,452812,,,,,,,,256557,,,,,,,,,,,,,,,,,2136492
Shikoku,197401,6594,,,697,,,,,223446,,,,,,,,150020,,,,,,,,,,,,,,,,,986450
Kyushu,197401,11184,,,2325,1,,,,618877,,,,,,,,271535,,,,,,,,,,,,,,,,,2133922
Okinawa,197401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197312,17522,,,2557,,,,,263819,,,,,,,,132844,,,,,,,,,,,,,,,,,873678
Tohoku,197312,19544,,,4654,1,,,,572734,,,,,,,,344012,,,,,,,,,,,,,,,,,2459814
Tokyo,197312,68104,,,17229,1,,,,2008525,,,,,,,,1172282,,,,,,,,,,,,,,,,,7950606
Chubu,197312,23406,,,2985,228,,,,751439,,,,,,,,805721,,,,,,,,,,,,,,,,,4241418
Hokuriku,197312,6249,,,1352,1,,,,177500,,,,,,,,228238,,,,,,,,,,,,,,,,,1153241
Kansai,197312,30703,,,7747,,,,,1204922,,,,,,,,871642,,,,,,,,,,,,,,,,,5426535
Chugoku,197312,12912,,,1061,58,,,,424665,,,,,,,,267335,,,,,,,,,,,,,,,,,2184123
Shikoku,197312,6708,,,713,,,,,205157,,,,,,,,139652,,,,,,,,,,,,,,,,,987593
Kyushu,197312,11149,,,2505,8,,,,568653,,,,,,,,286272,,,,,,,,,,,,,,,,,2163592
Okinawa,197312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197311,14930,,,2760,,,,,257856,,,,,,,,150217,,,,,,,,,,,,,,,,,898913
Tohoku,197311,18171,,,4967,,,,,537765,,,,,,,,356559,,,,,,,,,,,,,,,,,2515807
Tokyo,197311,63281,,,15849,2,,,,1850616,,,,,,,,1134472,,,,,,,,,,,,,,,,,7934668
Chubu,197311,22658,,,2636,1040,,,,703642,,,,,,,,793318,,,,,,,,,,,,,,,,,4301924
Hokuriku,197311,5928,,,1093,2,,,,159793,,,,,,,,225254,,,,,,,,,,,,,,,,,1187223
Kansai,197311,28911,,,7185,,,,,1073354,,,,,,,,842942,,,,,,,,,,,,,,,,,5364259
Chugoku,197311,12004,,,916,174,,,,383879,,,,,,,,267799,,,,,,,,,,,,,,,,,2201042
Shikoku,197311,6258,,,635,,,,,190415,,,,,,,,138187,,,,,,,,,,,,,,,,,974871
Kyushu,197311,10464,,,2342,156,,,,559464,,,,,,,,292017,,,,,,,,,,,,,,,,,2160665
Okinawa,197311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197310,13728,,,2597,,,,,242717,,,,,,,,145052,,,,,,,,,,,,,,,,,892274
Tohoku,197310,17197,,,4852,,,,,482777,,,,,,,,350850,,,,,,,,,,,,,,,,,2519178
Tokyo,197310,60925,,,14924,3,,,,1837847,,,,,,,,1230662,,,,,,,,,,,,,,,,,8399885
Chubu,197310,20235,,,2432,1368,,,,643251,,,,,,,,773147,,,,,,,,,,,,,,,,,4346126
Hokuriku,197310,5196,,,1015,28,,,,142357,,,,,,,,233864,,,,,,,,,,,,,,,,,1207714
Kansai,197310,5675,,,6723,,,,,982477,,,,,,,,864690,,,,,,,,,,,,,,,,,5466029
Chugoku,197310,11538,,,844,289,,,,358152,,,,,,,,277969,,,,,,,,,,,,,,,,,2223134
Shikoku,197310,1090,,,697,,,,,188299,,,,,,,,148172,,,,,,,,,,,,,,,,,991218
Kyushu,197310,10099,,,2509,258,,,,514529,,,,,,,,306300,,,,,,,,,,,,,,,,,2227339
Okinawa,197310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197309,12210,,,2228,,,,,252399,,,,,,,,141878,,,,,,,,,,,,,,,,,900024
Tohoku,197309,15346,,,4159,5,,,,543502,,,,,,,,382495,,,,,,,,,,,,,,,,,2603425
Tokyo,197309,51621,,,17433,4,,,,2266112,,,,,,,,1455709,,,,,,,,,,,,,,,,,9469656
