Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Shikoku,1990,1092187,765975,139245,52904,65936,378,,209091,68487,170240,56680,788,2220,,241,182946,182520,425,,87315,14155,73160,55709,39765,10204,,,,5789,,,-141,58485,7195,27459,155,10625,12562,,62,35,,654,-267,1150673
Kyushu,1990,2997020,2267410,250376,345719,240343,27258,,508948,270845,520462,97673,,5782,,5614,459974,459801,172,,130403,32709,97694,133617,93157,31319,,,,8972,,,-233,162456,57588,53159,2898,17922,30533,,108,199,,525,-484,3159477
Okinawa,1990,164950,132212,,17730,,17286,,17260,22640,50408,6342,,545,,713,30774,30773,,,,,,1250,1017,215,,,,,,,,20966,5550,2325,252,9344,3504,,34,,,39,-85,185917
Hokkaido,1989,1289103,1004088,147982,163254,250701,1408,,171642,61249,171727,35782,,338,,1328,184053,183961,91,,65327,7011,58316,34305,25976,7349,,,,696,,,-1,57735,17256,9367,654,6121,22237,,1205,181,,791,-80,1346838
Tohoku,1989,2153512,1511730,157413,149267,108646,5602,,414907,166358,401554,107478,,501,,4382,233400,232998,402,,106262,6779,99483,297737,206630,85628,,,,5451,,,-1212,140174,37041,52136,375,12001,28484,,35,2476,,8030,-408,2293687
Tokyo,1989,10153105,7480209,445360,1146725,1025276,7469,,2099066,941581,1642500,170890,,1339,2078,2287,1558453,1556911,1541,,661428,231595,429833,448648,239744,161208,,,,18318,,,-936,491284,126742,227087,8217,124,74717,11944,1053,2380,,40818,-1807,10644389
Chubu,1989,4094059,3118176,327210,507029,320793,54,,778984,386315,665440,130987,8,1351,,2411,647845,647452,393,,174927,33323,141604,150698,112335,26890,,,,8061,,,-405,170951,41969,79747,1656,1391,43108,1894,170,16,,1620,-625,4265010
Hokuriku,1989,982565,550264,189708,39936,,61,,118092,48590,111136,41783,,954,,463,276889,276826,62,,77498,,77498,77449,48215,26485,,,,958,,,-88,65343,12510,24075,272,19587,9035,,-,67,,141,-347,1047908
Kansai,1989,5374109,3633173,348457,665231,404011,2750,,937197,403306,749979,121239,,1000,,907,942584,941396,1188,,562753,107684,455069,234690,179279,34629,,,,11739,,,-651,226686,64142,88704,6597,,53149,,6459,316,,8029,-718,5600796
Chugoku,1989,2040532,1549024,220418,189659,262210,2234,,275083,166833,340248,88847,3487,,,3831,290651,289706,944,,125141,26195,98945,71885,58036,7888,,,,4657,,,-130,101002,37161,31785,1195,,29506,,26,1382,,290,-347,2141535
Shikoku,1989,1029187,754602,145136,54216,72229,296,,211612,65126,158895,43915,811,2361,,179,131376,131245,131,,91397,17475,73921,51631,37672,9306,,,,4548,,,-128,48577,9082,23741,156,4502,10610,,75,36,,571,-198,1077765
Kyushu,1989,2891893,2147721,252976,281722,274150,23998,,474865,262817,490582,86608,,,,6388,481716,481528,187,,127265,41719,85545,128802,93252,28273,,,,6890,,,-226,147540,55112,48791,2682,15897,23859,,525,448,,664,-443,3039434
Okinawa,1989,141374,119415,,17931,,11835,,16493,18519,49117,4972,,545,,626,20197,20196,a,,,,,1135,791,315,,,,,,,,11440,6284,1809,77,,3203,,82,a,,42,-60,152815
Hokkaido,1988,1294821,771901,149870,182754,,1913,,175603,59901,165934,35584,,338,,1285,424519,424422,97,,64596,13655,50940,32518,24905,6985,,,,394,,,-2,56895,17190,8113,5405,6107,18818,,591,225,,538,-108,1351717
Tohoku,1988,2146519,1449989,159441,163520,117066,5860,,373002,156504,378976,95115,,501,,4899,265664,265573,90,,104398,6282,98116,321567,235951,81313,,,,4669,,,-1506,119115,34267,52061,2304,,23943,,75,803,,6022,-404,2265635
Tokyo,1988,9787772,7346359,457160,1130217,1145263,7285,,2062246,865332,1516212,161437,,1203,,2207,1366129,1363865,2264,,659075,170802,488273,414000,212760,156548,,,,21350,,,-800,464806,127656,218250,16729,124,63146,6401,1010,2159,,30808,-1805,10252579
Chubu,1988,3823375,2950928,301468,431804,361865,61,,733772,365737,630602,123995,254,1365,,2155,537226,536877,349,,184645,41808,142837,148419,114392,23258,,,,7330,,,-447,174296,53283,75270,4956,1404,35987,2533,143,42,,1133,-611,3997671
Hokuriku,1988,891862,524318,184385,39912,,65,,118280,46706,107283,26727,,958,,474,216175,216163,11,,77258,,77258,73635,45007,26291,,,,633,,,-84,55088,13050,22273,1204,9126,9496,,,74,,91,-259,946951
Kansai,1988,5168636,3523887,354909,577064,447351,2980,,918446,406199,701790,114142,,1000,,860,841973,841281,691,,528881,103019,425861,273033,216220,31919,,,,15091,,,-826,226727,81490,80577,9687,,47277,,3227,198,,4579,-677,5395363
Chugoku,1988,2051280,1589039,226439,217058,297345,2467,,262057,170728,328987,83955,,,,3639,260968,259106,1862,,126512,26282,100230,71119,57721,7883,,,,4054,,,-120,106284,41605,29114,1977,7765,24650,,28,1162,,320,-361,2157565
Shikoku,1988,987634,734324,134956,56687,78679,289,,207449,63673,150276,39013,853,2445,,175,112011,111898,112,,94830,13970,80860,46292,34056,8815,,,,3410,,,-112,47154,14599,22448,936,717,7977,,61,75,,442,-159,1034789
Kyushu,1988,2795740,2005909,256545,141438,313738,26074,,457396,269560,461617,79538,,,,6153,535114,534962,152,,126361,46121,80240,122201,89169,27674,,,,5094,,,-215,141167,59032,45999,4462,10034,19564,,580,340,,1435,-319,2936908
Okinawa,1988,123707,111563,,18944,,8407,,15387,15889,47422,4965,,545,,686,10716,10710,6,,,,,740,578,157,,,,,,,,10461,6235,1742,122,,2243,,42,,,119,-44,134168
Hokkaido,1987,1237816,789301,155117,207102,,2863,,171079,60431,157912,34456,,338,,940,353412,353367,44,,62234,,62234,31926,23438,6922,,,,1372,,,-2,58085,19107,8023,2084,10003,18018,,365,110,,450,-80,1295901
Tohoku,1987,2134955,1446903,155369,183259,131897,3878,,371599,151108,357497,91790,,501,,6115,232098,232073,25,,103226,5154,98071,346612,267349,75223,,,,4820,,,-1756,119844,34688,55097,2303,,20652,,177,911,,6430,-421,2254800
Tokyo,1987,9491332,7091535,333532,1161283,1281515,7404,,1953598,814349,1397190,141525,,1134,,2009,1336931,1336491,439,,693002,205786,487215,367855,182505,145353,,,,18299,,,-647,403995,97055,211032,23760,124,58736,,501,1869,,12676,-1802,9895327
Chubu,1987,3595944,2807867,306711,415448,403947,69,,654708,321086,590759,113543,228,1362,,2321,462571,462119,451,,187233,41079,146154,135951,106710,22082,,,,5070,,,-450,171218,57815,71770,4322,1407,33873,,162,1222,,1221,-586,3767163
Hokuriku,1987,793014,507983,187975,44396,,75,,102170,44420,102066,25915,,962,,476,136568,136497,71,,76009,,76009,71975,43950,25516,,,,502,,,-68,58334,13273,22212,1038,13618,8370,,,64,,45,-292,851348
Kansai,1987,4901278,3470080,361189,635562,497189,3372,,824194,395711,647489,104370,,1000,,807,678261,676497,1763,,514309,93570,420739,237819,196598,23426,,,,11041,,,-711,225759,84754,72428,14754,,45157,3178,2455,190,,3430,-611,5127037
Chugoku,1987,2000777,1337369,231511,247836,25976,3038,,257557,176429,313356,79745,1917,,,3168,460429,459979,449,,127302,5826,121475,72508,60377,7883,,,,3666,,,-64,106634,41083,28892,1513,8434,25177,,426,1046,,302,-242,2107412
Shikoku,1987,952689,730751,140413,59913,87147,200,,204806,60480,140430,34184,599,2574,,246,83958,83548,410,,96857,18416,78441,40875,29957,8206,,,,2701,,,-93,48741,16022,22169,965,2743,6566,,116,42,,280,-171,1001430
Kyushu,1987,2668021,1962616,263029,156585,358436,27360,,407349,262509,422267,65076,,,,6403,457677,457280,396,,128152,43150,85001,113171,83258,25421,,,,4266,,,-195,132571,58266,44974,3831,4999,19931,,51,145,,676,-308,2800592
Okinawa,1987,114896,106064,,20333,,8509,,14325,11993,45713,4642,,545,,738,7579,7573,6,,,,,513,419,90,,,,,,,,8193,1504,1807,78,2301,2458,,32,,,43,-34,123089
Hokkaido,1986,1158599,794547,161903,234824,,3227,,151600,56531,151775,34346,,338,,988,273723,273718,5,,58381,,58381,30957,21710,7800,,,,1304,,,-2,60176,19755,9247,1768,9493,19116,,283,114,,480,-87,1218775
Tohoku,1986,2172550,1464435,157528,205999,149640,3637,,373368,146686,338726,88345,,501,,4490,214191,213948,242,,100266,4915,95351,389166,321611,64140,,,,4566,,,-1950,152114,51734,57040,2752,9385,23706,,107,1257,,6558,-437,2324665
Tokyo,1986,9222924,6529967,335234,1051543,1147781,6827,,1790711,777526,1279566,139615,,1158,,1284,1661997,1661603,394,,720989,200792,520196,308684,137249,132342,,,,17724,,,-346,463183,102943,178158,30083,264,69539,2257,181,1868,,79224,-1457,9686108
Chubu,1986,3386957,2174960,272908,265383,81234,299,,640114,282834,535515,95326,17,1324,,2054,873977,873681,295,,201942,62687,139254,134023,104863,22366,,,,4239,,,-314,172991,60651,69393,4515,1431,35725,2,63,12,,1729,-552,3559948
Hokuriku,1986,752914,498887,192285,47334,,35,,100381,42158,95707,20019,,966,,463,112392,112317,75,,72360,,72360,68810,41775,25364,,,,393,,,-63,62410,14097,22418,1456,17477,7168,,,71,,42,-324,815325
Kansai,1986,4654578,3253966,358493,449096,557844,3415,,806214,397534,594114,86253,,1000,,894,658345,657123,1221,,514539,101656,412882,226831,181021,19461,,,,18335,,,-613,229548,83203,75260,8093,,52260,4189,2017,184,,4915,-643,4884126
Chugoku,1986,1918526,1301019,230386,282021,24867,2475,,226851,164758,299261,68964,1431,,,2934,421851,420595,1255,,121438,5328,116109,71283,59468,7779,,,,3329,,,-49,115090,40724,28964,1521,9990,32424,,358,875,,470,-243,2033617
Shikoku,1986,920368,716238,146075,64552,92598,230,,189218,57619,130174,35176,591,,,292,68256,67928,327,,99039,23149,75889,36541,26235,8251,,,,2052,,,-78,99526,67276,21832,1003,1707,7395,,90,56,,322,-160,1019895
Kyushu,1986,2546124,1937103,250414,177337,410685,28274,,386144,248025,375738,60483,,,,7487,353716,353302,413,,141121,47346,93774,106694,79534,23140,,,,3569,,,-174,139049,56280,47254,4913,6997,23160,,37,114,,610,-327,2685173
Okinawa,1986,111357,103895,,21769,,9311,,13731,11649,42651,4234,,545,,784,6225,6179,45,,,,,452,346,90,,,,,,,,14828,1985,1758,78,7816,3051,,30,,,130,-23,126186
Hokkaido,1985,1086639,811113,149766,268596,,3701,,151573,57503,145872,33762,,338,,1019,190575,190560,15,,55250,,55250,28679,19536,7640,,,,1343,,,-2,60769,19830,11706,601,10263,17361,,334,176,,594,-98,1147409
Tohoku,1985,2188613,1478988,151720,237515,169495,3611,,373457,140216,321900,80570,,501,,3979,212514,212305,209,,105727,4601,101125,387403,324122,60275,,,,4509,,,-2147,173493,51089,67385,2658,14896,27922,,90,2371,,7581,-505,2362107
Tokyo,1985,8857881,6360461,319955,1026791,1292352,7275,,1712761,744190,1139599,116463,,1072,,1272,1495288,1493165,2123,,731337,161862,569474,269521,107726,125684,,,,17705,,,-267,513536,117141,227797,14591,129,113494,2131,303,2630,,37161,-1864,9371417
Chubu,1985,2998014,1978536,272713,274707,86112,329,,512575,263272,486943,80713,17,1150,,1942,714317,714183,133,,195375,22427,172948,107843,69579,20006,,,,15534,,,-234,212225,59433,89293,4574,1097,56910,3,106,21,,1461,-722,3210240
Hokuriku,1985,696527,460117,170688,48918,,41,,93396,38877,89501,17722,,971,,415,105774,105756,18,,68472,,68472,61748,38073,21407,,,,489,,,-61,80478,13723,25910,2110,28570,10164,,,104,,336,-447,777006
Kansai,1985,4373595,3286306,357649,497141,627540,3756,,769153,395628,556753,77682,,1000,,950,359405,358513,892,,544126,97954,446171,182807,139083,17383,,,,18484,,,-519,284425,85335,87644,8597,,90213,5459,2993,166,,4697,-741,4658020
Chugoku,1985,1748835,1011775,136450,135815,27324,2459,,221998,153577,282857,49527,1765,,,3338,549144,548557,587,,113508,5579,107928,71068,59972,7876,,,,3212,,,-35,121633,41428,34626,1965,8815,31683,1596,134,792,,883,-292,1870469
Shikoku,1985,894933,690928,152134,69901,101435,256,,155695,55456,119539,35874,633,,,220,69215,69033,182,,101182,18041,83140,33387,23188,8512,,,,1672,,,-64,66987,20811,25488,1140,8103,11313,,17,30,,312,-231,961921
Kyushu,1985,2383952,1854296,156472,201377,471560,29411,,369879,235447,336247,53900,,,,6401,290931,290837,93,,151616,43993,107622,80706,59058,17395,,,,3927,,,-162,155940,57194,54175,5399,7074,31749,,9,155,,558,-377,2539892
Okinawa,1985,110591,105929,,24471,,10500,,13525,10330,42064,4490,,545,,756,3522,3522,,,,,,382,264,90,,,,,,,,12389,2096,2096,79,3624,4491,,33,1,,21,-26,122981
Hokkaido,1984,1036880,722640,145501,184414,,4176,,152375,58550,143277,34006,,338,,1019,235514,235460,54,,50479,,50479,27227,18070,7650,,,,1386,,,-3,70104,18687,11882,2119,14836,21605,,359,117,,635,-138,1106984
Tohoku,1984,2170589,1469039,151894,227783,192940,3816,,368758,138658,306624,78061,,501,,3628,242283,241850,432,,105170,5124,100045,350467,291643,56408,,,,4456,,,-2496,177353,50843,62885,2587,8814,40217,,131,2826,,9646,-599,2347942
Tokyo,1984,8562783,5455249,320286,857814,705710,7764,,1648859,746125,1058951,108672,,1063,,911,2136303,2134545,1757,,727801,186658,541143,242517,89790,114056,,,,19053,,,-202,536802,128555,218945,24677,129,130711,72,214,2029,,33795,-2330,9099586
Chubu,1984,2754877,1906414,253728,306496,88200,419,,489187,229181,462738,75295,166,999,,1720,567493,567257,236,,197841,24039,173802,81407,54953,16551,,,,7648,,,-63,237297,62185,86739,4138,956,82761,2,92,45,,1225,-857,2992174
Hokuriku,1984,659482,472106,177612,56575,,46,,93659,38217,87511,17492,,992,,588,69882,69877,5,,59546,,59546,57359,36140,18393,,,,577,,,-71,63359,12506,25921,1081,9144,14330,,177,85,,452,-341,722841
Kansai,1984,4280171,3106071,274581,561954,506027,4630,,759783,396630,523596,77867,,1000,,957,478891,478261,630,,529496,95405,434091,164753,121918,15018,,,,17708,,,-494,315874,84196,89372,5525,,102845,27041,3429,160,,4229,-938,4596045
Chugoku,1984,1581138,983791,112584,155019,30003,7057,,209937,152187,271953,44612,434,,,3089,414147,413646,500,,112487,8931,103556,67623,56255,7918,,,,3433,,,-25,136080,40554,39273,1585,9076,42880,1043,6,783,,1284,-407,1717218
Shikoku,1984,884740,698134,156927,79499,112692,296,,151635,53783,113776,28846,677,,,269,53555,53506,48,,99354,13976,85378,33425,23293,8679,,,,1450,,,-63,74082,21601,25668,1066,9526,15963,,41,31,,484,-303,958822
Kyushu,1984,2281230,1550254,124399,179213,307126,31809,,366986,181614,309006,50099,,,,4474,495388,494995,392,,156933,59316,97616,74179,53243,17499,,,,3180,,,-178,163400,56366,52536,5239,,47456,,8,171,,2081,-459,2444631
Okinawa,1984,113012,108325,,26901,,11703,,12982,10796,40498,4897,,545,,703,3603,3603,,,,,,380,282,90,,,,,,,,15764,2013,1938,50,5885,5849,,46,,,11,-33,128776
Hokkaido,1983,979468,744133,151542,209916,,4791,,146531,57366,139026,34621,,338,,1053,161706,161569,136,,46003,,46003,26570,17528,7484,,,,1469,,,-2,69944,18824,11420,2639,11740,24416,,340,184,,513,-135,1049412
Tohoku,1983,2123154,1171788,145617,204981,,4052,,306638,141015,294514,74467,,501,,3926,529878,529677,200,,104888,11706,93182,312671,257264,52458,,,,4779,,,-2180,158306,52242,56671,2098,5844,38614,,215,2234,,930,-545,2281460
Tokyo,1983,8093944,4991515,329800,535686,734651,8636,,1554158,720332,1000208,107011,,1029,,882,2158686,2157337,1348,,725105,124378,600726,217754,76486,107469,,,,13894,,,-104,478764,116787,200878,13619,129,101726,,2131,1264,,44278,-2053,8572709
Chubu,1983,2610795,1889045,260356,333871,97184,474,,460710,227090,435833,72169,357,996,,1619,451895,451787,108,,197102,16728,180374,71131,49493,14971,,,,4406,,,-64,225767,57364,83356,3641,6948,71450,2751,53,32,,1050,-893,2836562
Hokuriku,1983,634908,452208,162353,57541,,54,,92527,38719,84369,15646,,997,,558,75414,75362,52,,54233,,54233,52494,31993,17974,,,,703,,,-27,90867,11545,25197,1085,36723,16574,,178,94,,81,-615,725776
Kansai,1983,4097032,2620420,280873,356185,264169,5197,,747882,404243,488200,72668,,1000,,954,814432,813580,852,,510023,69580,440443,151201,107580,14912,,,,17904,,,-427,306079,83723,84522,5116,3917,103286,19329,3258,152,,3663,-908,4403112
Chugoku,1983,1416175,944587,98426,152747,23366,8038,,210558,155871,254179,41130,267,,,2949,287845,287688,156,,108945,7086,101858,71847,60335,8087,,,,3291,,,-12,145459,39757,38635,1555,23864,39830,331,2,694,,1189,-401,1561635
Shikoku,1983,873498,673687,119478,90414,124612,343,,148994,52961,106486,29663,729,,,373,72194,72107,86,,93769,11264,82504,33474,22363,9437,,,,1671,,,-51,85984,21946,26344,1173,15772,18800,1838,64,43,,363,-363,959482
Kyushu,1983,2153737,1323841,112274,204053,95767,33655,,368292,177064,282212,50522,,,,5860,603432,603372,60,,146871,36548,110323,73731,51993,17624,,,,3668,,,-181,171889,54292,47281,5746,17576,44902,,485,144,,1878,-419,2325626
Okinawa,1983,113566,109921,,30525,,13018,,12506,10828,38182,4315,,545,,696,2548,2548,,,,,,400,300,90,,,,,,,-1,9502,1899,1798,43,,5712,,5,71,,3,-32,123069
Hokkaido,1982,914268,633837,99167,160289,,5524,,145669,58454,133061,31331,,338,,1078,216898,216865,33,,35932,,35932,26521,17351,7495,,,,1592,,,-3,70128,19510,11167,649,10863,27221,,294,131,,417,-129,985959
Tohoku,1982,1935815,1116543,147629,160505,,4269,,313916,145929,274914,68877,,501,,3929,454760,454364,395,,100472,,100472,260109,209209,47685,,,,4800,,,-1822,167092,52405,55746,2368,5594,48222,,107,2377,,917,-646,2102908
Tokyo,1982,7397365,4653057,338235,587114,550468,10372,,1408796,693920,962459,100675,,1014,,803,1833233,1831910,1323,,704470,97886,606584,205800,70653,99354,,,,19631,,,-58,517458,124108,193071,21350,238,113383,,3185,1550,,62829,-2261,7914824
Chubu,1982,2491024,1743959,254306,254399,105686,741,,436393,213399,411191,66571,391,878,,2353,481025,480846,179,,195802,20986,174815,67883,46565,14230,,,,4665,,,-63,288936,115425,69917,3080,3378,88918,5584,188,40,,3183,-782,2779961
Hokuriku,1982,611029,464338,169230,63672,,62,,91581,39974,82472,16341,,1002,,663,53203,53180,23,,49112,,49112,43711,23138,18230,,,,862,,,-35,86704,13763,22595,955,28591,20310,,188,318,,538,-557,697733
Kansai,1982,3799758,2459200,277303,340786,287132,5954,,634407,397367,451865,63381,,1000,,942,712673,712021,651,,488461,61798,426662,138481,97245,15122,,,,18608,,,-421,345061,79507,77748,5304,6565,140514,25458,3233,169,,7454,-908,4144820
Chugoku,1982,1297183,937515,97891,173551,25394,9022,,208189,146198,237255,39635,376,,,2813,183143,183003,139,,102642,6627,96014,71069,59708,8117,,,,3055,,,-5,155576,40367,35427,1538,43251,33258,449,5,485,,1195,-402,1452759
Shikoku,1982,865712,590409,123487,54173,134570,398,,98209,50599,101217,26959,794,,,825,153564,153564,,,85586,15946,69640,35326,25267,7251,,,,2816,,,-55,83951,22368,23263,1510,12460,21491,2685,59,63,,272,-224,949663
Kyushu,1982,1970749,1179402,103756,164774,108444,33121,,305643,157366,258500,47794,,,,4385,565951,565777,174,,145766,13240,132525,75243,53422,17961,,,,3622,,,-218,178182,60003,42031,6634,21608,47857,,5,145,,322,-426,2154208
Okinawa,1982,115530,110776,,34896,,14352,,11725,10683,35293,3825,,,,739,3593,3593,,,,,,420,308,90,,,,,,,-1,7677,2202,1727,185,,3464,,4,43,,67,-19,123208
Hokkaido,1981,824927,599253,100805,156186,,6812,,129315,52594,123557,29646,,338,,1078,172006,171966,40,,29014,,29014,23576,17179,4625,,,,1717,,,-3,69872,17866,11498,618,7095,32233,,241,87,,371,-135,896682
Tohoku,1981,1687939,1040183,141384,158169,,4476,,282396,140007,248622,64628,,502,,3044,365962,365878,84,,92892,,92892,185858,145597,36612,,,,4904,,,-1438,179617,47104,52822,1905,,76482,,51,1075,,751,-573,1867556
Tokyo,1981,6769874,4245061,237254,613227,337843,9954,,1341319,704334,904781,95353,,997,,707,1684422,1683823,599,,649180,102867,546313,190504,64896,84372,,,,26486,,,-59,528966,126685,183722,14728,219,134990,2891,1792,1683,,64514,-2257,7298840
Chubu,1981,2287809,1725378,245072,282706,115712,844,,416326,214050,388566,60351,859,893,,2003,303224,303026,198,,192987,18670,174317,64217,43841,14260,,,,4405,,,-67,218604,52120,64633,2811,949,93976,1960,57,67,,2790,-759,2506413
Hokuriku,1981,589587,473019,176386,72070,,19,,88609,40289,78589,16052,,1005,,777,35450,35384,66,,40381,,40381,39961,19945,17109,,,,1026,,,-35,77513,13403,21812,1176,16609,24573,,170,119,,107,-455,667101
Kansai,1981,3499408,2305780,284367,244806,316037,6707,,583020,393805,415867,60172,,1001,,941,598533,597694,838,,464480,49384,415095,129674,88733,15056,,,,19325,,,-433,321808,76208,74557,5632,2991,144787,15357,124,157,,2922,-928,3821215
Chugoku,1981,1234428,905618,98243,195095,25642,9920,,180648,140686,218554,36829,,,,2587,164587,164515,72,,92201,5201,87000,69434,57668,8356,,,,3147,,,-8,185301,50869,36654,2037,47630,47159,,5,307,,1096,-454,1419729
Shikoku,1981,804867,531785,53843,61087,149367,449,,94258,50777,94720,26406,877,,,867,154123,154123,,,87314,21087,61227,35779,25862,6937,,,,3003,,,-75,84687,22202,25174,1913,6624,26332,2424,32,25,,236,-273,889555
Kyushu,1981,1753923,1153569,103049,179260,121126,27040,,293693,154553,232044,42804,,,,4564,386682,386577,106,,131034,14999,116035,78074,55966,17492,,,,4486,,,-234,176574,59980,39381,5565,18764,52953,,7,138,,250,-462,1935022
Okinawa,1981,111,107,,38,,11,,12,10,32,3,,,,1,3,3,,,,,,,,a,,,,,,,a,10,2,2,a,,6,,a,a,,a,,120980
Hokkaido,1980,736178,573242,101980,172427,,7797,,103883,47960,113696,25159,,338,,980,112382,112373,10,,26222,,26222,23352,17043,4615,,,,1653,,,-3,58655,17084,9722,1914,3802,25717,,178,83,,286,-131,796853
Tohoku,1980,1432401,910650,106510,172407,,3767,,224657,122355,222433,58018,,502,,1838,318146,318039,106,,91428,,91428,110339,77628,25921,,,,6984,,,-347,191672,50450,53513,1855,6640,77812,,65,1287,,674,-623,1627599
Tokyo,1980,6048117,3930350,205758,664216,372487,9653,,1130815,633417,822327,90658,,1020,,674,1345415,1344261,1153,,599913,60372,539542,171764,67758,68518,,,,22286,,,-51,541467,130865,181996,18301,335,145860,3591,2123,1464,,59210,-2277,6589584
Chubu,1980,2123392,1554264,248935,207438,99869,922,,378584,203883,364332,48857,684,761,,1818,318460,318118,342,,184493,17707,166786,64357,50177,8684,,,,4217,,,-311,275492,57094,63247,3461,69734,78979,2822,25,26,,1664,-1558,2401846
Hokuriku,1980,557207,319980,96672,33390,,22,,63107,35299,74902,15660,,929,,540,162142,162068,74,,37050,,37050,37495,18917,15871,,,,1468,,,-26,84955,11041,22252,988,32256,18649,,183,92,,144,-648,642162
Kansai,1980,3250570,2212169,291480,241905,323220,7612,,531192,373164,384767,57828,,1001,,891,464463,463675,788,,451216,54010,397206,121830,83646,13041,,,,19334,,,-446,302014,72296,75397,5246,21258,115886,9831,173,137,,2729,-937,3552584
Chugoku,1980,1107357,762399,91719,126973,26355,10749,,159248,124488,189402,33465,,,,3193,194331,194002,329,,80949,4908,76041,66485,54558,8573,,,,3098,,,-10,148532,33176,33773,1574,39259,39953,61,1,232,,920,-418,1255889
Shikoku,1980,753569,413142,46006,70738,56417,504,,82186,45844,86481,24965,,,,262,226306,226121,185,,78053,6814,71238,35805,26743,6329,,,,2758,,,-79,100906,21213,24614,1137,23768,25582,4508,45,89,,220,-267,854475
Kyushu,1980,1551915,1069297,91117,202417,131733,22728,,225999,146942,207811,40549,,,,4711,272771,272567,204,,126897,10641,116256,78239,57737,15939,,,,4383,,,-271,190489,60511,36818,4771,38168,50378,,6,128,,144,-433,1745371
Okinawa,1980,106,90,,26,,11,,12,10,29,3,,,,1,16,16,,,,,,,,a,,,,,,,a,10,2,2,a,,7,,a,a,,,,116518
Hokkaido,1979,630937,461658,84767,115696,,8246,,85659,43061,101581,22309,,338,,695,129538,129533,5,,15387,,15387,23660,17350,4626,,,,1653,,,-3,48959,14850,10118,629,3796,19226,,146,63,,255,-123,681107
Tohoku,1979,1221599,801376,99986,122958,,3858,,206872,115612,200807,51283,,,,1555,257052,257016,36,,84456,,84456,77160,42832,26192,,,,8007,,,-13,135515,45063,35027,12922,,41124,,478,746,,565,-409,1359592
Tokyo,1979,5274375,3475834,203118,563048,405012,9977,,899911,572138,738447,83166,,1017,,430,1098636,1096830,1806,,549424,58981,490443,150051,64168,58743,,,,17579,,,-76,393277,68847,116488,15206,338,109348,7698,7996,1126,,67742,-1512,5667652
Chubu,1979,1956961,1394427,150666,223698,109659,962,,346592,173691,342187,46067,154,751,,1767,307711,306457,1254,,187384,19687,167697,65673,52294,8731,,,,3292,,,-317,175587,57751,40557,3955,1000,51753,1103,1932,70,,17968,-501,2134964
Hokuriku,1979,493080,310369,99480,36641,,26,,56725,32915,70131,13520,,931,,631,117414,117396,18,,31366,,31366,33299,18340,10939,,,,2336,,,-15,63908,11369,15101,858,16419,15859,,155,104,,4419,-375,556987
