Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Tokyo,2011,13019916,7440562,647632,851854,729796,68839,14197,2019467,792230,2167114,143012,,6415,49208,6965,882115,878563,3552,,845754,131696,714058,3795309,126246,683400,1125997,1762671,,97584,,,-590,2129346,1202251,407839,55570,,169248,3582,4578,15567,,273893,-3183,15149263
Chubu,2011,4676600,3222743,263192,468661,247012,100,8112,894539,397580,819439,123270,,835,12790,11755,434637,434211,426,,252057,40040,212017,742615,153202,153720,229166,,,9915,,196940,-330,698660,164979,129982,15425,255000,91083,,2454,4394,20443,16130,-1232,5375261
Hokuriku,2011,1174468,907107,107473,115841,226827,60,1684,177339,89948,155756,32106,,67,4091,2445,30978,30920,58,,95161,26219,68942,134683,55431,23881,21036,,,2304,,32075,-47,183669,90373,34508,6740,,26315,,7789,2830,9765,5534,-188,1358137
Kansai,2011,6207520,3686422,330622,454058,366659,1018,2162,1062585,423618,911193,115410,,19092,16849,8002,425517,424898,619,,527737,95355,432381,1542990,167394,414691,611762,,,16255,,333396,-511,452964,92976,125533,69092,,94220,,1445,6051,38825,26324,-1504,6660484
Chugoku,2011,2463557,1471820,142997,193997,76939,2034,1981,378418,155713,398465,91332,29939,,845,5604,549201,548173,1028,,166174,13877,152297,269910,69544,35322,72111,,,32913,,60078,-60,225401,87546,63754,4019,,45413,138,483,10602,9918,4135,-611,2688958
Shikoku,2011,1221363,777474,69653,91421,106544,518,879,166734,93260,213940,33334,,1188,4270,378,19333,19213,119,,138402,25834,112568,281504,43620,73773,121928,,,17043,,25239,-100,91742,6764,31287,10756,,27822,,951,7948,6728,2169,-2687,1313106
Kyushu,2011,3675144,2528900,333906,201750,244533,19922,15550,698305,241268,631294,135618,968,5782,36971,4504,186647,184007,2639,,267124,84008,183115,650996,113811,151627,220293,,,4352,,161466,-554,435806,131959,91496,15047,100000,63160,,377,2852,24784,6638,-511,4110950
Okinawa,2011,361106,264116,,66116,,13402,267,57327,34480,75381,16594,,545,220,829,76634,76626,7,,,,,19306,8747,5380,,,,172,,5094,-88,20680,2266,4683,546,,9475,,47,67,1566,2159,-131,381787
Hokkaido,2010,1484220,1100379,107769,98715,316536,1542,839,183107,81087,271806,38635,,338,133,2591,116253,116126,127,,84585,17775,66809,180276,43617,21406,70266,,,305,,44829,-149,91979,12625,30675,1073,,29759,,216,5626,8687,4051,-736,1576200
Tohoku,2010,3430663,2463928,145568,271916,385903,6083,12418,614940,252943,665483,108169,,501,2300,7523,303144,298949,4194,,152325,27746,124579,501441,78083,194988,106506,,,5453,,116694,-285,270180,93432,80059,5002,,50170,,373,2029,20519,18962,-369,3700844
