Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Chugoku,201208,10852,2012.08.03.15
Shikoku,201208,5258,2012.08.07.14
Kyushu,201208,15164,2012.08.07.15
Okinawa,201208,1419,2012.08.13.17
Hokkaido,201207,4534,2012.07.31.20
Tohoku,201207,13458,2012.07.31.15
Tokyo,201207,50383,2012.07.27.15
Chubu,201207,24782,2012.07.27.15
Hokuriku,201207,5156,2012.07.31.15
Kansai,201207,26725,2012.07.27.17
Chugoku,201207,10722,2012.07.31.15
Shikoku,201207,5181,2012.07.30.15
Kyushu,201207,15206,2012.07.26.15
Okinawa,201207,1484,2012.07.06.17
Hokkaido,201206,4155,2012.06.29.15
Tohoku,201206,10325,2012.06.29.15
Tokyo,201206,40103,2012.06.20.14
Chubu,201206,19595,2012.06.29.15
Hokuriku,201206,4066,2012.06.28.15
Kansai,201206,21163,2012.06.29.15
Chugoku,201206,8315,2012.06.26.15
Shikoku,201206,4087,2012.06.29.15
Kyushu,201206,11914,2012.06.14.17
Okinawa,201206,1392,2012.06.29.17
Hokkaido,201205,4286,2012.05.01.20
Tohoku,201205,10052,2012.05.18.12
Tokyo,201205,35678,2012.05.29.15
Chubu,201205,18515,2012.05.15.11
Hokuriku,201205,3784,2012.05.11.12
Kansai,201205,19472,2012.05.29.12
Chugoku,201205,7883,2012.05.29.15
Shikoku,201205,3842,2012.05.29.15
Kyushu,201205,11229,2012.05.29.17
Okinawa,201205,1270,2012.05.15.15
Hokkaido,201204,4947,2012.04.03.19
Tohoku,201204,11291,2012.04.06.10
Tokyo,201204,37845,2012.04.03.19
Chubu,201204,20101,2012.04.03.12
Hokuriku,201204,4301,2012.04.06.10
Kansai,201204,21061,2012.04.04.11
Chugoku,201204,8322,2012.04.03.12
Shikoku,201204,3896,2012.04.03.10
Kyushu,201204,11535,2012.04.03.20
Okinawa,201204,1130,2012.04.30.20
Hokkaido,201203,5316,2012.03.05.19
Tohoku,201203,12355,2012.03.02.18
Tokyo,201203,47116,2012.03.05.11
Chubu,201203,21044,2012.03.12.10
Hokuriku,201203,4710,2012.03.13.10
Kansai,201203,23080,2012.03.12.19
Chugoku,201203,9210,2012.03.12.10
Shikoku,201203,4490,2012.03.12.19
Kyushu,201203,13034,2012.03.12.20
Okinawa,201203,1031,2012.03.05.20
Hokkaido,201202,5684,2012.02.02.18
Tohoku,201202,13623,2012.02.02.18
Tokyo,201202,49515,2012.02.02.19
Chubu,201202,23674,2012.02.02.10
Hokuriku,201202,5257,2012.02.02.11
Kansai,201202,25779,2012.02.02.19
Chugoku,201202,10452,2012.02.02.19
Shikoku,201202,5222,2012.02.02.19
Kyushu,201202,15380,2012.02.02.19
Okinawa,201202,1070,2012.02.03.20
Hokkaido,201201,5655,2012.01.11.18
Tohoku,201201,13552,2012.01.26.18
Tokyo,201201,49657,2012.01.20.18
Chubu,201201,22602,2012.01.27.10
Hokuriku,201201,5107,2012.01.26.11
Kansai,201201,24467,2012.01.26.19
Chugoku,201201,10029,2012.01.25.19
Shikoku,201201,4987,2012.01.25.19
Kyushu,201201,14533,2012.01.25.19
Okinawa,201201,1083,2012.01.25.20
Hokkaido,201112,5582,2011.12.22.17
Tohoku,201112,13066,2011.12.16.18
Tokyo,201112,45748,2011.12.26.18
Chubu,201112,22356,2011.12.26.18
Hokuriku,201112,4980,2011.12.26.18
Kansai,201112,24042,2011.12.26.18
Chugoku,201112,9805,2011.12.26.18
Shikoku,201112,4659,2011.12.26.19
Kyushu,201112,13855,2011.12.26.19
Okinawa,201112,1044,2011.12.07.19
Hokkaido,201111,5235,2011.11.30.17
Tohoku,201111,11737,2011.11.21.18
Tokyo,201111,40678,2011.11.28.18
Chubu,201111,19636,2011.11.28.17
Hokuriku,201111,4408,2011.11.24.18
Kansai,201111,21406,2011.11.24.18
Chugoku,201111,8619,2011.11.24.19
Shikoku,201111,4193,2011.11.24.19
Kyushu,201111,12276,2011.11.25.19
Okinawa,201111,1220,2011.11.04.19
Hokkaido,201110,4687,2011.10.26.18
Tohoku,201110,10506,2011.10.26.18
Tokyo,201110,37761,2011.10.25.18
Chubu,201110,18536,2011.10.14.17
Hokuriku,201110,3924,2011.10.25.12
Kansai,201110,20169,2011.10.14.18
Chugoku,201110,8047,2011.10.14.18
Shikoku,201110,3965,2011.10.14.18
Kyushu,201110,11773,2011.10.13.19
Okinawa,201110,1250,2011.10.14.19
Hokkaido,201109,4853,2011.09.16.19
Tohoku,201109,11786,2011.09.16.15
Tokyo,201109,47005,2011.09.14.15
Chubu,201109,23700,2011.09.13.15
Hokuriku,201109,5082,2011.09.15.15
Kansai,201109,26128,2011.09.14.16
Chugoku,201109,10082,2011.09.14.15
Shikoku,201109,4969,2011.09.01.12
Kyushu,201109,15435,2011.09.01.15
Okinawa,201109,1417,2011.09.01.16
Hokkaido,201108,4827,2011.08.11.12
Tohoku,201108,12461,2011.08.09.15
Tokyo,201108,49216,2011.08.18.15
Chubu,201108,25201,2011.08.10.15
Hokuriku,201108,5334,2011.08.09.15
Kansai,201108,27844,2011.08.09.15
Chugoku,201108,10830,2011.08.09.15
Shikoku,201108,5441,2011.08.09.15
Kyushu,201108,15345,2011.08.30.17
Okinawa,201108,1415,2011.08.25.12
Hokkaido,201107,4683,2011.07.28.15
Tohoku,201107,11767,2011.07.14.15
Tokyo,201107,46383,2011.07.15.15
Chubu,201107,23370,2011.07.11.15
Hokuriku,201107,5123,2011.07.14.15
Kansai,201107,26158,2011.07.11.17
Chugoku,201107,9887,2011.07.13.15
Shikoku,201107,5030,2011.07.29.15
Kyushu,201107,15229,2011.07.15.17
Okinawa,201107,1443,2011.07.22.17
Hokkaido,201106,4291,2011.06.22.14
Tohoku,201106,10676,2011.06.22.15
Tokyo,201106,45709,2011.06.29.15
Chubu,201106,24128,2011.06.29.15
Hokuriku,201106,4771,2011.06.29.15
Kansai,201106,27161,2011.06.29.15
Chugoku,201106,10098,2011.06.29.15
Shikoku,201106,5161,2011.06.29.15
Kyushu,201106,14711,2011.06.24.17
Okinawa,201106,1424,2011.06.17.15
Hokkaido,201105,4360,2011.05.02.20
Tohoku,201105,9562,2011.05.20.15
