Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Okinawa,199807,3663,,2924,2,3000,1390,3,71500,15784,21442,3259,654,,,
Hokkaido,199806,53227,287901,40474,1,15000,2100,18,955100,158891,214247,56164,17585,122554,2752,2756
Tohoku,199806,19370,156054,22745,10,24270,12030,91,2079500,612981,874441,207546,69915,1,1,1
Tokyo,199806,70445,477870,67922,5,6950,1972,131,4757770,1322090,2039683,491674,155051,,,
Chubu,199806,30518,252323,31385,1,2800,553,55,1965350,713022,2568385,571495,163291,,,
Hokuriku,199806,18136,121627,14883,1,2000,980,29,711100,188955,376486,87843,30351,0,0,0
Kansai,199806,73426,277689,46017,3,5040,1708,114,3600650,936772,1299727,309499,90995,,,
Chugoku,199806,88440,568098,68312,17,18735,4786,92,2862850,732029,917036,270140,72912,,,
Shikoku,199806,12925,103874,11600,13,33670,11044,47,923300,277120,669867,170327,48800,0,0,0
Kyushu,199806,33089,245534,27721,18,30330,8054,102,2370700,677355,1521536,333696,93001,,,
Okinawa,199806,3622,,2790,2,3000,1274,3,71500,18297,21380,3223,754,,,
Hokkaido,199805,52803,284881,49638,1,15000,2227,18,955100,196927,215038,56335,21054,281586,8212,11414
Tohoku,199805,19107,153874,27132,10,24270,11613,91,2079500,627966,874269,208026,88262,105,2,-1
Tokyo,199805,69949,473663,79976,5,6950,1876,131,4757770,1442597,2041886,492211,194520,,,
Chubu,199805,30149,249493,39695,1,2800,603,55,1965350,741727,2571044,572300,224265,,,
Hokuriku,199805,17613,118262,17696,1,2000,1079,29,711100,204556,377510,88110,38100,0,0,0
Kansai,199805,72413,273283,55765,3,5040,1693,114,3600450,1011771,1301695,309937,118372,,,
Chugoku,199805,87547,562360,75316,17,18705,4297,92,2861350,760364,917972,270643,84580,,,
Shikoku,199805,12751,102666,12615,13,33670,11183,47,927500,297667,667817,169859,56900,0,0,0
Kyushu,199805,32013,239410,31402,18,30330,8315,102,2382600,688879,1521844,333715,113734,,,
Okinawa,199805,3618,,2724,2,3000,1305,3,71500,18701,21170,3177,686,,,
Hokkaido,199804,53817,288229,59414,1,15000,2097,18,955100,178842,214725,56318,23747,504833,24427,65009
Tohoku,199804,18754,151011,32052,10,24270,11486,91,2079500,581318,874579,208268,106042,3730,219,5660
Tokyo,199804,69439,469718,89684,5,6950,1850,131,4757270,1402622,2043638,492513,238555,,,
Chubu,199804,29717,246233,39649,1,2800,599,55,1962350,698646,2572375,572566,273382,,,
Hokuriku,199804,17220,115651,18433,1,2000,1073,29,711100,192386,377466,88234,40443,1306,51,199
Kansai,199804,69712,262788,62089,3,5040,1620,114,3600350,919157,1298834,308634,141870,,,
Chugoku,199804,86398,555095,88727,17,18695,4836,93,2863850,727577,918010,270689,103693,,,
Shikoku,199804,12638,101783,14316,13,33670,11322,47,927500,278414,666244,169527,70423,0,0,0
Kyushu,199804,31020,233879,33892,19,32010,8254,102,2376500,638769,1515650,331718,145408,,,
Okinawa,199804,3641,,2834,2,3000,1362,3,71500,16065,21026,3148,988,,,
Hokkaido,199803,50771,272684,58788,1,15000,1790,18,955100,174844,217711,57411,22546,594580,46072,125695
Tohoku,199803,18032,146175,29432,10,23420,13255,90,2050500,566046,872983,208400,98513,269778,25480,15078
Tokyo,199803,67683,460135,82251,6,8400,2383,131,4762420,1358636,2037463,489828,221545,,,
Chubu,199803,28997,242069,37783,1,2800,638,53,1915000,718452,2565970,570821,245718,,,
