Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Kansai,198004,,,,,,1034,,,1276017,,,203332,,,
Chugoku,198004,,,,,,723,,,798188,,,234804,,,
Shikoku,198004,,,,,,6370,,,379542,,,90451,,,
Kyushu,198004,,,,,,1950,,,670170,,,147999,,,
Okinawa,198004,,,,,,,,,11362,,,,,,
Hokkaido,198003,,,,1,33000,8591,11,586800,227275,285452,98838,38889,76517,14033,11190
Tohoku,198003,,,,1,1200,704,69,1920850,859433,980851,341137,146803,19042,4569,2817
Tokyo,198003,,,,2,4750,1902,97,3553800,1409387,1369911,333267,210899,,,
Chubu,198003,,,,1,2000,596,39,1603300,776620,2311879,651840,322008,,,
Hokuriku,198003,,,,1,2000,853,30,739900,387567,337870,103310,45196,6308,249,687
Kansai,198003,,,,,,,99,3098300,1364273,1466728,365144,199847,,,
Chugoku,198003,,,,1,1180,582,47,1845650,818171,1572017,481965,236211,,,
Shikoku,198003,,,,5,10800,6497,18,650300,357752,682445,187175,91419,,,
Kyushu,198003,,,,5,7000,1590,55,1582800,722565,1152030,293392,151988,,,
Okinawa,198003,,,,,,,2,29000,14854,,,,,,
Hokkaido,198002,,,,,,7613,,,207405,,,42291,,,11111
Tohoku,198002,,,,,,702,,,793919,,,152973,,,4400
Tokyo,198002,,,,,,1793,,,1311438,,,200102,,,
Chubu,198002,,,,,,603,,,734217,,,340745,,,
Hokuriku,198002,,,,,,727,,,338053,,,48910,,,1421
Kansai,198002,,,,,,,,,1255761,,,229933,,,
Chugoku,198002,,,,,,724,,,756484,,,263254,,,
Shikoku,198002,,,,,,6113,,,315328,,,102279,,,
Kyushu,198002,,,,,,1369,,,681288,,,163944,,,
Okinawa,198002,,,,,,,,,13388,,,,,,
Hokkaido,198001,,,,,,8064,,,227837,,,37197,,,4064
Tohoku,198001,,,,,,653,,,813797,,,164346,,,1669
Tokyo,198001,,,,,,1719,,,1300914,,,203440,,,
Chubu,198001,,,,,,557,,,725417,,,344698,,,
Hokuriku,198001,,,,,,820,,,374496,,,45536,,,735
Kansai,198001,,,,,,,,,1215793,,,212572,,,
Chugoku,198001,,,,,,767,,,800778,,,235933,,,
Shikoku,198001,,,,,,5751,,,329895,,,93691,,,
Kyushu,198001,,,,,,1170,,,646908,,,165830,,,
Okinawa,198001,,,,,,,,,7180,,,,,,
Hokkaido,197912,,,,,,8124,,,219684,,,35118,,,92
Tohoku,197912,,,,,,701,,,838022,,,127257,,,76
Tokyo,197912,,,,,,1753,,,1350125,,,158692,,,
Chubu,197912,,,,,,595,,,720160,,,285028,,,
Hokuriku,197912,,,,,,832,,,376105,,,40463,,,60
Kansai,197912,,,,,,,,,1253747,,,172693,,,
Chugoku,197912,,,,,,765,,,793968,,,208484,,,
Shikoku,197912,,,,,,6460,,,323098,,,82588,,,
Kyushu,197912,,,,,,1737,,,707311,,,137136,,,
Okinawa,197912,,,,,,,,,8272,,,,,,
Hokkaido,197911,,,,,,7462,,,210137,,,30676,,,-3
Tohoku,197911,,,,,,702,,,816463,,,117309,,,
Tokyo,197911,,,,,,1909,,,1354525,,,133778,,,
Chubu,197911,,,,,,566,,,710380,,,254746,,,
Hokuriku,197911,,,,,,781,,,362600,,,36313,,,5
Kansai,197911,,,,,,,,,1244258,,,151515,,,
Chugoku,197911,,,,,,663,,,794593,,,174433,,,
Shikoku,197911,,,,,,6327,,,315762,,,70360,,,
Kyushu,197911,,,,,,1650,,,705005,,,121142,,,
Okinawa,197911,,,,,,,,,7625,,,,,,
Hokkaido,197910,,,,,,10557,,,216724,,,26855,,,6
Tohoku,197910,,,,,,732,,,827378,,,98573,,,
Tokyo,197910,,,,,,1762,,,1419853,,,123076,,,
Chubu,197910,,,,,,575,,,727035,,,200039,,,
Hokuriku,197910,,,,,,750,,,358805,,,31115,,,
Kansai,197910,,,,,,,,,1291597,,,115954,,,
Chugoku,197910,,,,,,750,,,827353,,,139201,,,
Shikoku,197910,,,,,,6406,,,308277,,,56526,,,
Kyushu,197910,,,,,,1957,,,676766,,,92077,,,
Okinawa,197910,,,,,,,,,7984,,,,,,
Hokkaido,197909,,,,1,33000,10152,11,586800,224191,281604,98892,25882,97,14,1
Tohoku,197909,,,,6,7300,3144,98,2117590,864323,946058,337095,89691,,,
Tokyo,197909,,,,2,4750,1733,99,3548700,1267302,1252206,305559,99607,,,
Chubu,197909,,,,1,2000,621,39,1595300,707273,2248824,642749,197481,,,
Hokuriku,197909,,,,1,2000,823,36,830800,339414,332965,103256,29329,66,5,
Kansai,197909,,,,,,,99,3094300,1197694,1390548,348807,104763,,,
Chugoku,197909,,,,1,1180,717,47,1887650,816268,1493444,462636,124385,,,
Shikoku,197909,,,,5,10800,5262,21,655150,333142,654228,181176,53013,,,
Kyushu,197909,,,,5,7000,1803,54,1581800,621162,1108205,283462,87842,,,
Okinawa,197909,,,,,,,1,17000,7047,,,,,,
Hokkaido,197908,,,,,,9611,,,211079,,,27219,,,11
Tohoku,197908,,,,,,2743,,,747524,,,90852,,,
Tokyo,197908,,,,,,1443,,,1216512,,,100811,,,
Chubu,197908,,,,,,581,,,677876,,,189339,,,
Hokuriku,197908,,,,,,819,,,327432,,,29416,,,
Kansai,197908,,,,,,,,,1198591,,,100266,,,
Chugoku,197908,,,,,,,,,810407,,,127486,,,
Shikoku,197908,,,,,,5246,,,315997,,,52835,,,
Kyushu,197908,,,,,,1881,,,613417,,,85016,,,
Okinawa,197908,,,,,,,,,7625,,,,,,
Hokkaido,197907,,,,,,13823,,,227856,,,29858,,,4
Tohoku,197907,,,,,,11772,,,791765,,,93315,,,
Tokyo,197907,,,,,,1804,,,1275456,,,108723,,,
Chubu,197907,,,,,,614,,,707850,,,202897,,,
Hokuriku,197907,,,,,,1043,,,368395,,,30483,,,
Kansai,197907,,,,,,,,,1188589,,,113271,,,
Chugoku,197907,,,,,,,,,869452,,,140750,,,
Shikoku,197907,,,,,,6315,,,321132,,,56463,,,
Kyushu,197907,,,,,,1444,,,585119,,,96957,,,
Okinawa,197907,,,,,,,,,8138,,,,,,
Hokkaido,197906,,,,,,10692,,,232461,,,33040,,,6
Tohoku,197906,,,,,,,,,865653,,,109471,,,
Tokyo,197906,,,,,,2909,,,1269327,,,116833,,,
Chubu,197906,,,,,,599,,,698790,,,222131,,,
Hokuriku,197906,,,,,,1059,,,396764,,,36111,,,
Kansai,197906,,,,,,,,,1220562,,,133365,,,
Chugoku,197906,,,,,,,,,819223,,,170729,,,
Shikoku,197906,,,,,,5447,,,332356,,,70824,,,
Kyushu,197906,,,,,,1082,,,623905,,,115005,,,
Okinawa,197906,,,,,,,,,,,,,,,
Hokkaido,197905,,,,,,5289,,,211248,,,36949,,,277
Tohoku,197905,,,,,,,,,844260,,,135251,,,9
Tokyo,197905,,,,,,2879,,,1224128,,,154471,,,
Chubu,197905,,,,,,559,,,714162,,,287225,,,
Hokuriku,197905,,,,,,1034,,,392783,,,39737,,,
Kansai,197905,,,,,,,,,1217078,,,157768,,,
Chugoku,197905,,,,,,,,,801713,,,190479,,,
Shikoku,197905,,,,,,6097,,,347351,,,74366,,,
Kyushu,197905,,,,,,759,,,632211,,,124505,,,
Okinawa,197905,,,,,,,,,,,,,,,
Hokkaido,197904,,,,,,6107,,,198057,,,39215,,,3553
Tohoku,197904,,,,,,,,,791476,,,135542,,,186
Tokyo,197904,,,,,,3202,,,1189697,,,164415,,,
Chubu,197904,,,,,,578,,,663998,,,308886,,,
Hokuriku,197904,,,,,,994,,,380943,,,44365,,,66
Kansai,197904,,,,,,,,,1148514,,,184612,,,
Chugoku,197904,,,,,,,,,782504,,,217756,,,
Shikoku,197904,,,,,,6276,,,334149,,,85259,,,
Kyushu,197904,,,,,,628,,,605422,,,145930,,,
Okinawa,197904,,,,,,,,,,,,,,,
Hokkaido,197903,,,,1,33000,5623,11,571800,196869,282765,100179,37579,74138,13159,8948
Tohoku,197903,,,,,,,93,2042800,847309,931532,337723,137978,15466,3732,980
Tokyo,197903,,,,3,6450,3161,95,3473800,1226025,1150779,281379,166549,,,
Chubu,197903,,,,1,2000,532,38,1650000,693623,2200790,638863,286612,,,
Hokuriku,197903,,,,,,,37,808500,383969,331354,104031,42175,5960,245,330
Kansai,197903,,,,,,,102,3055600,1158963,1318308,333579,175627,,,
Chugoku,197903,,,,,,,46,1843850,786413,1434635,448298,206268,,,
Shikoku,197903,,,,,,,20,639150,339848,634269,177410,81570,,,
Kyushu,197903,,,,,,,54,1598600,643533,1081424,278106,134907,,,
Okinawa,197903,,,,,,,,,,,,,,,
Hokkaido,197902,,,,,,4610,,,180905,,,42482,,,12861
Tohoku,197902,,,,,,,,,761664,,,159919,,,2979
Tokyo,197902,,,,,,2770,,,1111991,,,171361,,,
Chubu,197902,,,,,,565,,,636889,,,316436,,,
Hokuriku,197902,,,,,,,,,313280,,,46905,,,589
Kansai,197902,,,,,,,,,1072399,,,192442,,,
Chugoku,197902,,,,,,,,,714801,,,237605,,,
Shikoku,197902,,,,,,,,,323188,,,92447,,,
Kyushu,197902,,,,,,,,,601150,,,150041,,,
Okinawa,197902,,,,,,,,,,,,,,,
Hokkaido,197901,,,,,,5021,,,180171,,,38076,,,4787
Tohoku,197901,,,,,,,,,812977,,,146279,,,1060
Tokyo,197901,,,,,,2687,,,1137576,,,176557,,,
Chubu,197901,,,,,,619,,,671011,,,329755,,,
Hokuriku,197901,,,,,,,,,360395,,,45145,,,554
Kansai,197901,,,,,,,,,1102366,,,194981,,,
Chugoku,197901,,,,,,,,,759826,,,215415,,,
Shikoku,197901,,,,,,,,,322032,,,86666,,,
Kyushu,197901,,,,,,,,,623026,,,155458,,,
Okinawa,197901,,,,,,,,,,,,,,,
Hokkaido,197812,,,,,,5285,,,176174,,,35090,,,219
Tohoku,197812,,,,,,,,,820731,,,125293,,,53
Tokyo,197812,,,,,,2620,,,1200506,,,134738,,,
Chubu,197812,,,,,,616,,,693619,,,272055,,,
Hokuriku,197812,,,,,,,,,392746,,,40227,,,107
Kansai,197812,,,,,,,,,1133426,,,160577,,,
Chugoku,197812,,,,,,,,,753614,,,189374,,,
Shikoku,197812,,,,,,,,,346797,,,75032,,,
Kyushu,197812,,,,,,,,,656417,,,125796,,,
Okinawa,197812,,,,,,,,,,,,,,,
Hokkaido,197811,,,,,,4977,,,166751,,,31535,,,
Tohoku,197811,,,,,,,,,783279,,,117045,,,
Tokyo,197811,,,,,,2803,,,1191716,,,122600,,,
Chubu,197811,,,,,,641,,,665155,,,245164,,,
Hokuriku,197811,,,,,,,,,378665,,,37043,,,5
Kansai,197811,,,,,,,,,1161074,,,133386,,,
Chugoku,197811,,,,,,,,,762473,,,166358,,,
Shikoku,197811,,,,,,,,,344605,,,66467,,,
Kyushu,197811,,,,,,,,,617235,,,113166,,,
Okinawa,197811,,,,,,,,,,,,,,,
Hokkaido,197810,,,,,,7726,,,181217,,,27539,,,
Tohoku,197810,,,,,,,,,808285,,,97996,,,
Tokyo,197810,,,,,,2814,,,1237688,,,112689,,,
Chubu,197810,,,,,,587,,,699992,,,202883,,,
Hokuriku,197810,,,,,,,,,378791,,,30945,,,
Kansai,197810,,,,,,,,,1155920,,,105439,,,
Chugoku,197810,,,,,,,,,774148,,,127177,,,
Shikoku,197810,,,,,,,,,344535,,,52587,,,
Kyushu,197810,,,,,,,,,633582,,,90440,,,
Okinawa,197810,,,,,,,,,,,,,,,
Hokkaido,197809,,,,1,33000,9103,11,572900,188887,283810,101510,25032,-26,3,
Tohoku,197809,,,,,,,93,2071800,795506,913467,337271,87004,,,
Tokyo,197809,,,,3,6450,2579,96,3499500,1144578,1053450,258327,83710,,,
Chubu,197809,,,,1,2000,630,38,1658500,684032,2148358,633845,184815,,,
Hokuriku,197809,,,,,,,37,810300,311734,329887,104874,28524,,,
Kansai,197809,,,,,,,102,3076100,1138695,1251191,320472,89679,,,
Chugoku,197809,,,,,,,46,1778550,737941,1374019,433384,108097,,,
Shikoku,197809,,,,,,,20,696450,339710,612118,172884,47756,,,
Kyushu,197809,,,,,,,54,1575300,563034,1057156,273285,80591,,,
Okinawa,197809,,,,,,,,,,,,,,,
Hokkaido,197808,,,,,,11466,,,199059,,,25271,,,-4
Tohoku,197808,,,,,,,,,730127,,,80277,,,
Tokyo,197808,,,,,,2379,,,1144616,,,77514,,,
Chubu,197808,,,,,,598,,,666504,,,171039,,,
Hokuriku,197808,,,,,,,,,306874,,,28255,,,
Kansai,197808,,,,,,,,,1138430,,,85118,,,
Chugoku,197808,,,,,,,,,741013,,,108107,,,
Shikoku,197808,,,,,,,,,346492,,,47467,,,
Kyushu,197808,,,,,,,,,576014,,,76719,,,
Okinawa,197808,,,,,,,,,,,,,,,
Hokkaido,197807,,,,,,12941,,,192463,,,29352,,,
Tohoku,197807,,,,,,,,,742755,,,92832,,,
Tokyo,197807,,,,,,2749,,,1209779,,,91146,,,
Chubu,197807,,,,,,607,,,694628,,,196031,,,
Hokuriku,197807,,,,,,,,,337399,,,30252,,,
Kansai,197807,,,,,,,,,1143875,,,99118,,,
Chugoku,197807,,,,,,,,,768489,,,124918,,,
Shikoku,197807,,,,,,,,,337428,,,52173,,,
Kyushu,197807,,,,,,,,,604421,,,86417,,,
Okinawa,197807,,,,,,,,,,,,,,,
Hokkaido,197806,,,,,,14866,,,193846,,,33303,,,13
Tohoku,197806,,,,,,,,,795528,,,107523,,,2
Tokyo,197806,,,,,,2672,,,1234421,,,97165,,,
Chubu,197806,,,,,,569,,,679253,,,208211,,,
Hokuriku,197806,,,,,,,,,373196,,,35295,,,
Kansai,197806,,,,,,,,,1112177,,,120644,,,
Chugoku,197806,,,,,,,,,716210,,,151702,,,
Shikoku,197806,,,,,,,,,320312,,,61835,,,
Kyushu,197806,,,,,,,,,592774,,,100639,,,
Okinawa,197806,,,,,,,,,,,,,,,
Hokkaido,197805,,,,,,6656,,,196380,,,37246,,,230
Tohoku,197805,,,,,,,,,805058,,,127385,,,6
Tokyo,197805,,,,,,2751,,,1218614,,,127135,,,
Chubu,197805,,,,,,529,,,647126,,,268357,,,
Hokuriku,197805,,,,,,,,,372053,,,38494,,,-1
Kansai,197805,,,,,,,,,1142090,,,132264,,,
Chugoku,197805,,,,,,,,,713177,,,171772,,,
Shikoku,197805,,,,,,,,,347786,,,68272,,,
Kyushu,197805,,,,,,,,,598612,,,121490,,,
Okinawa,197805,,,,,,,,,,,,,,,
Hokkaido,197804,,,,,,7081,,,182458,,,39170,,,5778
Tohoku,197804,,,,,,,,,776490,,,143572,,,544
Tokyo,197804,,,,,,2773,,,1155817,,,152146,,,
Chubu,197804,,,,,,539,,,634262,,,310275,,,
Hokuriku,197804,,,,,,,,,370356,,,44669,,,99
Kansai,197804,,,,,,,,,1099030,,,169987,,,
Chugoku,197804,,,,,,,,,721059,,,202961,,,
Shikoku,197804,,,,,,,,,341436,,,80884,,,
Kyushu,197804,,,,,,,,,604233,,,140345,,,
Okinawa,197804,,,,,,,,,,,,,,,
Hokkaido,197803,,,,1,33000,6167,10,562200,170911,284013,102693,39419,65251,11190,11815
Tohoku,197803,,,,,,,89,2135000,804959,895507,337826,131329,9436,2331,2045
Tokyo,197803,,,,4,8150,3261,89,3351000,1091871,949462,233664,136651,,,
Chubu,197803,,,,1,2000,516,39,1821500,729710,2091780,626963,284112,,,
Hokuriku,197803,,,,,,,36,821300,341947,327556,105592,43195,6501,245,841
Kansai,197803,,,,1,990,209,103,3156100,1140675,1189823,307812,165902,,,
Chugoku,197803,,,,,,,45,1781350,696561,1306378,416797,194706,,,
Shikoku,197803,,,,,,,20,735600,358071,590722,168777,78447,,,
Kyushu,197803,,,,,,,53,1608300,627903,1026084,266586,132325,,,
Okinawa,197803,,,,,,,,,,,,,,,
Hokkaido,197802,,,,,,5151,,,158416,,,42638,,,13591
Tohoku,197802,,,,,,,,,723526,,,146280,,,2926
Tokyo,197802,,,,,,2887,,,1084035,,,143171,,,
Chubu,197802,,,,,,474,,,669933,,,319705,,,
Hokuriku,197802,,,,,,,,,254246,,,47051,,,1197
Kansai,197802,,,,,,173,,,1017941,,,181464,,,
Chugoku,197802,,,,,,,,,643278,,,218894,,,
Shikoku,197802,,,,,,,,,316272,,,86782,,,
Kyushu,197802,,,,,,,,,582419,,,150009,,,
Okinawa,197802,,,,,,,,,,,,,,,
Hokkaido,197801,,,,,,6256,,,160889,,,37966,,,5861
Tohoku,197801,,,,,,,,,775020,,,140305,,,871
Tokyo,197801,,,,,,2668,,,1071096,,,142160,,,
Chubu,197801,,,,,,434,,,681820,,,292161,,,
Hokuriku,197801,,,,,,,,,306608,,,44073,,,547
Kansai,197801,,,,,,188,,,1073969,,,169075,,,
Chugoku,197801,,,,,,,,,652438,,,193862,,,
Shikoku,197801,,,,,,,,,354047,,,79891,,,
Kyushu,197801,,,,,,,,,607944,,,139075,,,
Okinawa,197801,,,,,,,,,,,,,,,
Hokkaido,197712,,,,,,6484,,,172382,,,35357,,,60
Tohoku,197712,,,,,,,,,811071,,,116590,,,2
Tokyo,197712,,,,,,2818,,,1105713,,,105892,,,
Chubu,197712,,,,,,495,,,714031,,,249257,,,
Hokuriku,197712,,,,,,,,,376765,,,38448,,,81
Kansai,197712,,,,,,184,,,1092761,,,141204,,,
Chugoku,197712,,,,,,,,,680535,,,169259,,,
Shikoku,197712,,,,,,,,,388655,,,68605,,,
Kyushu,197712,,,,,,,,,656631,,,118006,,,
Okinawa,197712,,,,,,,,,,,,,,,
Hokkaido,197711,,,,,,6669,,,161226,,,31348,,,
Tohoku,197711,,,,,,,,,858933,,,112141,,,
Tokyo,197711,,,,,,3067,,,1121963,,,94676,,,
Chubu,197711,,,,,,484,,,721542,,,223657,,,
Hokuriku,197711,,,,,,,,,389189,,,34696,,,7
Kansai,197711,,,,,,193,,,1131591,,,111648,,,
Chugoku,197711,,,,,,,,,686891,,,144055,,,
Shikoku,197711,,,,,,,,,390616,,,58538,,,
Kyushu,197711,,,,,,,,,664215,,,101552,,,
Okinawa,197711,,,,,,,,,,,,,,,
Hokkaido,197710,,,,,,11089,,,170873,,,27097,,,
Tohoku,197710,,,,,,,,,898864,,,90411,,,
Tokyo,197710,,,,,,3048,,,1167570,,,83440,,,
Chubu,197710,,,,,,488,,,753528,,,188694,,,
Hokuriku,197710,,,,,,,,,408818,,,29993,,,
Kansai,197710,,,,,,205,,,1146694,,,94166,,,
Chugoku,197710,,,,,,,,,711593,,,117869,,,
Shikoku,197710,,,,,,,,,395018,,,49398,,,
Kyushu,197710,,,,,,,,,689440,,,86238,,,
Okinawa,197710,,,,,,,,,,,,,,,
Hokkaido,197709,,,,1,33000,11796,10,562200,179532,280516,102535,26648,35,15,2
Tohoku,197709,,,,,,,95,2264300,864108,859265,332665,85600,,,
Tokyo,197709,,,,4,8150,3095,89,3390100,1055224,845630,209123,76937,,,
Chubu,197709,,,,1,2000,529,41,1849500,735057,2016356,614887,178631,,,
Hokuriku,197709,,,,,,,36,873300,357179,322392,105637,28909,,,
Kansai,197709,,,,1,990,188,103,3181100,1110717,1118631,293057,84121,,,
Chugoku,197709,,,,,,,45,1820350,715813,1226645,396603,108341,,,
Shikoku,197709,,,,,,,20,818600,361758,562441,162946,46218,,,
Kyushu,197709,,,,,,,53,1768100,635291,982509,256871,80101,,,
Okinawa,197709,,,,,,,,,,,,,,,
Hokkaido,197708,,,,,,11403,,,172959,,,26626,,,1
Tohoku,197708,,,,,,,,,795110,,,83488,,,
Tokyo,197708,,,,,,2482,,,1007584,,,70215,,,
Chubu,197708,,,,,,554,,,718715,,,169375,,,
Hokuriku,197708,,,,,,,,,308760,,,28737,,,
Kansai,197708,,,,,,214,,,1121186,,,78790,,,
Chugoku,197708,,,,,,,,,788099,,,104336,,,
Shikoku,197708,,,,,,,,,381869,,,44601,,,
Kyushu,197708,,,,,,,,,705023,,,74172,,,
Okinawa,197708,,,,,,,,,,,,,,,
Hokkaido,197707,,,,,,9217,,,168919,,,29825,,,3
Tohoku,197707,,,,,,,,,848802,,,92408,,,
Tokyo,197707,,,,,,3099,,,1129001,,,79005,,,
Chubu,197707,,,,,,569,,,764535,,,191776,,,
Hokuriku,197707,,,,,,,,,353696,,,30427,,,
Kansai,197707,,,,,,259,,,1148400,,,92457,,,
Chugoku,197707,,,,,,,,,812625,,,119335,,,
Shikoku,197707,,,,,,,,,370035,,,50011,,,
Kyushu,197707,,,,,,,,,694462,,,87096,,,
Okinawa,197707,,,,,,,,,,,,,,,
Hokkaido,197706,,,,,,10103,,,171248,,,33549,,,15
Tohoku,197706,,,,,,,,,924578,,,105839,,,
Tokyo,197706,,,,,,3057,,,1182703,,,77372,,,
Chubu,197706,,,,,,548,,,776436,,,208136,,,
Hokuriku,197706,,,,,,,,,398168,,,34215,,,-3
Kansai,197706,,,,,,251,,,1150047,,,102370,,,
Chugoku,197706,,,,,,,,,765729,,,138353,,,
Shikoku,197706,,,,,,,,,378172,,,56671,,,
Kyushu,197706,,,,,,,,,704260,,,98979,,,
Okinawa,197706,,,,,,,,,,,,,,,
Hokkaido,197705,,,,,,6694,,,185717,,,36639,,,87
Tohoku,197705,,,,,,,,,894179,,,115396,,,4
Tokyo,197705,,,,,,3036,,,1212351,,,95573,,,
Chubu,197705,,,,,,477,,,726763,,,231249,,,
Hokuriku,197705,,,,,,,,,401605,,,37410,,,1
Kansai,197705,,,,,,255,,,1180120,,,117866,,,
Chugoku,197705,,,,,,,,,742705,,,151874,,,
Shikoku,197705,,,,,,,,,386847,,,61046,,,
Kyushu,197705,,,,,,,,,686822,,,106165,,,
Okinawa,197705,,,,,,,,,,,,,,,
Hokkaido,197704,,,,,,5522,,,159729,,,38987,,,3261
Tohoku,197704,,,,,,,,,889584,,,129141,,,133
Tokyo,197704,,,,,,3029,,,1153044,,,114803,,,
Chubu,197704,,,,,,543,,,731175,,,267970,,,
Hokuriku,197704,,,,,,,,,393946,,,42464,,,318
Kansai,197704,,,,,,263,,,1123883,,,143728,,,
Chugoku,197704,,,,,,,,,747680,,,174952,,,
Shikoku,197704,,,,,,,,,397331,,,70676,,,
Kyushu,197704,,,,,,,,,674717,,,122847,,,
Okinawa,197704,,,,,,,,,,,,,,,
Hokkaido,197703,,,,1,33000,5183,10,511200,166757,279274,103463,39115,58106,9188,8977
Tohoku,197703,,,,,,,82,2154050,941416,824615,328448,121289,5969,1272,1076
Tokyo,197703,,,,2,4750,1838,88,3398000,1202891,735568,182944,105142,,,
Chubu,197703,,,,1,2000,572,39,1825300,765869,1935325,601916,263246,,,
Hokuriku,197703,,,,,,,36,846800,404481,316261,105590,41074,7280,209,1287
Kansai,197703,,,,2,2940,1270,103,3237600,1147502,1051029,278852,144033,,,
Chugoku,197703,,,,,,,45,1734250,755380,1139111,374812,166193,,,
Shikoku,197703,,,,,,,20,824900,400392,530729,156418,69436,,,
Kyushu,197703,,,,,,,50,1704000,673743,929612,244884,116498,,,
Okinawa,197703,,,,,,,,,,,,,,,
Hokkaido,197702,,,,,,4020,,,163688,,,43684,,,12841
Tohoku,197702,,,,,,,,,881800,,,138014,,,1866
Tokyo,197702,,,,,,1647,,,1095537,,,113191,,,
Chubu,197702,,,,,,564,,,709593,,,294603,,,
Hokuriku,197702,,,,,,,,,328201,,,46338,,,2088
Kansai,197702,,,,,,1195,,,1074838,,,164063,,,
Chugoku,197702,,,,,,,,,711463,,,198171,,,
Shikoku,197702,,,,,,,,,356707,,,81081,,,
Kyushu,197702,,,,,,,,,645118,,,141840,,,
Okinawa,197702,,,,,,,,,,,,,,,
Hokkaido,197701,,,,,,4287,,,168000,,,38512,,,6546
Tohoku,197701,,,,,,,,,928974,,,129347,,,767
Tokyo,197701,,,,,,1572,,,1128692,,,112559,,,
Chubu,197701,,,,,,568,,,729085,,,283741,,,
Hokuriku,197701,,,,,,,,,424077,,,44637,,,625
Kansai,197701,,,,,,1205,,,1096273,,,156690,,,
Chugoku,197701,,,,,,,,,770936,,,178603,,,
Shikoku,197701,,,,,,,,,392766,,,75768,,,
Kyushu,197701,,,,,,,,,659894,,,132410,,,
Okinawa,197701,,,,,,,,,,,,,,,
Hokkaido,197612,,,,,,4711,,,171522,,,35933,,,385
Tohoku,197612,,,,,,,,,954713,,,114462,,,9
Tokyo,197612,,,,,,1586,,,1188053,,,87343,,,
Chubu,197612,,,,,,629,,,723777,,,249368,,,
Hokuriku,197612,,,,,,,,,449080,,,39774,,,47
Kansai,197612,,,,,,1476,,,1110883,,,132447,,,
Chugoku,197612,,,,,,,,,815361,,,157232,,,
Shikoku,197612,,,,,,,,,412304,,,65381,,,
Kyushu,197612,,,,,,,,,661378,,,112134,,,
Okinawa,197612,,,,,,,,,,,,,,,
Hokkaido,197611,,,,,,5163,,,156891,,,30963,,,
Tohoku,197611,,,,,,,,,936714,,,101796,,,
Tokyo,197611,,,,,,1737,,,1171793,,,73342,,,
Chubu,197611,,,,,,616,,,708991,,,212081,,,
Hokuriku,197611,,,,,,,,,439707,,,35554,,,
Kansai,197611,,,,,,1455,,,1171488,,,104214,,,
Chugoku,197611,,,,,,,,,831983,,,132732,,,
Shikoku,197611,,,,,,,,,402430,,,56251,,,
Kyushu,197611,,,,,,,,,695743,,,96346,,,
Okinawa,197611,,,,,,,,,,,,,,,
Hokkaido,197610,,,,,,7283,,,161091,,,26774,,,1
Tohoku,197610,,,,,,,,,928167,,,84764,,,
Tokyo,197610,,,,,,1680,,,1232780,,,61576,,,
Chubu,197610,,,,,,528,,,760692,,,186839,,,
Hokuriku,197610,,,,,,,,,450140,,,30696,,,
Kansai,197610,,,,,,1427,,,1233405,,,86639,,,
Chugoku,197610,,,,,,,,,863461,,,109774,,,
Shikoku,197610,,,,,,,,,398341,,,46431,,,
Kyushu,197610,,,,,,,,,671829,,,81844,,,
Okinawa,197610,,,,,,,,,,,,,,,
Hokkaido,197609,,,,1,33000,9680,9,486200,169263,265606,100957,25476,186,46,-16
Tohoku,197609,,,,,,,83,2144150,873895,762147,316341,79796,,,
Tokyo,197609,,,,1,2800,940,89,3316250,1132698,620569,155521,57064,,,
Chubu,197609,,,,1,2000,556,39,1824700,736730,1824695,581106,166191,,,
Hokuriku,197609,,,,,,,36,844600,387272,307189,104599,28414,,,
Kansai,197609,,,,2,2940,1397,104,3228700,1168887,962717,260227,73304,,,
Chugoku,197609,,,,,,,44,1716250,853686,1039849,349221,94462,,,
Shikoku,197609,,,,,,,20,774900,364151,489602,147490,41636,,,
Kyushu,197609,,,,,,,50,1576700,615338,859216,228307,68836,,,
Okinawa,197609,,,,,,,,,,,,,,,
Hokkaido,197608,,,,,,10141,,,166838,,,25276,,,2
Tohoku,197608,,,,,,,,,762281,,,76668,,,8
Tokyo,197608,,,,,,647,,,887342,,,54623,,,
Chubu,197608,,,,,,518,,,617118,,,162966,,,
Hokuriku,197608,,,,,,,,,311823,,,27960,,,
Kansai,197608,,,,,,870,,,1144724,,,70767,,,
Chugoku,197608,,,,,,,,,739933,,,93279,,,
Shikoku,197608,,,,,,,,,346798,,,41953,,,
Kyushu,197608,,,,,,,,,643391,,,71928,,,
Okinawa,197608,,,,,,,,,,,,,,,
