Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Hokuriku,199303,6.13,8.83
Kansai,199303,9.73,13.45
Chugoku,199303,10.3,13.88
Shikoku,199303,9.23,13.75
Kyushu,199303,8.24,12.02
Okinawa,199303,12.42,16.64
Hokkaido,199302,-0.71,4.8
Tohoku,199302,4.99,7.41
Tokyo,199302,-0.49,3.42
Chubu,199302,2.69,6.62
Hokuriku,199302,4.32,7.13
Kansai,199302,3.17,7
Chugoku,199302,2.33,6.34
Shikoku,199302,2.46,7.57
Kyushu,199302,2.3,6.23
Okinawa,199302,-3.24,2.24
Hokkaido,199301,8.19,13.4
Tohoku,199301,2.61,5.24
Tokyo,199301,3.17,7.05
Chubu,199301,2.02,5.89
Hokuriku,199301,1.37,4.39
Kansai,199301,2.59,6.45
Chugoku,199301,4.49,8.27
Shikoku,199301,7.92,12.77
Kyushu,199301,2.72,6.66
Okinawa,199301,4.55,9.59
Hokkaido,199212,16.19,20.74
Tohoku,199212,14.43,16.83
Tokyo,199212,12.58,16.13
Chubu,199212,12.84,16.28
Hokuriku,199212,10.82,13.11
Kansai,199212,13.03,16.47
Chugoku,199212,13.18,16.49
Shikoku,199212,12.71,17.3
Kyushu,199212,14.09,17.61
Okinawa,199212,6.91,11.13
Hokkaido,199211,7.09,12.47
Tohoku,199211,8.45,11.1
Tokyo,199211,3.94,7.85
Chubu,199211,3.6,7.31
Hokuriku,199211,6.34,8.69
Kansai,199211,4.57,8.48
Chugoku,199211,6.78,10.53
Shikoku,199211,9.74,14.87
Kyushu,199211,6.51,10.67
Okinawa,199211,-10.42,-5.55
Hokkaido,199210,10.49,15.44
Tohoku,199210,6.38,9.09
Tokyo,199210,6.11,9.83
Chubu,199210,4.2,7.78
Hokuriku,199210,4.5,6.84
Kansai,199210,2.67,6.84
Chugoku,199210,2.58,6.52
Shikoku,199210,5.45,10.64
Kyushu,199210,0.11,4.47
Okinawa,199210,-6.98,-2.01
Hokkaido,199209,2.59,7.68
Tohoku,199209,2.52,5.43
Tokyo,199209,-3.03,1.06
Chubu,199209,-1.77,2.3
Hokuriku,199209,1.06,3.82
Kansai,199209,-3.79,0.69
Chugoku,199209,-1.31,3.22
Shikoku,199209,1.09,6.43
Kyushu,199209,-0.37,3.8
Okinawa,199209,0.49,5.21
Hokkaido,199208,8.83,13.63
Tohoku,199208,9.87,12.58
Tokyo,199208,3.28,7.14
Chubu,199208,2.17,6.19
Hokuriku,199208,6.98,9.3
Kansai,199208,2.47,6.67
Chugoku,199208,4.65,8.76
Shikoku,199208,7.7,12.35
Kyushu,199208,5.69,9.62
Okinawa,199208,5.29,9.69
Hokkaido,199207,13.08,18.27
Tohoku,199207,9.93,12.54
Tokyo,199207,17.12,20.38
Chubu,199207,13.9,17.38
Hokuriku,199207,8.55,11.03
Kansai,199207,18.35,21.82
Chugoku,199207,17.48,21.03
Shikoku,199207,15.55,20.03
Kyushu,199207,18.25,21.69
Okinawa,199207,16.61,20.51
Hokkaido,199206,8.06,13.23
Tohoku,199206,5.15,7.62
Tokyo,199206,8.1,11.81
Chubu,199206,8.02,11.75
Hokuriku,199206,5.14,7.38
Kansai,199206,10.07,14.01
Chugoku,199206,8.84,13.17
Shikoku,199206,6.44,11.48
Kyushu,199206,9.26,13.13
Okinawa,199206,14.58,18.62
Hokkaido,199205,5.63,10.63
Tohoku,199205,6.55,9
Tokyo,199205,2.16,6.06
Chubu,199205,2.43,6.14
Hokuriku,199205,3.29,5.26
Kansai,199205,1.19,5.07
Chugoku,199205,5.32,9.6
Shikoku,199205,7.38,11.56
Kyushu,199205,1.39,5.36
Okinawa,199205,14.12,18.15
Hokkaido,199204,1.08,6.79
Tohoku,199204,-2.34,0.3
Tokyo,199204,-0.72,3.06
Chubu,199204,0.06,3.72
Hokuriku,199204,3.52,5.29
Kansai,199204,0.17,3.8
Chugoku,199204,0.28,4.25
Shikoku,199204,2.61,6.98
Kyushu,199204,-0.69,2.98
Okinawa,199204,5.4,10.61
Hokkaido,199203,8.35,13.87
Tohoku,199203,10.24,12.84
