Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Kansai,199303,0,0,2499284,0,0,0,,,0,,,,7880171,,5230807,,13110978,,,,,,,,,,,,,,,
Chugoku,199303,,,800806,,,,,,,,,,2991029,,1977043,,4968072,,,,,,,,,,,,,,,
Shikoku,199303,,,547135,,,,,,,,,,1929140,,1043096,,2972236,,,,,,,,,,,,,,,
Kyushu,199303,202153,,1744174,29347,,,,,,,,,5114126,,2279423,,7393549,,,,,,,,,,,,,,,
Okinawa,199303,,,,,,,,,,,,,420429,,110764,,531193,,,,,,,,,,,,,,,
Hokkaido,199302,,,775983,,,,,,,,,,1541170,,1120993,,2662163,,,,,,,,,,,,,,,
Tohoku,199302,0,0,1913411,0,0,0,,,0,,,,4581355,,3181249,,7762604,,,,,,,,,,,,,,,
Tokyo,199302,,,10277724,,,,,,,,,,14699041,,8993555,,23692596,,,,,,,,,,,,,,,
Chubu,199302,,,3589063,,,,,,,,,,7354440,,5545256,,12899696,,,,,,,,,,,,,,,
Hokuriku,199302,,,685044,,,,,,,,,,1622697,,1103138,,2725835,,,,,,,,,,,,,,,
Kansai,199302,0,0,2495506,0,0,0,,,0,,,,7880670,,5231861,,13112531,,,,,,,,,,,,,,,
Chugoku,199302,,,798973,,,,,,,,,,2989733,,1973352,,4963085,,,,,,,,,,,,,,,
Shikoku,199302,,,545722,,,,,,,,,,1928275,,1041861,,2970136,,,,,,,,,,,,,,,
Kyushu,199302,200924,,1738242,29019,,,,,,,,,5110532,,2274337,,7384869,,,,,,,,,,,,,,,
Okinawa,199302,,,,,,,,,,,,,420628,,110207,,530835,,,,,,,,,,,,,,,
Hokkaido,199301,,,774120,,,,,,,,,,1542150,,1122264,,2664414,,,,,,,,,,,,,,,
Tohoku,199301,0,0,1908131,0,0,0,,,0,,,,4581711,,3175892,,7757603,,,,,,,,,,,,,,,
Tokyo,199301,,,10232097,,,,,,,,,,14694139,,8990925,,23685064,,,,,,,,,,,,,,,
Chubu,199301,,,3578976,,,,,,,,,,7356150,,5540527,,12896677,,,,,,,,,,,,,,,
Hokuriku,199301,,,683252,,,,,,,,,,1624036,,1098653,,2722689,,,,,,,,,,,,,,,
Kansai,199301,0,0,2491868,0,0,0,,,0,,,,7883581,,5227793,,13111374,,,,,,,,,,,,,,,
Chugoku,199301,,,797912,,,,,,,,,,2990393,,1968787,,4959180,,,,,,,,,,,,,,,
Shikoku,199301,,,545086,,,,,,,,,,1928895,,1038127,,2967022,,,,,,,,,,,,,,,
Kyushu,199301,200505,,1732714,28147,,,,,,,,,5112429,,2270346,,7382775,,,,,,,,,,,,,,,
Okinawa,199301,,,,,,,,,,,,,420855,,110039,,530894,,,,,,,,,,,,,,,
Hokkaido,199212,,,767966,,,,,,,,,,1537969,,1118445,,2656414,,,,,,,,,,,,,,,
Tohoku,199212,0,0,1896308,0,0,0,,,0,,,,4576445,,3162586,,7739031,,,,,,,,,,,,,,,
Tokyo,199212,,,10175556,,,,,,,,,,14680968,,8978008,,23658976,,,,,,,,,,,,,,,
Chubu,199212,,,3557355,,,,,,,,,,7350242,,5529036,,12879278,,,,,,,,,,,,,,,
Hokuriku,199212,,,679375,,,,,,,,,,1623230,,1094779,,2718009,,,,,,,,,,,,,,,
Kansai,199212,0,0,2483532,0,0,0,,,0,,,,7874629,,5220387,,13095016,,,,,,,,,,,,,,,
Chugoku,199212,,,794858,,,,,,,,,,2988286,,1954380,,4942666,,,,,,,,,,,,,,,
Shikoku,199212,,,543397,,,,,,,,,,1927710,,1036064,,2963774,,,,,,,,,,,,,,,
Kyushu,199212,199382,,1722076,29840,,,,,,,,,5102694,,2260724,,7363418,,,,,,,,,,,,,,,
Okinawa,199212,,,,,,,,,,,,,421155,,108716,,529871,,,,,,,,,,,,,,,
Hokkaido,199211,,,763915,,,,,,,,,,1535661,,1112836,,2648497,,,,,,,,,,,,,,,
Tohoku,199211,0,0,1890564,0,0,0,,,0,,,,4570020,,3146976,,7716996,,,,,,,,,,,,,,,
Tokyo,199211,,,10120123,,,,,,,,,,14658965,,8966788,,23625753,,,,,,,,,,,,,,,
Chubu,199211,,,3538125,,,,,,,,,,7339374,,5508011,,12847385,,,,,,,,,,,,,,,
Hokuriku,199211,,,675838,,,,,,,,,,1621966,,1094261,,2716227,,,,,,,,,,,,,,,
Kansai,199211,0,0,2475468,0,0,0,,,0,,,,7867370,,5205677,,13073047,,,,,,,,,,,,,,,
Chugoku,199211,,,791635,,,,,,,,,,2984646,,1944555,,4929201,,,,,,,,,,,,,,,
Shikoku,199211,,,541209,,,,,,,,,,1924709,,1034646,,2959355,,,,,,,,,,,,,,,
Kyushu,199211,199229,,1712037,27718,,,,,,,,,5090567,,2252487,,7343054,,,,,,,,,,,,,,,
Okinawa,199211,,,,,,,,,,,,,421492,,107979,,529471,,,,,,,,,,,,,,,
Hokkaido,199210,,,758480,,,,,,,,,,1531337,,1104522,,2635859,,,,,,,,,,,,,,,
Tohoku,199210,0,0,1884270,0,0,0,,,0,,,,4564319,,3135884,,7700203,,,,,,,,,,,,,,,
Tokyo,199210,,,10057942,,,,,,,,,,14645420,,8951536,,23596956,,,,,,,,,,,,,,,
Chubu,199210,,,3520607,,,,,,,,,,7332739,,5482488,,12815227,,,,,,,,,,,,,,,
Hokuriku,199210,,,672575,,,,,,,,,,1620918,,1087361,,2708279,,,,,,,,,,,,,,,
Kansai,199210,0,0,2464405,0,0,0,,,0,,,,7856293,,5192299,,13048592,,,,,,,,,,,,,,,
Chugoku,199210,,,788790,,,,,,,,,,2983513,,1939787,,4923300,,,,,,,,,,,,,,,
Shikoku,199210,,,539031,,,,,,,,,,1922897,,1029687,,2952584,,,,,,,,,,,,,,,
Kyushu,199210,,,1704856,,,,,,,,,,5081880,,2241004,,7322884,,,,,,,,,,,,,,,
Okinawa,199210,,,,,,,,,,,,,420660,,107227,,527887,,,,,,,,,,,,,,,
Hokkaido,199209,,,755177,,,,,,,,,,1527090,,1099093,,2626183,,,,,,,,,,,,,,,
Tohoku,199209,,,1873880,,,,,,,,,,4553527,,3117357,,7670884,,,,,,,,,,,,,,,
Tokyo,199209,,,10005142,,,,,,,,,,14631354,,8942955,,23574309,,,,,,,,,,,,,,,
Chubu,199209,,,3505783,,,,,,,,,,7326436,,5467142,,12793578,,,,,,,,,,,,,,,
Hokuriku,199209,,,669168,,,,,,,,,,1618824,,1082459,,2701283,,,,,,,,,,,,,,,
Kansai,199209,,,2455852,,,,,,,,,,7846752,,5182173,,13028925,,,,,,,,,,,,,,,
Chugoku,199209,,,786368,,,,,,,,,,2979969,,1935871,,4915840,,,,,,,,,,,,,,,
Shikoku,199209,,,537253,,,,,,,,,,1921188,,1022420,,2943608,,,,,,,,,,,,,,,
Kyushu,199209,,,1697055,,,,,,,,,,5072526,,2226438,,7298964,,,,,,,,,,,,,,,
Okinawa,199209,,,,,,,,,,,,,419539,,107645,,527184,,,,,,,,,,,,,,,
Hokkaido,199208,,,750314,,,,,,,,,,1522060,,1097275,,2619335,,,,,,,,,,,,,,,
Tohoku,199208,,,1863229,,,,,,,,,,4546954,,3098387,,7645341,,,,,,,,,,,,,,,
Tokyo,199208,,,9956276,,,,,,,,,,14612261,,8913102,,23525363,,,,,,,,,,,,,,,
Chubu,199208,,,3492264,,,,,,,,,,7318687,,5447850,,12766537,,,,,,,,,,,,,,,
Hokuriku,199208,,,666623,,,,,,,,,,1616548,,1074262,,2690810,,,,,,,,,,,,,,,
Kansai,199208,,,2449435,,,,,,,,,,7839847,,5169784,,13009631,,,,,,,,,,,,,,,
Chugoku,199208,,,785219,,,,,,,,,,2976616,,1929052,,4905668,,,,,,,,,,,,,,,
Shikoku,199208,,,535970,,,,,,,,,,1919275,,1021081,,2940356,,,,,,,,,,,,,,,
Kyushu,199208,,,1691703,,,,,,,,,,5061959,,2214934,,7276893,,,,,,,,,,,,,,,
Okinawa,199208,,,,,,,,,,,,,418582,,107714,,526296,,,,,,,,,,,,,,,
Hokkaido,199207,,,747270,,,,,,,,,,1517807,,1089785,,2607592,,,,,,,,,,,,,,,
Tohoku,199207,,,1854356,,,,,,,,,,4533176,,3065757,,7598933,,,,,,,,,,,,,,,
Tokyo,199207,,,9898802,,,,,,,,,,14581896,,8835357,,23417253,,,,,,,,,,,,,,,
Chubu,199207,,,3493807,,,,,,,,,,7303401,,5398707,,12702108,,,,,,,,,,,,,,,
Hokuriku,199207,,,663561,,,,,,,,,,1613300,,1070677,,2683977,,,,,,,,,,,,,,,
Kansai,199207,,,2439594,,,,,,,,,,7825393,,5120366,,12945759,,,,,,,,,,,,,,,
Chugoku,199207,,,782631,,,,,,,,,,2968319,,1904017,,4872336,,,,,,,,,,,,,,,
Shikoku,199207,,,533819,,,,,,,,,,1914742,,1017266,,2932008,,,,,,,,,,,,,,,
Kyushu,199207,,,1682831,,,,,,,,,,5044865,,2180599,,7225464,,,,,,,,,,,,,,,
Okinawa,199207,,,,,,,,,,,,,417583,,107327,,524910,,,,,,,,,,,,,,,
Hokkaido,199206,,,744544,,,,,,,,,,1513738,,1112888,,2626626,,,,,,,,,,,,,,,
Tohoku,199206,,,1847753,,,,,,,,,,4522167,,3126354,,7648521,,,,,,,,,,,,,,,
Tokyo,199206,,,9840301,,,,,,,,,,14544552,,9037692,,23582244,,,,,,,,,,,,,,,
Chubu,199206,,,3478961,,,,,,,,,,7288644,,5472217,,12760861,,,,,,,,,,,,,,,
Hokuriku,199206,,,659420,,,,,,,,,,1609504,,1055496,,2665000,,,,,,,,,,,,,,,
Kansai,199206,,,2432418,,,,,,,,,,7811678,,5191922,,13003600,,,,,,,,,,,,,,,
Chugoku,199206,,,780352,,,,,,,,,,2960687,,1890218,,4850905,,,,,,,,,,,,,,,
Shikoku,199206,,,532031,,,,,,,,,,1909775,,1008849,,2918624,,,,,,,,,,,,,,,
Kyushu,199206,,,1678094,,,,,,,,,,5027941,,2199753,,7227694,,,,,,,,,,,,,,,
Okinawa,199206,,,,,,,,,,,,,415520,,108057,,523577,,,,,,,,,,,,,,,
Hokkaido,199205,,,742087,,,,,,,,,,1511781,,1111804,,2623585,,,,,,,,,,,,,,,
Tohoku,199205,,,1834245,,,,,,,,,,4514352,,3112999,,7627351,,,,,,,,,,,,,,,
Tokyo,199205,,,9785417,,,,,,,,,,14516438,,9018012,,23534450,,,,,,,,,,,,,,,
Chubu,199205,,,3465221,,,,,,,,,,7277709,,5462095,,12739804,,,,,,,,,,,,,,,
Hokuriku,199205,,,657402,,,,,,,,,,1607242,,1064671,,2671913,,,,,,,,,,,,,,,
Kansai,199205,,,2423437,,,,,,,,,,7796456,,5178482,,12974938,,,,,,,,,,,,,,,
Chugoku,199205,,,777952,,,,,,,,,,2955352,,1915727,,4871079,,,,,,,,,,,,,,,
Shikoku,199205,,,530194,,,,,,,,,,1905729,,1017927,,2923656,,,,,,,,,,,,,,,
Kyushu,199205,,,1670372,,,,,,,,,,5011770,,2195582,,7207352,,,,,,,,,,,,,,,
Okinawa,199205,,,,,,,,,,,,,414197,,107374,,521571,,,,,,,,,,,,,,,
Hokkaido,199204,,,741075,,,,,,,,,,1510932,,1111317,,2622249,,,,,,,,,,,,,,,
Tohoku,199204,,,1826855,,,,,,,,,,4509041,,3105055,,7614096,,,,,,,,,,,,,,,
Tokyo,199204,,,9728594,,,,,,,,,,14497062,,9004856,,23501918,,,,,,,,,,,,,,,
Chubu,199204,,,3448490,,,,,,,,,,7267756,,5439292,,12707048,,,,,,,,,,,,,,,
Hokuriku,199204,,,654725,,,,,,,,,,1606695,,1064210,,2670905,,,,,,,,,,,,,,,
Kansai,199204,,,2410992,,,,,,,,,,7782963,,5164071,,12947034,,,,,,,,,,,,,,,
Chugoku,199204,,,773856,,,,,,,,,,2948534,,1913433,,4861967,,,,,,,,,,,,,,,
Shikoku,199204,,,527493,,,,,,,,,,1904339,,1014690,,2919029,,,,,,,,,,,,,,,
Kyushu,199204,,,1659691,,,,,,,,,,4999934,,2188684,,7188618,,,,,,,,,,,,,,,
Okinawa,199204,,,,,,,,,,,,,412848,,107298,,520146,,,,,,,,,,,,,,,
Hokkaido,199203,,,737647,,,,,,,,,,1508805,,1109534,,2618339,,,,,,,,,,,,,,,
Tohoku,199203,,,1816847,,,,,,,,,,4503745,,3092437,,7596182,,,,,,,,,,,,,,,
Tokyo,199203,,,9664936,,,,,,,,,,14475865,,8990796,,23466661,,,,,,,,,,,,,,,
Chubu,199203,,,3429185,,,,,,,,,,7258023,,5412231,,12670254,,,,,,,,,,,,,,,
Hokuriku,199203,,,651653,,,,,,,,,,1604569,,1058828,,2663397,,,,,,,,,,,,,,,
Kansai,199203,,,2399214,,,,,,,,,,7775267,,5149463,,12924730,,,,,,,,,,,,,,,
Chugoku,199203,,,770407,,,,,,,,,,2943233,,1905529,,4848762,,,,,,,,,,,,,,,
Shikoku,199203,,,525192,,,,,,,,,,1902698,,1009877,,2912575,,,,,,,,,,,,,,,
Kyushu,199203,,,1650508,,,,,,,,,,4992119,,2180526,,7172645,,,,,,,,,,,,,,,
Okinawa,199203,,,,,,,,,,,,,411955,,107665,,519620,,,,,,,,,,,,,,,
Hokkaido,199202,,,735412,,,,,,,,,,1508359,,1107230,,2615589,,,,,,,,,,,,,,,
Tohoku,199202,,,1812021,,,,,,,,,,4500211,,3081000,,7581211,,,,,,,,,,,,,,,
Tokyo,199202,,,9614954,,,,,,,,,,14461177,,8969813,,23430990,,,,,,,,,,,,,,,
Chubu,199202,,,3413983,,,,,,,,,,7252017,,5396319,,12648336,,,,,,,,,,,,,,,
Hokuriku,199202,,,647918,,,,,,,,,,1603026,,1056633,,2659659,,,,,,,,,,,,,,,
Kansai,199202,,,2391859,,,,,,,,,,7769817,,5131700,,12901517,,,,,,,,,,,,,,,
Chugoku,199202,,,768368,,,,,,,,,,2941162,,1899258,,4840420,,,,,,,,,,,,,,,
Shikoku,199202,,,523631,,,,,,,,,,1902171,,1007637,,2909808,,,,,,,,,,,,,,,
Kyushu,199202,,,1643286,,,,,,,,,,4987475,,2170238,,7157713,,,,,,,,,,,,,,,
Okinawa,199202,,,,,,,,,,,,,411631,,108367,,519998,,,,,,,,,,,,,,,
Hokkaido,199201,,,731994,,,,,,,,,,1507146,,1107254,,2614400,,,,,,,,,,,,,,,
Tohoku,199201,,,1806544,,,,,,,,,,4497358,,3070500,,7567858,,,,,,,,,,,,,,,
Tokyo,199201,,,9562236,,,,,,,,,,14454221,,8954455,,23408676,,,,,,,,,,,,,,,
Chubu,199201,,,3402168,,,,,,,,,,7248521,,5373141,,12621662,,,,,,,,,,,,,,,
Hokuriku,199201,,,645716,,,,,,,,,,1602376,,1052651,,2655027,,,,,,,,,,,,,,,
Kansai,199201,,,2385594,,,,,,,,,,7766896,,5119921,,12886817,,,,,,,,,,,,,,,
Chugoku,199201,,,766776,,,,,,,,,,2938309,,1894563,,4832872,,,,,,,,,,,,,,,
Shikoku,199201,,,522599,,,,,,,,,,1902379,,1003549,,2905928,,,,,,,,,,,,,,,
Kyushu,199201,,,1637732,,,,,,,,,,4984670,,2164893,,7149563,,,,,,,,,,,,,,,
Okinawa,199201,,,,,,,,,,,,,411628,,107878,,519506,,,,,,,,,,,,,,,
Hokkaido,199112,,,725905,,,,,,,,,,1503106,,1104411,,2607517,,,,,,,,,,,,,,,
Tohoku,199112,,,1795400,,,,,,,,,,4489131,,3058910,,7548041,,,,,,,,,,,,,,,
Tokyo,199112,,,9503540,,,,,,,,,,14432093,,8918121,,23350214,,,,,,,,,,,,,,,
Chubu,199112,,,3383255,,,,,,,,,,7238923,,5350271,,12589194,,,,,,,,,,,,,,,
Hokuriku,199112,,,642087,,,,,,,,,,1601644,,1050110,,2651754,,,,,,,,,,,,,,,
Kansai,199112,,,2374431,,,,,,,,,,7756260,,5094545,,12850805,,,,,,,,,,,,,,,
Chugoku,199112,,,763101,,,,,,,,,,2934850,,1887498,,4822348,,,,,,,,,,,,,,,
Shikoku,199112,,,521505,,,,,,,,,,1900080,,1003155,,2903235,,,,,,,,,,,,,,,
Kyushu,199112,,,1628779,,,,,,,,,,4975679,,2158292,,7133971,,,,,,,,,,,,,,,
Okinawa,199112,,,,,,,,,,,,,412018,,107390,,519408,,,,,,,,,,,,,,,
Hokkaido,199111,,,721463,,,,,,,,,,1499727,,1095475,,2595202,,,,,,,,,,,,,,,
Tohoku,199111,,,1788852,,,,,,,,,,4481577,,3038541,,7520118,,,,,,,,,,,,,,,
Tokyo,199111,,,9425871,,,,,,,,,,14407180,,8875596,,23282776,,,,,,,,,,,,,,,
Chubu,199111,,,3362891,,,,,,,,,,7224936,,5317443,,12542379,,,,,,,,,,,,,,,
Hokuriku,199111,,,638487,,,,,,,,,,1599169,,1040702,,2639871,,,,,,,,,,,,,,,
Kansai,199111,,,2364703,,,,,,,,,,7743364,,5073219,,12816583,,,,,,,,,,,,,,,
Chugoku,199111,,,759911,,,,,,,,,,2929052,,1880609,,4809661,,,,,,,,,,,,,,,
Shikoku,199111,,,519178,,,,,,,,,,1896334,,998814,,2895148,,,,,,,,,,,,,,,
Kyushu,199111,,,1619632,,,,,,,,,,4961884,,2143773,,7105657,,,,,,,,,,,,,,,
Okinawa,199111,,,,,,,,,,,,,410686,,106148,,516834,,,,,,,,,,,,,,,
Hokkaido,199110,,,716692,,,,,,,,,,1495926,,1087863,,2583789,,,,,,,,,,,,,,,
Tohoku,199110,,,1779067,,,,,,,,,,4473669,,3016191,,7489860,,,,,,,,,,,,,,,
Tokyo,199110,,,9385481,,,,,,,,,,14379673,,8853243,,23232916,,,,,,,,,,,,,,,
Chubu,199110,,,3345392,,,,,,,,,,7213554,,5289872,,12503426,,,,,,,,,,,,,,,
Hokuriku,199110,,,635188,,,,,,,,,,1597582,,1041015,,2638597,,,,,,,,,,,,,,,
Kansai,199110,,,2354938,,,,,,,,,,7731654,,5057471,,12789125,,,,,,,,,,,,,,,
Chugoku,199110,,,756582,,,,,,,,,,2926075,,1875253,,4801328,,,,,,,,,,,,,,,
Shikoku,199110,,,517648,,,,,,,,,,1894037,,995222,,2889259,,,,,,,,,,,,,,,
Kyushu,199110,,,1610909,,,,,,,,,,4957033,,2132706,,7089739,,,,,,,,,,,,,,,
Okinawa,199110,,,,,,,,,,,,,410241,,105537,,515778,,,,,,,,,,,,,,,
Hokkaido,199109,,,712067,,,,,,,,,,1490975,,1081312,,2572287,,,,,,,,,,,,,,,
Tohoku,199109,,,1772307,,,,,,,,,,4463977,,2999804,,7463781,,,,,,,,,,,,,,,
Tokyo,199109,,,9332747,,,,,,,,,,14357019,,8826700,,23183719,,,,,,,,,,,,,,,
Chubu,199109,,,3331011,,,,,,,,,,7203962,,5267849,,12471811,,,,,,,,,,,,,,,
Hokuriku,199109,,,632384,,,,,,,,,,1595869,,1037048,,2632917,,,,,,,,,,,,,,,
Kansai,199109,,,2345949,,,,,,,,,,7719067,,5026289,,12745356,,,,,,,,,,,,,,,
Chugoku,199109,,,754125,,,,,,,,,,2924491,,1867461,,4791952,,,,,,,,,,,,,,,
Shikoku,199109,,,515726,,,,,,,,,,1892927,,989840,,2882767,,,,,,,,,,,,,,,
Kyushu,199109,,,1604994,,,,,,,,,,4953716,,2121014,,7074730,,,,,,,,,,,,,,,
Okinawa,199109,,,,,,,,,,,,,409495,,104333,,513828,,,,,,,,,,,,,,,
Hokkaido,199108,,,707646,,,,,,,,,,1486601,,1071251,,2557852,,,,,,,,,,,,,,,
Tohoku,199108,,,1766263,,,,,,,,,,4454776,,2985192,,7439968,,,,,,,,,,,,,,,
Tokyo,199108,,,9279411,,,,,,,,,,14325777,,8783776,,23109553,,,,,,,,,,,,,,,
Chubu,199108,,,3314952,,,,,,,,,,7190623,,5238285,,12428908,,,,,,,,,,,,,,,
Hokuriku,199108,,,629844,,,,,,,,,,1593858,,1031047,,2624905,,,,,,,,,,,,,,,
Kansai,199108,,,2336982,,,,,,,,,,7705161,,4995999,,12701160,,,,,,,,,,,,,,,
Chugoku,199108,,,751698,,,,,,,,,,2919916,,1854349,,4774265,,,,,,,,,,,,,,,
Shikoku,199108,,,514648,,,,,,,,,,1890054,,986914,,2876968,,,,,,,,,,,,,,,
Kyushu,199108,,,1596743,,,,,,,,,,4940677,,2108987,,7049664,,,,,,,,,,,,,,,
Okinawa,199108,,,,,,,,,,,,,407905,,104440,,512345,,,,,,,,,,,,,,,
Hokkaido,199107,,,704294,,,,,,,,,,1479883,,1062806,,2542689,,,,,,,,,,,,,,,
Tohoku,199107,,,1758427,,,,,,,,,,4438776,,2953183,,7391959,,,,,,,,,,,,,,,
Tokyo,199107,,,9218703,,,,,,,,,,14280799,,8731150,,23011949,,,,,,,,,,,,,,,
Chubu,199107,,,3295354,,,,,,,,,,7169679,,5204706,,12374385,,,,,,,,,,,,,,,
Hokuriku,199107,,,626352,,,,,,,,,,1589771,,1026440,,2616211,,,,,,,,,,,,,,,
Kansai,199107,,,2324857,,,,,,,,,,7681861,,4963334,,12645195,,,,,,,,,,,,,,,
Chugoku,199107,,,748641,,,,,,,,,,2909242,,1838891,,4748133,,,,,,,,,,,,,,,
Shikoku,199107,,,512281,,,,,,,,,,1883859,,983429,,2867288,,,,,,,,,,,,,,,
Kyushu,199107,,,1586429,,,,,,,,,,4918786,,2090054,,7008840,,,,,,,,,,,,,,,
Okinawa,199107,,,,,,,,,,,,,405702,,103357,,509059,,,,,,,,,,,,,,,
Hokkaido,199106,,,701644,,,,,,,,,,1475466,,1077288,,2552754,,,,,,,,,,,,,,,
Tohoku,199106,,,1752557,,,,,,,,,,4422512,,2961003,,7383515,,,,,,,,,,,,,,,
Tokyo,199106,,,9159149,,,,,,,,,,14246262,,8797437,,23043699,,,,,,,,,,,,,,,
Chubu,199106,,,3276832,,,,,,,,,,7151424,,5200380,,12351804,,,,,,,,,,,,,,,
Hokuriku,199106,,,623469,,,,,,,,,,1586081,,1017295,,2603376,,,,,,,,,,,,,,,
Kansai,199106,,,2315881,,,,,,,,,,7662417,,4974101,,12636518,,,,,,,,,,,,,,,
Chugoku,199106,,,745564,,,,,,,,,,2901970,,1835195,,4737165,,,,,,,,,,,,,,,
Shikoku,199106,,,510795,,,,,,,,,,1878304,,976479,,2854783,,,,,,,,,,,,,,,
Kyushu,199106,,,1578227,,,,,,,,,,4900769,,2090040,,6990809,,,,,,,,,,,,,,,
Okinawa,199106,,,,,,,,,,,,,403200,,103756,,506956,,,,,,,,,,,,,,,
Hokkaido,199105,,,699750,,,,,,,,,,1474286,,1069803,,2544089,,,,,,,,,,,,,,,
Tohoku,199105,,,1746949,,,,,,,,,,4411264,,2942691,,7353955,,,,,,,,,,,,,,,
Tokyo,199105,,,9095253,,,,,,,,,,14191526,,8761288,,22952814,,,,,,,,,,,,,,,
Chubu,199105,,,3260991,,,,,,,,,,7136242,,5169384,,12305626,,,,,,,,,,,,,,,
Hokuriku,199105,,,620864,,,,,,,,,,1583009,,1014121,,2597130,,,,,,,,,,,,,,,
Kansai,199105,,,2305753,,,,,,,,,,7641412,,4945313,,12586725,,,,,,,,,,,,,,,
Chugoku,199105,,,742406,,,,,,,,,,2895522,,1820777,,4716299,,,,,,,,,,,,,,,
Shikoku,199105,,,509508,,,,,,,,,,1875170,,975994,,2851164,,,,,,,,,,,,,,,
Kyushu,199105,,,1572503,,,,,,,,,,4890144,,2075797,,6965941,,,,,,,,,,,,,,,
Okinawa,199105,,,,,,,,,,,,,400696,,103492,,504188,,,,,,,,,,,,,,,
Hokkaido,199104,,,697098,,,,,,,,,,1471747,,1067762,,2539509,,,,,,,,,,,,,,,
Tohoku,199104,,,1739321,,,,,,,,,,4404626,,2925164,,7329790,,,,,,,,,,,,,,,
Tokyo,199104,,,9044384,,,,,,,,,,14169448,,8739203,,22908651,,,,,,,,,,,,,,,
Chubu,199104,,,3243593,,,,,,,,,,7122188,,5133003,,12255191,,,,,,,,,,,,,,,
Hokuriku,199104,,,617740,,,,,,,,,,1581203,,1008736,,2589939,,,,,,,,,,,,,,,
Kansai,199104,,,2292723,,,,,,,,,,7622135,,4928902,,12551037,,,,,,,,,,,,,,,
Chugoku,199104,,,738713,,,,,,,,,,2889400,,1813738,,4703138,,,,,,,,,,,,,,,
Shikoku,199104,,,507108,,,,,,,,,,1872202,,974455,,2846657,,,,,,,,,,,,,,,
Kyushu,199104,,,1563454,,,,,,,,,,4878425,,2065501,,6943926,,,,,,,,,,,,,,,
Okinawa,199104,,,,,,,,,,,,,398798,,101874,,500672,,,,,,,,,,,,,,,
Hokkaido,199103,,,693396,,,,,,,,,,1469434,,1063427,,2532861,,,,,,,,,,,,,,,
Tohoku,199103,,,1734772,,,,,,,,,,4399985,,2907839,,7307824,,,,,,,,,,,,,,,
Tokyo,199103,,,8976094,,,,,,,,,,14129949,,8713594,,22843543,,,,,,,,,,,,,,,
Chubu,199103,,,3224556,,,,,,,,,,7112162,,5103196,,12215358,,,,,,,,,,,,,,,
Hokuriku,199103,,,614827,,,,,,,,,,1579480,,1004886,,2584366,,,,,,,,,,,,,,,
Kansai,199103,,,2282297,,,,,,,,,,7608613,,4902442,,12511055,,,,,,,,,,,,,,,
Chugoku,199103,,,734843,,,,,,,,,,2884261,,1805770,,4690031,,,,,,,,,,,,,,,
Shikoku,199103,,,504752,,,,,,,,,,1868906,,970211,,2839117,,,,,,,,,,,,,,,
Kyushu,199103,,,1554969,,,,,,,,,,4869014,,2057261,,6926275,,,,,,,,,,,,,,,
Okinawa,199103,,,,,,,,,,,,,397329,,100857,,498186,,,,,,,,,,,,,,,
Hokkaido,199102,,,690713,,,,,,,,,,1467693,,1061681,,2529374,,,,,,,,,,,,,,,
