Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Tohoku,200105,,,2643949,,,,322071,322071,,1387715,4794507,938,4827303,269035,3210675,269973,8037978,569597,2018856,37162,536749,932,48949,,,4794507,,875602,1499394,3102887,16350735,
Tokyo,200105,,,14017781,,,,699470,699470,,4034388,20268467,,15268711,250478,7856060,250478,23124771,1003601,6532829,218430,545912,19932,199060,,,20268467,,1989118,2972452,7277585,52898519,
Chubu,200105,,,5133998,,,,526795,526795,,2426740,6825016,6141,7591719,141234,5494291,147375,13086010,754111,4237847,55844,257435,1492,60618,,,6825016,,2516621,2892010,5844847,27040883,
Hokuriku,200105,,,1016376,,,,250809,250809,,779204,1543495,13091,1641238,145436,1109597,158527,2750835,263388,930959,18578,82711,3470,20159,,,1543495,,357358,482276,1558477,5707565,
Kansai,200105,,,3253815,,,,622983,622983,,2533624,9370546,,8218378,175080,4969708,175080,13188086,452074,2739374,96687,153961,9311,75499,,,9370546,,1245007,1580465,4405785,26878471,
Chugoku,200105,,,958027,,,,876098,876098,,1176466,3380857,,3099964,125603,1981960,125603,5081924,412911,1435794,22598,75075,4476,40131,,,3380857,,890771,1033051,2605751,10931626,
Shikoku,200105,,,671431,,,,212049,212049,,633528,1939796,12276,2006955,134181,1046221,146457,3053176,248658,693397,28514,112360,150,18154,,,1939796,,743706,902884,1772349,6589253,
Kyushu,200105,,,2477332,,,,912683,912683,,2331380,5740584,36284,5629579,401146,2533841,437430,8163420,462644,1368540,46210,202936,19671,41361,,,5740584,,1311029,1621207,4542483,16893751,
Okinawa,200105,,,,,,,,,,30491,717637,,466752,7149,131403,7149,598155,56049,151264,2904,4896,1012,3034,,,717637,,38771,50617,132460,1517673,
Hokkaido,200104,,,1040874,,,,468974,468974,,1009971,2105829,18149,1647152,79667,1126868,97816,2774020,187624,559573,12765,2001,3624,43308,,,2105829,,814440,876138,2109851,6315560,
Tohoku,200104,,,2639355,,,,316696,316696,,1279745,4802447,818,4830048,252953,3209618,253771,8039666,560659,2019381,42323,286188,1259,49976,,,4802447,,884381,1264127,2978556,16125621,
Tokyo,200104,,,13999788,,,,690830,690830,,3840795,20272417,,15278313,242936,7855824,242936,23134137,994451,6538843,217922,322282,19678,199373,,,20272417,,1990648,2749903,7068830,52695300,
Chubu,200104,,,5121919,,,,514546,514546,,2407938,6823098,4528,7597923,140626,5496385,145154,13094308,756916,4240722,55180,174663,1440,60889,,,6823098,,2520422,2812594,5830430,26970722,
Hokuriku,200104,,,1012240,,,,246835,246835,,775013,1543384,12463,1642607,145351,1109009,157814,2751616,264879,931165,12077,82246,3470,20427,,,1543384,,358996,477216,1556702,5703381,
Kansai,200104,,,3245043,,,,597217,597217,,2421829,9380098,,8218092,169718,4972737,169718,13190829,450478,2745406,109658,84855,8538,75536,,,9380098,,1246247,1524834,4288272,26841167,
Chugoku,200104,,,958318,,,,863253,863253,,1158326,3379732,,3101151,124349,1983167,124349,5084318,407017,1436175,21970,48559,4430,39955,,,3379732,,890372,1005286,2580064,10905511,
Shikoku,200104,,,671382,,,,207638,207638,,615716,1937207,5732,2005919,132380,1044787,138112,3050706,247934,695502,28360,79065,155,18182,,,1937207,,742761,868523,1744523,6551938,
Kyushu,200104,,,2471493,,,,897068,897068,,2269068,5745840,33659,5628578,394687,2532814,428346,8161392,465231,1376370,41100,164906,20156,41404,,,5745840,,1308068,1575634,4470713,16859236,
Okinawa,200104,,,,,,,,,,27645,715084,,466286,7262,132576,7262,598862,56049,151236,3659,4896,979,3034,,,715084,,38498,51066,129454,1516248,
Hokkaido,200103,,,1037019,,,,450910,450910,,998899,2101995,18140,1647407,78972,1125716,97112,2773123,184894,560012,20639,1116,3081,43630,,,2101995,,944255,1012721,2225160,6447851,
Tohoku,200103,,,2634300,,,,308290,308290,,1165239,4801616,749,4834283,228118,3216027,228867,8050310,554002,2039248,61184,73109,1649,49431,,,4801616,,1202885,1388258,3150993,16279432,
Tokyo,200103,,,13975847,,,,673185,673185,,3601390,20289535,,15289214,234233,7867629,234233,23156843,978704,6558092,249037,102740,20155,199491,,,20289535,,1985271,2556694,6799598,52561164,
Chubu,200103,,,5106144,,,,493527,493527,,2393144,6831306,3563,7601066,136625,5504547,140188,13105613,754364,4246654,73235,112739,266,60673,,,6831306,,2516914,2763827,5804610,26947400,
