Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Shikoku,2013H2,39.83,37.92,8860272,1688259,1468667,27810,673964,468739,459563,41690,115646,110536,111137,41260,79507,,,,,,,227721,208498,54600,32918,,,,1920380,0.217,39.83
Kyushu,2013H2,40.93,39.59,31388718,3144024,3411485,27430,356461,952851,935840,41450,167458,415829,449175,38770,126497,,,,,,,2448154,2436049,54750,127323,,,,6658100,0.212,40.93
Okinawa,2013H2,38.98,35.43,2748978,846614,792904,25960,184146,56508,63820,41030,52015,,,,,,,,,,,65274,74156,54550,84008,,,,618809,0.225,38.98
Hokkaido,2013H1,39.42,37.24,10146073,2728060,2576486,27200,964073,632626,652452,41850,237725,,,,,,,,,,,,,,,,,,2213830,0.218,39.42
Tohoku,2013H1,41.89,40.13,26743230,4130080,4223987,27550,645994,328968,294596,41280,211286,170691,145835,39430,152072,,,,,,,1906772,1808123,54690,141574,,,,5567930,0.208,41.89
Tokyo,2013H1,42.92,41.53,107231908,3836520,3822731,26350,649174,1903578,2043442,40850,436707,749955,731343,39370,784773,,,,0,0,63,12112157,11688847,54570,350254,301877,333937,69498,22014453,0.205,42.92
Chubu,2013H1,43.02,41.49,58178274,5111517,5205250,27570,273853,2643,1231,41110,65715,209298,237642,38860,600193,,,,,,,6607723,6276416,54700,610427,,0,40,11841192,0.204,43.02
Hokuriku,2013H1,39.06,36.92,10077708,2964807,2936040,28460,586333,168712,178095,41399,292211,186995,188443,38950,47153,,,,,,,,,,,,,,2243790,0.223,39.06
Kansai,2013H1,42.08,40.58,41314585,2016403,2062232,27890,345567,86192,91806,40490,76821,2548112,2486512,39100,481749,,,,,,403,3659971,3634841,54720,346790,172,44,317,8848634,0.214,42.08
Chugoku,2013H1,40.36,38.48,19006564,2790578,2599989,28600,763295,599035,603370,41800,134875,524123,521525,41010,164477,,,,,,,883143,977403,54460,65199,,,,4056020,0.213,40.36
