Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Tokyo,1997H1,39.35,37.67,59927564,,51,28172,0,1716953,1836479,40688,503418,1376817,1465883,38888,960468,0,0,0,2201,27202,90834,7561325,7425642,54461,664072,85553,106395,78315,13467053,0.225,39.35
Chubu,1997H1,40.22,38.38,41892984,2711767,2642036,28340,339726,954754,938491,40647,278323,1594869,1548230,38972,699416,94125,98359,33729,,,,3722003,3660814,54628,317407,60609,60600,52,9225070,0.22,40.22
Hokuriku,1997H1,38.11,36.21,4872880,959659,945857,29428,298776,195252,176055,41484,161829,299561,308601,39809,126302,,,,,,,,,,,,,,1109717,0.228,38.11
Kansai,1997H1,38.85,37.07,24186329,,,,,541633,521073,41107,406271,1534813,1556533,39098,636227,,3,5159,9805,25216,86221,2575287,2507239,54628,252801,,,,5454811,0.226,38.85
Chugoku,1997H1,39.82,37.52,14283916,2282265,2023945,28047,1056999,702431,678868,41819,144859,468506,387957,40521,240289,,,,,,,561643,592506,54502,79490,,,,3087534,0.216,39.82
Shikoku,1997H1,37.5,35.45,5738875,564507,551472,28423,188640,289322,274909,41651,135754,526258,516567,40521,76775,0,0,0,0,0,0,0,0,0,0,0,0,0,1325960,0.231,37.5
Kyushu,1997H1,38.87,37.04,12288028,1863216,1555346,27795,541066,179415,180988,41274,253623,191870,210858,39516,104664,,,,,,,1082601,1027325,54628,180978,25385,24344,1081,2755568,0.224,38.87
Okinawa,1997H1,37.85,34.47,2444587,445537,416558,28423,67109,336491,302798,41023,84928,,,,,,,,,,,,,,,,,,566823,0.232,37.85
Hokkaido,1996H2,38.89,36.64,8303895,1891932,2171590,25535,484379,413842,364628,41191,135196,237526,239917,39474,14362,,,,,,,,,,,,,,1866194,0.225,38.89
Tohoku,1996H2,39.28,37.56,20572287,2453924,2179480,28340,988585,485380,483732,41065,267524,449824,406967,39349,263171,,,,,,,1579836,1550285,54670,93666,,,,4593413,0.223,39.28
Tokyo,1996H2,39.48,37.85,62706567,77517,82486,26707,51,2130163,2035718,40772,621126,1352947,1377843,38637,1049874,0,6,0,67310,49350,117104,7505769,7693771,54502,535826,131964,117116,102380,14027479,0.224,39.48
Chubu,1996H2,40.18,38.41,42161664,2628368,2628903,28381,269995,1200783,1242925,40814,262363,1816122,1830474,38847,652853,56033,37074,37963,,,,3403717,3320045,54628,258219,77261,77176,54,9251546,0.219,40.18
Hokuriku,1996H2,39.03,37.28,7238092,1086210,1112071,29177,284974,300227,328768,41526,143902,536012,557645,39809,135812,,,,,,,,,,,,,,1607621,0.222,39.03
Kansai,1996H2,39.6,38.03,32517597,,,0,,852072,834398,41191,405257,2827597,2796414,39140,663555,0,0,5161,80603,78918,101653,2598277,2669634,54628,188201,0,0,0,7174586,0.221,39.6
Chugoku,1996H2,40.26,38.22,16294904,1483422,1831433,28130,805079,750721,762547,41693,122074,764261,791693,40647,163490,0,0,0,0,0,0,672795,613564,54502,110490,0,0,0,3496442,0.215,40.26
Shikoku,1996H2,38.34,36.41,5969371,605843,593016,28842,174284,289828,328754,41567,124555,428895,462645,40228,67094,0,0,0,0,0,0,0,0,0,0,0,0,0,1347643,0.226,38.34
Kyushu,1996H2,39.5,37.84,15447223,1459600,1634888,27921,234132,286110,289902,41358,256442,375684,388306,39558,124267,,,,,,,1301950,1285807,54628,125736,9692,10515,306,3403274,0.22,39.5
Okinawa,1996H2,37.73,34.52,1917509,324545,375739,28967,38130,182767,198328,41149,51235,,,,,,,,,,,,,,,,,,444572,0.232,37.73
Hokkaido,1996H1,38.64,36.26,6445767,2060689,1979142,25409,773914,179618,174074,41065,91433,129796,132294,39516,17272,0,0,0,0,0,0,0,0,,0,0,0,0,1462058,0.227,38.64
Tohoku,1996H1,38.59,36.92,16473007,1315497,1294988,28465,739857,439943,456347,40981,265981,199892,312670,39181,220058,,,,,,,1436833,1433147,54628,64115,,,,3749507,0.228,38.59
Tokyo,1996H1,39,37.29,59504660,167515,164091,27377,5042,2026078,2044904,40730,523086,1534243,1634174,38679,1075292,,,6,34769,57975,100721,7387955,7008495,54502,732803,174897,184718,86546,13497906,0.227,39
Chubu,1996H1,39.3,37.39,36940929,2606757,2641304,28047,270590,1028081,1061546,40730,304851,1758563,1676376,38888,667818,54087,45867,19003,,,,2810645,2788924,54628,178262,108737,108749,24,8300999,0.225,39.3
Hokuriku,1996H1,38.28,36.36,4789780,1156482,1045049,29177,310835,199377,148302,41442,174904,258621,250331,39809,157351,,,,,,,,,,,,,,1087116,0.227,38.28
Kansai,1996H1,38.68,36.88,26411982,,,,,748958,726348,41065,402556,2061825,1997767,39014,646638,0,0,5152,94,33264,100795,2436277,2424968,54586,242393,,,,5987665,0.236,38.68
Chugoku,1996H1,39.98,37.84,15621916,1880609,1700540,27628,1173446,813637,850687,41735,134236,684253,649108,40647,195246,,,,,,,561520,637665,54544,51410,,,,3369937,0.216,39.98
Shikoku,1996H1,37.97,36.08,6340862,461673,496639,28465,159983,409477,396706,41609,158833,553378,555293,40479,107942,,,,,,,,,,,,,,1446022,0.228,37.97
Kyushu,1996H1,38.98,37.14,16672786,2120125,2038025,25585,404441,336220,334575,41274,261819,372497,366295,39558,137547,,,,,,,1289066,1305437,54628,109905,27477,26794,1273,3729128,0.224,38.98
Okinawa,1996H1,37.86,34.48,2412754,388635,393771,28423,89324,307114,303941,41149,66899,,,,,,,,,,,,,,,,,,557373,0.231,37.86
Hokkaido,1995H2,38.91,36.64,7052975,1851677,2052048,25116,694692,253132,268716,41149,87233,141570,135671,39433,19770,,,,,,,,,,,,,,1585680,0.225,38.91
Tohoku,1995H2,39.28,37.7,19101911,1534486,1407053,28591,719352,775347,793841,40898,282938,436285,375184,39098,333086,,,,,,,1397272,1472907,54670,60429,,,,4279182,0.224,39.28
Tokyo,1995H2,39.22,37.63,67195530,183597,187654,29177,1618,3122555,3505202,40772,561349,2134252,1789496,38428,1278680,0,0,0,134421,0,0,7028953,7118821,54544,362896,128749,140281,100367,15136190,0.225,39.22
Chubu,1995H2,39.32,37.54,41287239,2729938,2897132,28507,305266,1455649,1400728,40437,338941,2062009,2160086,38805,585752,62990,90395,10783,,,,2682964,2786963,54628,159168,93603,93952,51,9342171,0.226,39.32
Hokuriku,1995H2,39.26,37.45,6983046,1195504,1215931,28967,199402,278367,303731,41484,124206,470866,452363,39893,149694,,,,,,,,,,,,,,1543303,0.221,39.26
Kansai,1995H2,39.08,37.44,30412468,,,,,1041322,1018679,41149,398567,2684716,2626360,38930,591264,0,1,5152,40254,40447,134066,2470925,2417244,54586,235755,,,,6807895,0.224,39.08
Chugoku,1995H2,40.03,37.94,15001311,1328015,1450916,28130,999730,893263,892865,41777,171692,600789,639867,40647,162866,,,,,,,675705,599459,54419,127756,,,,3229901,0.215,40.03
Shikoku,1995H2,38.52,36.67,6217697,498053,456380,28507,193436,400782,396179,41651,155962,542534,535295,40521,103470,,,,,,,,,,,,,,1398465,0.225,38.52
Kyushu,1995H2,39.47,37.72,14556369,1746297,1775342,27670,323737,228274,229606,41358,262715,207802,211168,39558,132679,,,,,,,1240565,1260248,54586,126310,3221,3630,867,3209497,0.22,39.47
Okinawa,1995H2,38.61,35.26,1884338,351156,369910,28967,94460,176450,186643,41065,63727,,,,,,,,,,,,,,,,,,427893,0.227,38.61
Hokkaido,1995H1,38.52,36.16,5323778,1540330,1467353,25367,904093,197003,200162,40981,105096,148946,155964,39433,14621,,,,,,,,,,,,,,1215057,0.228,38.52
Tohoku,1995H1,38.62,36.93,16000876,1275065,1213304,28381,595194,505806,493500,40940,302136,199762,304965,38888,272058,,,,,,,1372938,1378007,54670,136074,,,,3642779,0.228,38.62
Tokyo,1995H1,38.85,37.17,62007056,174726,174994,29386,5677,2700044,2758096,40772,591849,1902599,1398387,38595,1150288,0,0,0,81597,0,0,7196881,7138095,54544,461367,181422,176684,111899,14102115,0.228,38.85
Chubu,1995H1,38.84,36.93,34666822,2813534,2598499,28088,472467,1032739,1009516,40605,284314,1512187,1452448,38763,684094,67166,64447,38204,,,,2715012,2713476,54628,265843,96368,96354,51,7907633,0.228,38.84
Hokuriku,1995H1,38.29,36.37,4715964,969693,949483,29135,219829,186186,183933,41358,151625,262669,259439,39893,131077,,,,,,,,,,,,,,1071631,0.227,38.29
Kansai,1995H1,38.38,36.57,28610816,,,,,728582,733505,41065,392189,2416864,2394897,38972,546247,0,2,5149,56153,45046,134337,2537953,2556075,54628,185826,,,,6550751,0.228,38.38
Chugoku,1995H1,39.46,37.2,14867979,1990174,1934169,28201,1132369,749024,746028,56378,171597,664766,643696,60015,206431,,,,,,,566539,534701,74679,51622,,,,3249081,0.219,39.46
Shikoku,1995H1,37.48,35.36,5741088,543384,553927,28298,150371,530363,535458,41651,155265,246675,253673,40563,95975,,,,,,,,,,,,,,1323285,0.23,37.48
Kyushu,1995H1,38.75,37,14342422,1339885,1178267,27167,354150,402383,388274,41191,266422,499987,499891,39558,136882,,,,,,,1249923,1205824,54586,145997,29387,28362,1356,3233151,0.225,38.75
Okinawa,1995H1,37.92,34.76,2413814,389170,371801,28465,113214,321916,322188,41065,73918,,,,,,,,,,,,,,,,,,558072,0.231,37.92
Hokkaido,1994H2,38.74,36.5,7232031,1977788,1998192,24405,835016,360938,327519,41023,109847,185751,187596,39433,21639,,,,,,,,,,,,,,1637664,0.226,38.74
Tohoku,1994H2,39.21,37.57,19160845,1609935,1599949,28381,533438,813843,807510,40814,290232,502592,414913,38847,377644,,,,,,,1414580,1372182,54670,141165,,,,4308870,0.225,39.21
Tokyo,1994H2,39.36,37.83,69557998,145485,147136,29009,5955,2888705,3503977,40605,379333,2552747,2069637,38595,833953,0,0,0,103668,0,0,7295438,7370242,54544,412822,88679,51359,107162,15669052,0.225,39.36
Chubu,1994H2,39.14,37.42,40621786,2607744,2558298,28381,257432,1415561,1452110,40521,261698,2123633,2079347,38721,624840,101078,103212,35485,,,,2912827,2877582,54670,211162,98955,98910,52,9213173,0.227,39.14
Hokuriku,1994H2,39.03,37.22,5808934,1009856,1022228,29344,199619,275842,249816,41442,151023,343370,371520,39893,127605,,,,,,,,,,,,,,1293126,0.223,39.03
Kansai,1994H2,38.67,36.96,29115830,,,,,1080466,1042504,41149,413359,2734669,2689325,39014,529478,0,1,5144,43605,75531,123300,2141227,2149266,54670,209165,,,,6587004,0.226,38.67
Chugoku,1994H2,39.76,37.64,15688328,2191758,1926572,27628,1075646,741765,748174,41609,169358,938987,920111,40354,189792,,,,,,,393312,454860,54544,20501,0,0,0,3412965,0.218,39.76
Shikoku,1994H2,38.23,36.26,6193086,588148,564895,28549,159016,554760,559939,41651,166844,310596,299312,40270,102498,,,,,,,,,,,,,,1400560,0.226,38.23
Kyushu,1994H2,39.39,37.81,14842457,1214934,1237512,27084,194215,328256,334460,41065,254841,481874,503021,39474,137348,,,,,,,1283903,1285421,54628,101906,11511,11061,636,3303940,0.223,39.39
Okinawa,1994H2,37.47,34.13,1641232,311573,253253,28758,95845,218823,221234,41023,74191,,,,,,,,,,,,,,,,,,384374,0.234,37.47
Hokkaido,1994H1,38.3,35.86,5135129,1374327,1518530,25326,863762,181948,201473,40814,79101,92682,91862,39140,24052,,,,,,,,,,,,,,1183043,0.23,38.3
Tohoku,1994H1,38.68,37.06,18859863,1137654,1075118,28130,530682,891088,908873,40856,284632,514399,570052,39014,290274,,,,,,,1380716,1436395,54670,81399,,,,4298556,0.228,38.68
Tokyo,1994H1,39,37.38,69692311,162045,158819,27084,7709,3318616,3889195,40647,436064,2579309,2236556,38763,811048,0,0,0,57893,0,0,7102545,7029648,54502,495363,91426,93206,69856,15822329,0.227,39
Chubu,1994H1,38.59,36.74,39600979,2533194,2607759,28381,207986,1567473,1619399,40521,298988,2137922,2100965,38554,580935,73582,85930,37627,,,,2631869,2656389,54670,177856,100819,100823,22,9113607,0.23,38.59
Hokuriku,1994H1,38.51,36.71,5114092,744868,711481,28967,211991,245312,237448,41400,126361,526264,463328,39893,155770,,,,,,,,,,,,,,1155292,0.226,38.51
Kansai,1994H1,38.22,36.38,33901321,,,,,1411193,1424661,40940,386873,3210740,3230849,38930,491741,0,2,5141,160050,164203,155975,2356812,2351036,54670,222184,,,,7797535,0.23,38.22
Chugoku,1994H1,39.46,37.37,15864276,1512783,1608592,28088,801711,945038,928308,41651,176999,946149,898695,40312,173748,,,,,,,561575,504145,54544,82136,0,6455,366,3474788,0.219,39.46
Shikoku,1994H1,38,36.03,6768582,405075,505362,28130,132612,678741,647444,41567,182284,364090,390049,40479,91571,,,,,,,,,,,,,,1541913,0.228,38
Kyushu,1994H1,38.43,36.65,15827913,1227933,1277921,26833,217351,614889,634656,41023,261615,635337,611960,39558,159044,,,,,,,1131423,1177097,54628,104809,31077,31215,337,3610393,0.228,38.43
Okinawa,1994H1,37.49,34.51,2178381,201793,199055,28130,40000,431040,385976,41065,76796,,,,,,,,,,,,,,,,,,509402,0.234,37.49
Hokkaido,1993H2,38.44,36.08,6835553,2081843,2038338,24195,1009551,396652,352683,40898,100427,74915,73412,39098,23313,,,,,,,,,,,,,,1565860,0.229,38.44
Tohoku,1993H2,39.35,37.76,18320332,1022888,1182064,28088,468161,767328,719944,40898,303009,443760,450045,38930,346209,,,,,,,1412037,1468232,54670,112946,,,,4099437,0.224,39.35
Tokyo,1993H2,39.33,37.78,67845941,131146,128401,28842,4488,2844613,3384628,40730,485543,1833134,1859587,38595,940902,,,,77779,,,7027655,7280330,54544,434804,45771,117458,71878,15250223,0.224,39.33
Chubu,1993H2,39.03,37.25,37275436,2729097,2919682,28047,282551,1277064,1240872,40563,351769,1313411,1525611,38637,544441,49990,39243,49975,,,,2751006,2759731,54670,204963,116597,116572,54,8471198,0.227,39.03
Hokuriku,1993H2,38.47,36.77,4705532,562821,499399,29177,178604,244235,287107,41442,124585,343397,457249,39809,93051,,,,,,,,,,,,,,1063308,0.226,38.47
Kansai,1993H2,38.51,36.85,28216907,,,,,1093013,1123531,41191,414232,2315502,2393911,38972,523468,0,0,5149,60054,51505,160761,2223195,2233368,54628,219711,,,,6404720,0.227,38.51
Chugoku,1993H2,39.54,37.45,14680908,1480296,1850394,27670,894890,684266,725813,41861,161557,866519,900189,40563,129488,,,,,,,337086,368444,54502,24800,0,0,6851,3193293,0.218,39.54
Shikoku,1993H2,38.48,36.58,6921525,590821,601947,28633,231702,539784,534745,41526,159131,459855,473147,40395,117373,,,,,,,,,,,,,,1558677,0.225,38.48
Kyushu,1993H2,38.72,36.98,13331011,1027885,1096068,26749,270131,388121,430562,41316,284382,565719,557550,39642,136677,,,,,,,1011079,1011345,54628,152809,22872,22247,811,2999574,0.225,38.72
Okinawa,1993H2,36.62,33.69,1464211,103751,64014,27963,37262,278315,311181,41023,31727,,,,,,,,,,,,,,,,,,350839,0.24,36.62
Hokkaido,1993H1,38.37,35.9,6050588,1386584,1766215,25074,973932,231149,260181,40772,58940,109638,105596,39014,21926,,,,,,,,,,,,,,1393332,0.23,38.37
Tohoku,1993H1,38.82,37.14,15198704,924273,894029,27628,632814,552263,588896,40898,256271,392287,357739,38930,352417,,,,,,,1325077,1300273,54670,143081,,,,3444973,0.227,38.82
Tokyo,1993H1,38.84,37.14,59265251,161550,164122,29260,1757,2840961,3063431,40647,617333,2146624,1640249,38637,1294408,,,,83368,,,6423435,6208049,54544,698491,312603,251514,143567,13517143,0.227,38.84
Chubu,1993H1,38.65,36.74,32023041,2039383,2025135,28047,474311,1006693,1015577,40521,316681,1568058,1525868,38763,757067,50085,54329,39228,,,,2585139,2541876,54670,214148,68637,68664,50,7353166,0.23,38.65
Hokuriku,1993H1,38.26,36.32,2942157,493454,535812,28926,115182,117427,89236,41526,169679,305317,230764,39767,207188,,,,,,,,,,,,,,666730,0.227,38.26
Kansai,1993H1,37.65,35.84,22620492,,,,,542838,521836,41023,461600,1906185,1844746,39014,610162,0,23,5139,34156,35514,152076,2249363,2216060,54670,230932,,,,5276791,0.233,37.65
Chugoku,1993H1,38.8,36.31,10943935,1829110,1725583,27795,1251709,707712,658366,41735,204631,360566,361112,40395,166506,,,,,,,280767,279529,54544,56427,0,377,7285,2431967,0.222,38.8
Shikoku,1993H1,37.71,35.62,6191411,534007,505383,28214,238951,600607,612356,41651,161401,316698,309019,40688,130307,,,,,,,,,,,,,,1420252,0.229,37.71
Kyushu,1993H1,37.81,35.96,12231206,1272581,1227513,26623,343949,414912,360524,41149,329696,331749,302978,39600,129412,,,,,,,1066393,1056260,54628,154626,19794,19406,453,2828697,0.231,37.81
Okinawa,1993H1,36.8,34.25,2007345,,,,,485474,478839,41023,64811,,,,,,,,,,,,,,,,,,478636,0.238,36.8
Hokkaido,1992H2,38.69,36.2,6267891,2228138,1852059,24154,1355221,294113,291600,40814,88562,113044,103611,39140,17884,,,,,,,,,,,,,,1429070,0.228,38.69
Tohoku,1992H2,38.95,37.4,17532282,884546,604953,27335,602585,992371,919598,40856,293272,647198,547937,38972,318160,,,,,,,1424369,1453036,54670,104209,,,,3967542,0.226,38.95
Tokyo,1992H2,39.39,37.84,72702711,167869,175445,28716,4339,3884986,4345076,40605,546429,2692474,2445668,38595,994890,,,,194419,,,6600106,6690255,54502,492578,315973,353767,82478,16357577,0.225,39.39
Chubu,1992H2,39.03,37.34,38930409,1922940,1763790,28465,461921,1640613,1650074,40437,325888,2221859,2149775,38679,715510,90161,88988,43474,,,,2822605,2831604,54670,171955,75665,75605,94,8871220,0.228,39.03
Hokuriku,1992H2,38.83,37.18,5445259,546372,491514,29219,157540,302145,326217,41316,143256,556048,587315,39726,131597,,,,,,,,,,,,,,1222090,0.224,38.83
Kansai,1992H2,38.62,37,27823763,,,,,1029574,991452,41191,459729,2797081,2785518,39056,552252,,66,5160,75776,62141,153420,2011564,1960367,54670,199287,,,,6297158,0.226,38.62
Chugoku,1992H2,39.33,37.33,14502152,1408953,1381261,27293,1157194,1066897,1102804,41609,155887,857461,874575,40521,171247,,,,,,,280459,308470,54502,55802,,626,7702,3188879,0.22,39.33
Shikoku,1992H2,38.17,36.12,6264987,634927,608907,28423,209037,529551,534661,41693,180831,358468,347770,40563,122303,,,,,,,,,,,,,,1419459,0.227,38.17
Kyushu,1992H2,38.9,37.2,16850696,1375564,1429880,26749,301249,887686,836261,41149,276871,704447,715445,39391,101247,,,,,,,1084674,1043084,54628,145945,12469,13269,284,3788374,0.225,38.9
Okinawa,1992H2,36.63,33.94,1316986,,,,,296362,315396,41023,58176,,,,,,,,,,,,,,,,,,315548,0.24,36.63
Hokkaido,1992H1,38.34,35.74,5809697,1375950,1845993,25116,987361,259252,234659,40688,88515,25011,30980,38888,8999,,,,,,,,,,,,,,1341728,0.231,38.34
Tohoku,1992H1,38.51,36.91,15295894,387992,454294,26916,326929,723006,726538,40814,221497,342962,431143,38930,219468,,,,,,,1380029,1407869,54670,121883,,,,3502063,0.229,38.51
Tokyo,1992H1,38.99,37.34,66015042,189551,185948,29344,11926,3432043,3905701,40647,564256,2381709,2002581,38679,997933,,,,54111,,,6429190,6359379,54544,593242,294891,314413,120272,14992693,0.227,38.99
Chubu,1992H1,38.77,36.96,37888884,1619922,1779364,28507,303412,1433615,1442262,40647,335802,2131686,2164919,38721,644046,80133,78292,42301,,,,2833578,2809887,54670,181725,106538,106557,66,8655032,0.228,38.77
Hokuriku,1992H1,38.83,37.07,5279344,574670,639044,28842,102682,300000,260775,41526,169341,568008,521256,39684,162757,,,,,,,,,,,,,,1179019,0.223,38.83
Kansai,1992H1,37.98,36.22,28889765,,,,,1018162,1037219,41107,435843,2347134,2310469,39014,546344,,30,5216,54937,62079,139846,2491674,2530729,54628,150315,,,,6660647,0.231,37.98
Chugoku,1992H1,38.71,36.31,13780916,2069400,2001372,27754,1139229,823405,858861,41693,193424,775078,735536,40186,191646,,,,,,,224717,214075,54544,83838,8945,4709,8364,3072197,0.223,38.71
Shikoku,1992H1,37.95,35.94,6258551,409691,470338,28340,179802,563636,532031,41693,193013,453965,439740,40521,111630,,,,,,,,,,,,,,1426466,0.228,37.95
Kyushu,1992H1,38.29,36.48,14186129,1088574,1055365,25828,366919,561343,596462,41274,227784,562063,606860,39516,113364,,,,,,,1105139,1050971,54628,104355,30260,29882,1265,3230723,0.228,38.29
Okinawa,1992H1,36.81,34.21,1852592,,,,,448359,441261,41065,77210,,,,,,,,,,,,,,,,,,441175,0.238,36.81
Hokkaido,1991H2,38.61,36.07,5716881,2575766,1884049,24237,1459011,183783,199354,40521,64891,42047,53246,39140,14968,,,,,,,,,,,,,,1316157,0.23,38.61
Tohoku,1991H2,39.05,37.54,17880531,584309,498735,26749,393239,939858,940572,40856,225724,651511,614913,39223,307533,,,,,,,1516103,1473892,54670,141938,,,,4034737,0.226,39.05
Tokyo,1991H2,39.38,37.86,70926031,151513,153193,28800,8323,4095834,4394598,40688,550084,2257948,2027472,38637,1050345,,,,121638,,,6678115,6662393,54502,528129,360583,348711,139794,15940600,0.225,39.38
Chubu,1991H2,38.96,37.28,37615716,1232638,1314793,28214,462855,1551872,1582389,40563,345884,1961445,1887608,38763,677855,89042,89621,40446,,,,3024035,3054344,54670,158575,98441,98431,95,8561157,0.228,38.96
Hokuriku,1991H2,39.57,37.93,5525431,616673,643531,28842,167056,164608,177922,41400,132057,557418,638161,39684,116007,,,,,,,,,,,,,,1213915,0.22,39.57
Kansai,1991H2,38.13,36.36,25382238,,,,,843190,837341,41191,469459,2161306,2273799,39014,517578,,2,5250,52066,47112,146878,2059348,2092889,54670,191656,,,,5818922,0.229,38.13
Chugoku,1991H2,38.95,36.62,12046842,1859893,1574915,27460,1083264,984166,979343,41609,229877,579649,568932,40563,156436,,,,,,,168208,141833,54502,73481,4461,3830,4166,2674882,0.222,38.95
Shikoku,1991H2,38.41,36.49,7151322,514938,490154,28465,232739,747998,766008,41651,167798,339441,359349,40395,97054,,,,,,,,,,,,,,1611281,0.225,38.41
Kyushu,1991H2,39.11,37.39,13591163,1381326,1380821,26498,336757,361158,338611,41233,265604,380355,363502,39726,159479,,,,,,,1013142,1123604,54670,50187,22223,22453,1219,3032121,0.223,39.11
Okinawa,1991H2,36.66,34.01,1239412,,,,,306359,296206,41107,70114,,,,,,,,,,,,,,,,,,296085,0.239,36.66
Hokkaido,1991H1,38.58,36.06,6674376,1704105,2191406,24614,775406,133722,151063,40563,82990,135021,130151,38972,26566,,,,,,,,,,,,,,1534635,0.23,38.58
Tohoku,1991H1,38.68,37.08,14336436,437826,453465,26749,312250,553733,564309,40814,227324,376116,444123,39014,271096,,,,,,,1337052,1361555,54670,95929,,,,3268484,0.228,38.68
Tokyo,1991H1,38.98,37.34,66100454,170736,164955,29093,10000,3253391,3577142,40688,546540,2372720,2236500,38721,996345,,,,41140,,,6492305,6470387,54502,514889,319787,322197,127923,14997814,0.227,38.98
Chubu,1991H1,38.76,37.06,38842315,714537,543772,28088,545015,1882757,1874102,40521,377185,2570391,2646956,38595,604354,80993,85746,41012,,,,2860608,2922367,54670,189442,101434,101425,95,8898133,0.229,38.76
Hokuriku,1991H1,37.4,35.42,2913463,316886,250888,28800,193914,113252,123244,41442,147230,360421,399935,39600,196739,,,,,,,,,,,,,,676834,0.232,37.4
Kansai,1991H1,38.42,36.69,36491494,,,,,1514609,1562887,41107,480225,3634111,3485220,38972,633575,,,5252,123846,128852,141907,2560160,2503389,54628,227603,,,,8316338,0.228,38.42
Chugoku,1991H1,38.4,35.89,12867498,1894527,2111145,27084,803667,724562,706586,41735,226327,641530,718313,39893,150175,,,,,,,168830,166045,54544,47285,13388,16318,3581,2889684,0.225,38.4
Shikoku,1991H1,37.56,35.5,5314457,554572,536880,28340,203079,355451,354133,41693,193214,340506,346815,40354,117093,,,,,,,,,,,,,,1224360,0.23,37.56
Kyushu,1991H1,38.27,36.48,13293690,940652,1014247,25870,344057,426257,486000,41316,244737,592614,612235,39684,143342,,,,,,,1070496,1006080,54670,160649,20522,19837,1719,3028127,0.228,38.27
Okinawa,1991H1,36.37,33.78,1926763,,,,,462567,465747,40940,59984,,,,,,,,,,,,,,,,,,465894,0.242,36.37
Hokkaido,1990H2,38.32,35.79,6168404,2412232,2161166,24488,1264093,137975,140374,40647,101070,54831,57800,38805,21696,,,,,,,,,,,,,,1425391,0.231,38.32
Tohoku,1990H2,39.06,37.56,16748893,559365,492374,26749,327892,939576,933018,40856,238060,540852,430895,39098,338879,,,,,,,1512957,1467248,54670,109884,,,,3779404,0.226,39.06
Tokyo,1990H2,39.22,37.61,63354128,190985,190124,28256,4229,3364071,3642525,40730,493885,2485262,1937088,38679,1193846,,,,69490,,,6170301,6168854,54502,496287,253242,219806,130333,14287240,0.226,39.22
Chubu,1990H2,39.18,37.62,40682674,479142,104891,28591,374251,2237920,2257295,40563,369134,3136167,2964441,38679,681308,113878,81424,45764,,,,2904983,2942124,54670,251939,11034,10989,96,9209700,0.227,39.18
Hokuriku,1990H2,38.65,37.13,4282501,127916,,,127916,379279,414588,41567,158415,653457,569466,39684,236759,,,,,,,,,,,,,,959944,0.224,38.65
Kansai,1990H2,38.72,37.14,34897080,,,,,1219134,1157007,41191,539095,3348703,3376008,39056,497005,,99,5253,278983,286712,147081,2401406,2460716,54670,173875,,,,7880692,0.226,38.72
Chugoku,1990H2,38.86,36.35,10977414,1784659,1844029,27502,1012975,688512,594129,41693,209661,507798,523262,40144,231004,,,,,,,111841,147939,54461,44503,31279,33370,6523,2439727,0.222,38.86
Shikoku,1990H2,38.49,36.53,6597976,564962,597663,28340,181564,666838,633086,41651,195858,288340,291147,40395,123556,,,,,,,,,,,,,,1482298,0.225,38.49
Kyushu,1990H2,38.57,36.8,12016054,1233954,1181368,26330,420717,578238,526829,41274,306667,490466,464860,39474,163774,,,,,,,755842,786876,54670,96537,6846,7226,1257,2721248,0.226,38.57
