Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Shikoku,1975,74022,74022,,,23676,7282,16394,11014,1390,1287,348,102141,25997,17411,13405,910,520,2576,-3318,15150,11904,74803,27000,26197,48606,21000,6499,8070,2377,1341,1341,,102141
Kyushu,1975,131149,130219,,930,52954,14007,38947,21730,3671,2956,820,187053,40503,37428,27797,1295,794,7542,3075,1966,,145620,47000,45576,100044,53300,13135,9790,3934,930,,930,187053
Okinawa,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1974,53120,53120,,,12931,6512,6419,1826,1892,1517,45,66189,12168,14950,9869,464,289,4328,-2782,360,,54021,33000,31979,22042,4650,6480,1410,4487,,,,66189
Tohoku,1974,105528,102992,,2536,45296,15576,29720,16340,4551,2397,1509,154150,40719,35246,23635,748,804,10059,5473,1000,,110895,61000,59107,51788,26340,7565,2230,1888,2536,,2536,154150
Tokyo,1974,430233,391775,10748,27710,275568,70068,205500,144600,11866,5893,4228,727925,107016,122873,93614,4214,2431,22614,-15857,6030,,578868,207500,201083,377785,224800,31401,22660,48124,42041,11968,30073,727925
Chubu,1974,174909,174909,,,82635,31526,51109,36500,3925,3559,673,260552,58712,60020,43764,1304,1270,13682,-1308,,,201840,98000,94960,106880,55000,13475,7440,11195,,,,260552
Hokuriku,1974,54602,54602,,,28608,8114,20494,13553,2665,1306,81,84410,6236,14691,9907,457,346,3981,-8455,431,,78174,35000,33909,44265,18100,7228,4660,5087,,,,84410
Kansai,1974,267172,259356,7816,,186257,47004,139253,118880,3459,4726,1434,469984,88960,83497,64976,3108,1806,13607,5463,2246,,372848,103000,99803,273045,179000,18110,11695,14960,8176,8176,,469984
Chugoku,1974,83845,83845,,,32498,9261,23237,18207,1447,1355,290,118143,16740,28511,18206,1521,581,8203,-36108,30906,24337,101403,42500,41150,60253,29236,7340,4710,9207,,,,118143
Shikoku,1974,62984,62984,,,20767,7623,13144,7498,1154,1287,168,84324,20400,16344,10704,742,401,4497,-3012,9450,7068,63924,26500,25671,38253,13200,4320,7360,3828,,,,84324
Kyushu,1974,108204,106008,,2196,59359,15436,43923,29965,3234,2816,158,170358,40351,29714,23663,1637,600,3814,-8508,24383,19145,127811,55041,53393,74418,44300,9399,4860,3799,2196,,2196,170358
Okinawa,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973,36968,36968,,,11795,6303,5492,1350,1673,1504,34,48767,13809,11622,8725,390,324,2183,2187,,,34958,20000,19393,15565,3550,6000,180,975,,,,48767
Tohoku,1973,84774,82238,,2536,50817,14170,36647,14750,4096,2227,1544,136146,52538,26074,25285,742,793,-746,8314,20000,18150,81072,48000,46541,34531,16750,6286,2060,1465,2536,,2536,136146
Tokyo,1973,375833,325188,12471,38174,167671,58735,108936,64100,12349,5220,2924,581238,132228,80845,95992,2696,2400,-20243,51383,,,368771,150000,145482,223289,116600,27302,18631,15156,80239,40398,39841,581238
Chubu,1973,144136,144136,,,68196,29150,39046,26500,4100,2982,345,217600,73556,34025,46295,439,1422,-14131,39531,,,144044,85000,82420,61624,35000,8780,5030,3924,,,,217600
Hokuriku,1973,42509,42509,,,29506,7466,22040,14545,2312,1279,39,72482,16221,8447,10489,204,432,-2678,7774,,,56261,21000,20360,35901,16750,6100,1100,1531,,,,72482
Kansai,1973,332738,317739,14999,,175149,37040,138109,120480,2861,4442,1229,515253,102085,44317,55432,2259,1635,-15009,22349,44922,35419,393419,150000,145443,247976,155000,19800,14325,4491,19749,19749,,515253
Chugoku,1973,65387,65387,,,26557,8538,18019,13707,1154,1346,198,93185,24064,15585,19277,963,551,-5206,8479,,,69121,32000,30993,38128,17837,5890,1560,2417,,,,93185
Shikoku,1973,49318,49318,,,18791,6881,11910,6792,1330,1131,84,68192,10367,13607,9604,338,324,3341,-3240,,,57825,30000,29096,28729,9310,4040,4300,1739,,,,68192
Kyushu,1973,88197,83933,,4264,43024,12860,30164,19411,2844,2669,3,135184,38148,32110,26784,1008,649,3669,6038,,,92772,43000,41795,50977,27400,6670,4210,4887,4264,,4264,135184
Okinawa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972,26534,26534,,,9811,5375,4436,600,1592,1488,13,37196,15080,14009,8474,790,360,4385,1071,,,22116,12000,11691,10425,2000,3600,130,1095,,,,37196
Tohoku,1972,73091,65957,,7134,40866,13196,27670,14840,3548,2227,1111,113957,37929,36148,28900,733,800,5715,1781,,,68894,28500,27767,41127,16840,6575,960,3612,7134,,7134,113957
Tokyo,1972,315302,276287,11458,27557,288546,50882,237664,156870,13127,4770,1619,644413,229153,144816,108853,12101,2348,21514,12097,65625,72240,373453,110000,107142,266311,135148,26500,17231,30502,41807,12830,28977,644413
Chubu,1972,138713,138713,,,60832,27227,33605,23750,3010,2650,72,199545,74516,72250,54015,2391,1234,14610,-33548,36500,35814,125029,64000,62345,62684,25000,8361,4990,13105,,,,199545
Hokuriku,1972,25336,25336,,,22962,7201,15761,9445,2126,1252,71,51292,20536,15435,10813,74,432,4116,5101,,,30756,10000,9737,21019,10000,3410,310,3175,,,,51292
Kansai,1972,263165,254054,9111,,117117,31421,85696,64240,2509,3724,940,412519,97165,77022,73398,983,1799,842,20143,,,302488,121000,117922,184566,85000,15600,13045,29421,12866,12866,,412519
Chugoku,1972,66603,66603,,,23966,7774,16192,13147,762,1339,134,90569,36504,30911,17961,615,612,11723,5593,,,54065,24000,23356,30709,14812,3463,1150,3519,,,,90567
Shikoku,1972,38684,38684,,,17918,5603,12315,8684,831,977,,59580,16458,14575,11163,101,360,2951,1883,,,43122,19000,18518,24604,9206,2810,1530,3978,,,,59580
Kyushu,1972,79196,78603,,593,40717,11421,29296,17800,3195,2475,3,125590,37908,37263,27407,914,720,8222,645,,,87089,36000,35075,52014,20800,8700,4300,4294,593,,593,125590
Okinawa,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971,23060,23060,,,9712,5270,4442,750,1629,1487,,32772,11360,13933,8247,1443,360,3883,-2573,,,21412,12000,11572,9840,3500,3200,130,40,,,,32772
Tohoku,1971,72709,66943,,5766,40669,12605,28064,10840,3074,2226,781,114152,30769,34870,25895,1334,729,6912,-19889,20000,15788,77617,32000,30878,46739,17840,8030,380,3373,5766,,5766,114152
Tokyo,1971,280888,238092,11625,31171,224087,37122,186965,104904,13541,4401,1350,513686,151773,135981,107201,6009,2344,20427,-15792,,,317343,105100,101469,215874,118226,26045,12807,4126,44570,13399,31171,513686
Chubu,1971,158826,158826,,,55630,22210,33420,23000,2066,2416,6,215683,55552,66644,47565,2476,1216,15387,-11092,,,160131,72200,69724,90407,38000,14510,6029,1926,,,,215683
Hokuriku,1971,25054,25054,,,21927,6683,15244,8915,1884,1252,,47445,11965,15031,9909,621,378,4123,-11591,10783,8525,35480,13000,12511,22969,10400,4880,350,533,,,,47445
Kansai,1971,204442,195458,7811,1173,110888,21402,89486,72500,2048,3446,502,319267,115919,77561,60828,2440,1650,12643,-9955,35938,28403,191733,94185,90955,100778,66500,5710,9990,1628,11615,10442,1173,319267
Chugoku,1971,53471,53471,,,20975,6915,14060,11617,625,1339,8,78819,25613,26528,14452,979,562,10535,-17045,20400,16130,53206,22800,21989,31217,18302,3720,140,350,,,,78819
Shikoku,1971,38806,38806,,,15493,5108,10385,5978,727,901,,54299,19513,12671,9676,629,350,2016,-2662,12000,9504,34786,15000,14486,20300,8950,2370,1610,600,,,,54299
Kyushu,1971,71483,71200,,283,34230,9782,24448,16300,1938,2172,,106221,28955,30949,23604,1062,720,5563,-1994,,,76983,30800,29713,47270,25300,7100,2930,,283,,283,106221
Okinawa,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970,21743,21743,,,12373,6109,6264,2750,1647,1397,,34116,16482,12897,7769,627,355,4146,-1164,6000,4749,17634,8600,8254,9380,4000,2700,,,,,,34116
Tohoku,1970,59074,54302,,4772,30423,13433,16990,5840,2718,2151,,89497,30937,33064,24110,2102,600,6252,-2127,,,53788,22900,21970,31818,10840,5610,301,3963,4772,,4772,89497
Tokyo,1970,236619,198631,9930,28058,202621,37224,165397,112816,12004,4114,450,439240,135116,119535,97268,8028,2227,12012,-21434,46875,37015,266136,80100,76821,189315,114516,17920,7759,6100,37988,9930,28058,439240
Chubu,1970,116727,116727,,,45088,20150,24938,13000,2002,2398,5,161815,71437,66115,39098,3569,1216,22232,5322,,,90378,44800,42957,47421,23000,7260,3422,49,,,,161815
Hokuriku,1970,17999,17999,,,19210,6571,12639,6900,1725,1196,,37209,8994,8191,9766,438,324,-2337,803,,,28215,10200,9777,18438,9900,3360,200,38,,,,37209
Kansai,1970,158430,149056,8299,1075,94639,28193,66446,55000,1592,2913,313,253069,76500,63570,60658,2670,1600,-1358,12930,,,167195,65500,62834,104361,70000,6200,8539,2312,9374,8299,1075,253069
Chugoku,1970,46156,46156,,,17277,7455,9822,7388,637,1332,8,63433,28092,25870,12565,1135,408,11762,2222,,,35341,13800,13234,22107,14627,2490,,,,,,63433
Shikoku,1970,23466,23161,,305,11433,4779,6654,4250,565,798,,34899,11141,10620,7093,688,240,2599,521,,,23453,10300,9881,13572,7450,1100,632,,305,,305,34899
Kyushu,1970,55356,55356,,,41036,9879,31157,22000,1723,2074,,96392,33986,28011,21982,1891,630,3508,-8225,18000,14200,62406,22000,21098,41308,27800,4700,128,,,,,96392
Okinawa,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969,19626,19626,,,8330,4302,4028,500,1674,1315,,27956,12486,11794,9743,609,300,1142,694,,,15470,7100,6850,8620,3000,2500,1120,,,,,27956
Tohoku,1969,46266,46266,,,27288,9152,18136,5840,4512,2070,,73554,40659,26773,23317,1814,546,1096,2049,15000,11837,32895,16600,16006,16889,5840,4533,976,,,,,73554
Tokyo,1969,204029,178310,5532,20187,144303,29861,114442,73000,10803,3939,,348332,89493,106054,82899,10352,1875,10928,-16561,,,233120,77654,74279,158841,96000,16890,4551,3600,25719,5532,20187,348332
Chubu,1969,75541,75541,,,42725,13832,28893,13000,2109,2301,5,118266,72794,53627,35077,7290,1024,10236,3227,20250,15940,45472,32100,30955,14517,13000,,1419,98,,,,118266
Hokuriku,1969,13332,12955,,377,15346,4123,11223,5400,1690,1102,,28678,11011,10607,7673,325,324,2285,404,,,17290,7700,7421,9869,5400,1200,699,,377,,377,28678
Kansai,1969,140137,132755,7382,,60534,17342,43192,32000,1730,2824,261,200671,84987,72559,47689,2967,1600,20303,12428,,,108302,47600,45895,62407,40000,4260,6807,,7382,7382,,200671
Chugoku,1969,30670,30670,,,11869,5242,6627,3679,710,1295,8,42539,20633,19366,11775,650,408,6533,1267,,,21906,10000,9633,12273,7388,1670,,,,,,42539
Shikoku,1969,19357,19357,,,9123,3447,5676,2450,825,768,,28480,11386,6420,7742,648,210,-2180,236,6000,4730,17094,7700,7422,9672,4250,1050,1097,,,,,28480
Kyushu,1969,40057,40057,,,31310,7738,23572,15000,2738,1914,,71367,23155,24684,20917,1726,540,1501,-1529,,,48212,16300,15713,32499,19000,5490,739,,,,,71367
Okinawa,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
