Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Kyushu,2006,170244,170244,,,356100,74513,281587,,,,247051,526344,233426,263608,189004,498,,74106,-30182,,,292918,108842,108488,184430,,,,180000,,,,526344
Okinawa,2006,23386,23386,,,125100,12000,113100,,,,92716,148487,30230,30222,23319,537,,6365,7,,,118257,12000,11957,106300,,,,94000,,,,148487
Hokkaido,2005,89220,89220,,,103104,10000,93104,,,,85474,192324,89940,89066,67682,243,,21140,874,,,102383,30000,29883,72500,,,,67500,,,,192324
Tohoku,2005,187232,187232,,,929233,99900,829333,,,,800624,1116466,121668,227401,243518,498,,-16615,-105733,,,994797,140000,139517,855280,,,,850280,,,,1116466
Tokyo,2005,505022,505022,,,2481218,405400,2075818,,,,1986139,2986240,784909,730267,753457,842,,-24032,54641,,,2201331,250000,249189,1952142,,,,1941142,,,,2986240
Chubu,2005,116960,116960,,,1823069,222852,1600217,,,,1551635,1940029,212682,179412,330273,1074,,-151935,33270,56258,,1727347,143000,142483,1584864,,,,1581100,,,,1940029
Hokuriku,2005,74196,74196,,,326685,49670,277015,,,,264017,400882,112067,107455,126890,193,,-19627,4611,,,288815,50000,49815,239000,,,,236500,,,,400882
Kansai,2005,176779,176779,,,952397,60000,892397,,,,821507,1129177,366245,431702,338468,558,,92674,-65456,,,762932,150000,149441,613490,,,,594090,,,,1129177
Chugoku,2005,104857,104857,,,1106334,30000,1076334,,,,1056815,1211191,129441,129833,136568,,,-6735,-391,,,1081750,,,1081750,,,,1074750,,,,1211191
Shikoku,2005,55158,55158,,,131044,20000,111044,,,,85906,186202,-45608,-35149,81231,188,,-116569,-10458,,,231811,50000,49811,182000,,,,178000,,,,186202
Kyushu,2005,174228,174228,,,422473,75000,347473,,,,295364,596701,198657,246380,199587,368,,46425,-47723,,,398044,110000,109574,288470,,,,278000,,,,596701
Okinawa,2005,14265,14265,,,85903,3000,82903,,,,54941,100169,31179,30000,25062,345,,4592,1179,,,68989,2000,1989,67000,,,,56000,,,,100169
