Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Kansai,199306,0,9259,9259,187709,103811,109971,0,0,79061,76031,41291,235029,431412,32632,45043,41482,196344,237826,185997,667465,853462,0,149619,149619,368324,151139,133356,652819,376760,3181064,3190323,365926,362394,728320,3918643
Chugoku,199306,,17647,17647,52951,29514,50834,257,,27227,61501,10672,61534,161191,26073,23636,42081,52116,94197,218557,335715,554272,,90820,90820,102892,151033,44231,298156,84851,1466495,1484142,96371,83450,179821,1663963
Shikoku,199306,0,4825,4825,24542,26256,75510,0,0,31693,5629,19458,51751,108531,23325,4369,27162,1138,28300,0,82377,82377,0,0,0,51431,8884,22631,82946,38162,494318,499143,7206,25177,32383,531526
Kyushu,199306,4265,14592,18857,118448,37585,39450,,27863,40288,14357,11510,71065,165083,7244,37763,125999,28549,154548,60338,173797,234135,,49166,49166,291684,72140,30757,394581,125231,1363234,1382091,80833,123245,204078,1586169
Okinawa,199306,,591,591,5070,,593,,,695,,,777,1472,3173,,5253,,5253,,9746,9746,,549,549,,,,,1180,27036,27627,,36828,36828,64455
Hokkaido,199305,17114,4094,21208,49437,,79893,,,13122,,,26395,39517,1351,287,20416,4258,24674,2733,38427,41160,,,,22956,6027,,28983,28992,294294,315502,24869,40684,65553,381055
Tohoku,199305,0,14748,14748,75837,22030,76356,2418,20287,30004,0,2164,77401,132274,5262,16843,45425,36474,81899,0,238393,238393,0,150662,150662,299411,54945,61905,416261,123295,1339112,1353860,116959,95559,212518,1566378
Tokyo,199305,,18928,18928,347978,13972,321929,45118,,115495,333597,31023,336842,862075,72677,76305,93731,191048,284779,171772,541463,713235,6817,393174,399991,666346,526253,230683,1423282,624122,5140345,5159273,450092,744847,1194939,6354212
Chubu,199305,,4591,4591,149288,148837,134291,,,35804,22800,76319,130851,265774,27371,61816,26645,168329,194974,29013,476617,505630,7786,113734,121520,223762,813081,175117,1211960,294657,3116118,3120709,223228,177896,401124,3521833
Hokuriku,199305,,2444,2444,10555,101694,26856,4134,7253,16179,,25647,36316,89529,2616,1468,11988,24691,36679,,115711,115711,,69094,69094,64465,18886,30274,113625,100938,668765,671209,23662,30621,54283,725492
Kansai,199305,0,9249,9249,167397,91589,103417,0,0,82594,73546,39924,209190,405254,33457,39357,53389,194700,248089,225330,649742,875072,0,136441,136441,309148,129319,112181,550648,326986,2977707,2986956,360252,342010,702262,3689218
Chugoku,199305,,17738,17738,47876,25239,43499,255,,29510,69019,10769,56329,165882,20821,21075,44775,49730,94505,205926,348378,554304,,92884,92884,93262,133768,38866,265896,74773,1406754,1424492,102892,80129,183021,1607513
Shikoku,199305,0,4887,4887,22331,22935,89141,0,0,36255,3976,22404,46807,109442,27044,3922,35354,1135,36489,0,84736,84736,0,0,0,47261,7078,18746,73085,34168,503293,508180,7182,24056,31238,539418
Kyushu,199305,6897,14882,21779,107563,31246,45746,,31043,38509,15184,10532,61759,157027,7371,33368,132176,27783,159959,69464,165612,235076,,46167,46167,262032,64022,27538,353592,110021,1287136,1308915,82433,110903,193336,1502251
Okinawa,199305,,763,763,4770,,636,,,644,,,829,1473,4306,,5802,,5802,,10131,10131,,465,465,,,,,1314,28897,29660,,31998,31998,61658
Hokkaido,199304,14570,3819,18389,50483,,72152,,,12216,,,25710,37926,1766,278,20214,4075,24289,4380,40877,45257,,,,22056,6665,,28721,30002,290874,309263,25409,42540,67949,377212
Tohoku,199304,0,15699,15699,74450,22717,61044,1322,20248,23073,0,1697,77089,123429,3766,17477,55994,39943,95937,0,234107,234107,0,138784,138784,306581,57092,65353,429026,132017,1332754,1348453,117722,96951,214673,1563126
Tokyo,199304,,22870,22870,349036,15411,325441,42385,0,98521,263927,23283,344982,773098,81961,82648,106850,201239,308089,154305,550871,705176,6568,401998,408566,701476,575170,253294,1529940,691689,5271055,5293925,435464,737315,1172779,6466704
Chubu,199304,,5249,5249,145738,163785,124536,,,34456,30765,65783,132416,263420,22182,65808,25763,183567,209330,100491,475587,576078,16382,117910,134292,229711,866987,185927,1282625,318810,3306604,3311853,217507,175772,393279,3705132
Hokuriku,199304,,3428,3428,10130,107694,33305,6895,7195,16291,,26018,34917,91316,2488,1616,14034,23347,37381,,114460,114460,,71879,71879,66008,19900,32538,118446,104446,693161,696589,23687,31571,55258,751847
Kansai,199304,0,10750,10750,166966,99245,105558,0,0,73689,70458,42248,204424,390819,35197,42267,56151,187440,243591,207587,623105,830692,0,142411,142411,323030,139053,120947,583030,349821,2989597,3000347,345895,333596,679491,3679838
Chugoku,199304,,19285,19285,45843,26415,46950,272,,27736,68903,8578,56490,161979,15270,21926,41881,51335,93216,171233,325361,496594,,86877,86877,91951,139770,41970,273691,79198,1347959,1367244,97000,78849,175849,1543093
Shikoku,199304,0,5139,5139,22275,24840,81923,0,0,29278,6270,17961,48060,101569,25258,4169,27227,1288,28515,0,81380,81380,0,0,0,46624,7960,20061,74645,36345,480919,486058,7283,23412,30695,516753
Kyushu,199304,4163,15396,19559,107031,35271,43720,,30268,42632,18794,17949,52401,162044,7362,34044,110813,29309,140122,62459,162948,225407,,52434,52434,258554,65765,29418,353737,114864,1276036,1295595,77387,119847,197234,1492829
Okinawa,199304,,833,833,4915,,654,,,628,,,1075,1703,3345,,4981,,4981,,9833,9833,,408,408,,,,,1269,27108,27941,,28882,28882,56823
Hokkaido,199303,14503,3570,18073,50957,,65095,,,10070,,,25437,35507,4750,329,20074,3675,23749,8201,42405,50606,,,,22778,7543,,30321,32155,293469,311542,29475,44933,74408,385950
Tohoku,199303,0,18081,18081,75641,23641,61666,1609,39548,24892,0,1743,82459,150251,3682,21647,50075,41822,91897,0,224443,224443,0,145907,145907,325977,64647,72805,463429,139006,1401210,1419291,133328,103546,236874,1656165
Tokyo,199303,,22815,22815,328576,15802,316214,38126,,93443,251112,21562,354356,758599,78568,90025,118781,205973,324754,210941,563738,774679,6706,412761,419467,727469,655872,272582,1655923,695226,5457833,5480648,491396,727994,1219390,6700038
Chubu,199303,,5666,5666,145440,172656,123543,,,32509,16681,59866,138215,247271,24168,73365,33147,204802,237949,23967,515631,539598,13566,123682,137248,252380,1007623,207961,1467964,340224,3509426,3515092,236740,177984,414724,3929816
Hokuriku,199303,,5927,5927,10175,111989,25389,10607,7384,14886,,33233,37097,103207,2428,1856,15003,22924,37927,,106009,106009,,76167,76167,69358,23215,36622,129195,119840,724182,730109,27115,36417,63532,793641
Kansai,199303,0,11757,11757,166504,104747,104883,0,0,74439,58744,35702,215968,384853,36792,46383,59438,201877,261315,209643,670070,879713,0,151566,151566,347105,162040,137873,647018,378559,3162333,3174090,378199,348059,726258,3900348
Chugoku,199303,,20428,20428,45011,27390,48672,271,,23543,64919,9097,60428,158258,21175,25503,43129,55453,98582,146945,329791,476736,,90044,90044,95598,185734,49168,330500,86329,1408200,1428628,105022,84654,189676,1618304
Shikoku,199303,0,5216,5216,22458,24714,85480,0,0,29021,5631,14624,52420,101696,25362,4650,33374,1453,34827,0,81540,81540,0,0,0,48404,8477,22212,79093,37863,497683,502899,7216,24249,31465,534364
Kyushu,199303,4081,17290,21371,104063,36481,43640,,26044,43479,12723,23480,49364,155090,8030,39050,133425,32547,165972,47419,165202,212621,,46488,46488,263722,76284,30687,370693,124179,1306307,1327678,84407,122949,207356,1535034
Okinawa,199303,,761,761,4356,,604,,,518,,,816,1334,3539,,5832,,5832,,10414,10414,,484,484,,,,,1091,27654,28415,,27667,27667,56082
Hokkaido,199302,12970,2878,15848,42923,,54967,,,11884,,,23375,35259,2564,297,24694,2890,27584,7968,35516,43484,,,,20540,6631,,27171,28241,262490,278338,30308,43959,74267,352605
Tohoku,199302,0,14969,14969,66591,21161,53972,2543,29181,23268,0,1684,73155,129831,3693,18894,51711,37252,88963,0,220058,220058,0,131660,131660,295085,59118,66948,421151,124402,1280376,1295345,128553,95602,224155,1519500
Tokyo,199302,,21798,21798,312204,15928,288740,37723,,88149,227054,20333,331971,705230,71411,84983,112198,196056,308254,144117,542758,686875,6198,381572,387770,695662,621557,266140,1583359,679487,5124241,5146039,434812,705296,1140108,6286147
Chubu,199302,,5025,5025,130850,159133,115506,,,31425,17875,55388,125943,230631,21689,66959,28574,187060,215634,24462,467480,491942,8678,114571,123249,227890,913492,191047,1332429,315965,3203987,3209012,217068,174781,391849,3600861
Hokuriku,199302,,7358,7358,9300,104071,24124,9138,7203,15281,,28969,34423,95014,1826,1673,11203,19925,31128,,83225,83225,,68689,68689,62447,21092,34342,117881,110345,647276,654634,25827,31554,57381,712015
Kansai,199302,0,10070,10070,149079,97531,93650,0,0,72058,67529,33018,206817,379422,32819,41972,47070,184025,231095,204655,633936,838591,0,137620,137620,307229,148903,126729,582861,340258,2924898,2934968,347827,314030,661857,3596825
Chugoku,199302,,17548,17548,38783,25435,44003,271,,23005,49230,10566,54075,137147,18417,23810,37378,49598,86976,120886,309118,430004,,83658,83658,85212,171873,45000,302085,77513,1267831,1285379,92897,77333,170230,1455609
Shikoku,199302,0,4959,4959,19831,23510,74164,0,0,27891,4178,14599,46790,93458,22242,4230,25368,1291,26659,0,76417,76417,0,0,0,43184,7624,20250,71058,35035,446604,451563,5426,22281,27707,479270
Kyushu,199302,3911,15659,19570,92201,33280,44097,,15108,39539,15797,18777,45401,134622,7182,35445,100269,29206,129475,37928,166481,204409,116,43401,43517,241543,69061,27720,338324,112673,1175225,1194795,75325,110902,186227,1381022
Okinawa,199302,,673,673,4411,,536,,,679,,,854,1533,3101,,4563,,4563,,9318,9318,,424,424,,,,,1005,24891,25564,,25281,25281,50845
Hokkaido,199301,14346,2987,17333,45061,,64143,,,13396,,,24149,37545,2808,291,15732,2607,18339,7484,38177,45661,,,,21510,6635,,28145,27700,269693,287026,32602,47779,80381,367407
Tohoku,199301,0,14518,14518,68198,19877,65590,3438,44603,29200,0,1719,78593,157553,3535,18119,46104,36011,82115,0,229223,229223,0,153764,153764,298537,55822,64997,419356,120443,1337773,1352291,139918,100108,240026,1592317
Tokyo,199301,,18648,18648,305695,14703,277763,43318,,104677,258597,21815,319483,747890,73251,77748,88724,186890,275614,154844,522306,677150,6814,366756,373570,656090,566869,251640,1474599,606275,4904258,4922906,490030,715144,1205174,6128080
Chubu,199301,,4580,4580,131503,148508,118228,,,33947,16134,63684,121955,235720,22391,63263,25155,186470,211625,26633,452326,478959,7099,110415,117514,225180,847082,185048,1257310,291695,3076716,3081296,246718,177304,424022,3505318
Hokuriku,199301,,9070,9070,10047,105239,25930,9344,7296,15605,,31760,34624,98629,2098,1648,8469,21498,29967,,100055,100055,,71534,71534,62062,20008,33752,115822,107737,668706,677776,28107,32273,60380,738156
Kansai,199301,0,8828,8828,148604,93508,91806,0,0,80960,65547,36913,196195,379615,32173,39826,41784,188550,230334,217489,634538,852027,0,134131,134131,297348,138537,121200,557085,324595,2883704,2892532,384834,335115,719949,3612481
Chugoku,199301,,17096,17096,40971,24286,44349,268,,26888,56783,11299,55440,150678,22771,22512,27164,48541,75705,147527,282678,430205,,92510,92510,86151,162072,43491,291714,75744,1271445,1288541,102111,82781,184892,1473433
Shikoku,199301,0,4984,4984,20664,22698,82427,0,0,33612,5109,15864,46365,100950,24740,3991,26703,1001,27704,0,78752,78752,0,0,0,44531,7380,18576,70487,34088,466501,471485,5963,23873,29836,501321
Kyushu,199301,4360,14906,19266,95974,32200,45808,,22407,43189,7667,17772,53794,144829,7676,34694,123577,30390,153967,49068,176849,225917,156,44694,44850,246040,65074,27163,338277,110508,1234700,1253966,89289,116240,205529,1459495
Okinawa,199301,,747,747,4775,,618,,,711,,,1073,1784,3703,,4658,,4658,,9325,9325,,520,520,,,,,1240,26623,27370,,28179,28179,55549
Hokkaido,199212,14439,4974,19413,49574,,65927,,,13512,,,24148,37660,1881,293,29456,4005,33461,5181,34917,40098,,,,21444,6423,,27867,29499,286260,305673,30188,46331,76519,382192
Tohoku,199212,0,17833,17833,79601,22327,61353,3605,34690,28867,0,1662,84128,152952,5479,18967,67636,40163,107799,0,230331,230331,0,148535,148535,309677,58483,69481,437641,130834,1395819,1413652,137569,105763,243332,1656984
Tokyo,199212,,22356,22356,326349,15760,306735,45746,,102495,261821,22607,342535,775204,74119,82281,120504,202643,323147,157156,567274,724430,6594,381072,387666,694125,588030,258147,1540302,667498,5223491,5245847,479430,742086,1221516,6467363
Chubu,199212,,5337,5337,139649,167799,129139,,,34715,15358,67684,121604,239361,21943,65814,32504,186931,219435,12100,482010,494110,6051,113658,119709,229660,871008,187652,1288320,309810,3195089,3200426,224466,176136,400602,3601028
Hokuriku,199212,,9587,9587,10955,108673,27040,10478,7149,15685,,33267,34934,101513,2167,1725,14377,24783,39160,,123332,123332,,73095,73095,63698,19892,33420,117010,109431,714101,723688,26917,32326,59243,782931
Kansai,199212,0,10549,10549,166361,105036,101169,0,0,78391,70550,37334,212642,398917,34818,42999,62228,193031,255259,228045,649589,877634,0,139332,139332,313864,142151,126320,582335,344774,3048634,3059183,371757,345247,717004,3776187
Chugoku,199212,,18850,18850,46208,27844,49380,317,,26343,66742,10769,56156,160327,16308,22320,33007,50703,83710,152805,294199,447004,,93407,93407,89790,161706,44173,295669,80356,1322533,1341383,98488,84321,182809,1524192
Shikoku,199212,0,5526,5526,23219,25936,82790,0,0,31741,5273,11916,46476,95406,26091,3940,31010,827,31837,0,80426,80426,0,0,0,45622,8159,19352,73133,37001,479779,485305,5864,24034,29898,515203
Kyushu,199212,4112,16639,20751,103990,36433,49445,,29147,43990,6569,24440,51701,155847,7691,34556,141341,30303,171644,70024,163448,233472,152,44018,44170,247092,66746,27549,341387,116389,1295024,1315775,77605,121300,198905,1514680
Okinawa,199212,,719,719,4697,,588,,,599,,,975,1574,3246,,5755,,5755,,10410,10410,,595,595,,,,,1172,28037,28756,,26881,26881,55637
Hokkaido,199211,12662,4613,17275,60130,,79790,,,16040,,,25235,41275,2181,282,26948,4878,31826,4028,38666,42694,,,,21878,6085,,27963,29829,315970,333245,26828,44804,71632,404877
Tohoku,199211,0,16616,16616,76942,22471,71643,3229,40796,26579,0,2130,85286,158020,6676,19182,61502,39487,100989,0,246672,246672,0,146938,146938,305528,59203,68961,433692,127356,1410581,1427197,122022,99315,221337,1648534
Tokyo,199211,,21717,21717,337263,16264,322505,42097,,105704,271033,23012,362576,804422,77291,87828,118881,202120,321001,195407,573288,768695,6531,402202,408733,716540,612496,256944,1585980,679970,5409952,5431669,456490,739636,1196126,6627795
Chubu,199211,,5073,5073,144862,169344,135592,,,36045,19230,68418,138891,262584,21201,70330,26314,194528,220842,34546,484973,519519,6921,118267,125188,231295,927450,186540,1345285,320830,3335577,3340650,218565,169396,387961,3728611
Hokuriku,199211,,7222,7222,9844,110393,39969,10360,7573,16167,,34124,36617,104841,2188,1780,16375,25121,41496,,119136,119136,,73372,73372,63363,20296,32700,116359,105893,725271,732493,25021,31333,56354,788847
Kansai,199211,0,10006,10006,168406,103644,105568,0,0,75334,65069,38746,222134,401283,33134,44363,57861,193973,251834,207816,653184,861000,0,138937,138937,315278,143573,122006,580857,348793,3037819,3047825,349996,328977,678973,3726798
Chugoku,199211,,18059,18059,43004,26035,48482,273,,27087,59676,15502,57714,160252,18429,23870,42461,50339,92800,166258,327445,493703,,88570,88570,89293,161625,42864,293782,78229,1367156,1385215,98111,77395,175506,1560721
Shikoku,199211,0,5146,5146,21777,25399,84797,0,0,32507,5304,16409,48487,102707,26276,4110,33589,800,34389,0,83778,83778,0,0,0,44430,7698,19211,71339,34830,489402,494548,5189,22659,27848,522396
Kyushu,199211,20678,16065,36743,104097,37109,52328,,29760,43469,4750,23799,52618,154396,7728,38314,134352,30915,165267,55693,165402,221095,169,43699,43868,255138,67791,28677,351606,118214,1294022,1330765,79660,110275,189935,1520700
Okinawa,199211,,752,752,5071,,620,,,675,,,767,1442,3454,,5394,,5394,,9796,9796,,533,533,,,,,1402,27712,28464,,29161,29161,57625
Hokkaido,199210,14159,4556,18715,76527,,80742,,,13845,,,25612,39457,2029,328,32841,5441,38282,4924,39420,44344,,,,22431,5730,,28161,31412,341282,359997,26405,45404,71809,431806
Tohoku,199210,0,16711,16711,83534,23960,79269,4133,34111,25034,0,2067,86499,151844,6380,19695,63236,41150,104386,0,245302,245302,0,150688,150688,325742,60320,73563,459625,135788,1460471,1477182,121780,98859,220639,1697821
Tokyo,199210,,21061,21061,354786,16581,330395,44258,,105608,271297,24954,371008,817125,74424,89448,122769,205500,328269,182878,568012,750890,6836,408197,415033,754620,634114,268878,1657612,698929,5533492,5554553,467612,755456,1223068,6777621
Chubu,199210,,5059,5059,156466,185051,140337,,,37256,31623,72217,152272,293368,25538,73381,24946,200641,225587,27164,510699,537863,7062,122235,129297,249366,969755,198290,1417411,335921,3520220,3525279,220139,178187,398326,3923605
Hokuriku,199210,,8790,8790,10575,117824,43700,9019,8448,14327,,34876,38131,104801,994,1819,11249,21611,32860,,121034,121034,,75828,75828,69137,20884,34055,124076,115333,748844,757634,24812,33006,57818,815452
Kansai,199210,0,10480,10480,184619,110179,107577,0,0,85029,86590,41172,233849,446640,29071,47589,58158,200461,258619,217141,664086,881227,0,148361,148361,349600,151348,130228,631176,374864,3219922,3230402,361296,344065,705361,3935763
Chugoku,199210,,18534,18534,47107,27460,51074,276,,24529,61407,13558,61554,161324,30380,24343,40873,51729,92602,140950,318729,459679,,94877,94877,96765,165293,45318,307376,82622,1378844,1397378,99297,81214,180511,1577889
Shikoku,199210,0,5336,5336,22999,28410,77981,0,0,34806,6027,19290,51567,111690,27512,4378,34391,922,35313,0,83695,83695,0,0,0,47267,8894,21074,77235,38055,507268,512604,5129,23575,28704,541308
Kyushu,199210,4187,16105,20292,116725,41655,55070,,30232,45255,7019,23699,54415,160620,8044,40017,130376,32446,162822,48727,177780,226507,166,43334,43500,274854,69960,30047,374861,127140,1356961,1377253,76550,119683,196233,1573486
Okinawa,199210,,706,706,5210,,582,,,585,,,758,1343,3804,,5833,,5833,,10077,10077,,492,492,,,,,1398,28739,29445,,33110,33110,62555
Hokkaido,199209,12179,6039,18218,71422,,101929,,,14351,,,24543,38894,1929,288,40985,5066,46051,977,40379,41356,,,,22028,5524,,27552,30105,359526,377744,25114,43727,68841,446585
Tohoku,199209,,16481,16481,81749,24316,67469,2344,30001,24748,,2216,81934,141243,5349,19639,55882,39289,95171,,219759,219759,,143143,143143,333642,61505,75574,470721,131950,1400509,1416990,113378,99364,212742,1629732
Tokyo,199209,,19531,19531,381230,17919,322668,36726,,91559,247335,23418,383810,782848,78826,93282,104752,206004,310756,139364,555285,694649,6326,423311,429637,820909,687763,294949,1803621,742952,5658388,5677919,479550,789633,1269183,6947102
Chubu,199209,,5007,5007,165410,194800,138480,,,31845,26901,68621,151682,279049,32278,77562,26979,194674,221653,23586,484596,508182,23910,122972,146882,266934,1033015,215377,1515326,347066,3626688,3631695,217613,185525,403138,4034833
Hokuriku,199209,,8892,8892,10867,119817,28969,9426,7778,15396,,34664,39677,106941,2597,1758,15792,21696,37488,,104232,104232,,73851,73851,72545,21525,36211,130281,119188,735989,744881,23590,33929,57519,802400
Kansai,199209,,9895,9895,193786,115718,108115,,,75526,76784,41045,239563,432918,24761,49531,50521,197911,248432,188162,646285,834447,,150425,150425,372672,160778,144658,678108,387972,3224213,3234108,372051,355533,727584,3961692
Chugoku,199209,,17037,17037,51071,30997,48743,412,,19979,49659,12263,63861,146174,20038,25671,13970,49668,63638,160970,276899,437869,,90265,90265,101257,189972,48910,340139,85676,1340281,1357318,94683,85508,180191,1537509
Shikoku,199209,,4237,4237,23202,29782,78451,,,31226,4029,15019,53713,103987,27038,4572,20404,864,21268,,57323,57323,,,,50216,9947,22615,82778,37429,465830,470067,5305,25017,30322,500389
Kyushu,199209,4681,15806,20487,120138,45524,52153,,24521,41292,11264,20150,52172,149399,7988,40449,129018,31917,160935,42089,161897,203986,157,42290,42447,287668,75400,31201,394269,131848,1349136,1369623,80650,123292,203942,1573565
Okinawa,199209,,601,601,5448,,564,,,698,,,887,1585,3482,,5479,,5479,,9601,9601,,538,538,,,,,1319,28016,28617,,35380,35380,63997
Hokkaido,199208,11826,5578,17404,58419,,90138,,,12316,,,23608,35924,1611,271,39117,4815,43932,1441,45260,46701,,,,21600,4624,,26224,28855,332075,349479,26385,45066,71451,420930
Tohoku,199208,,15628,15628,86683,22226,66074,2140,32230,23406,,2155,75105,135036,4517,17608,46063,36088,82151,,205462,205462,,128415,128415,328514,51596,71137,451247,123317,1322736,1338364,127488,102194,229682,1568046
Tokyo,199208,,16752,16752,389460,16866,310581,35893,,79192,259588,24636,346206,745515,86307,79379,96431,190949,287380,143097,506448,649545,7076,382862,389938,754927,566269,263390,1584586,675229,5214786,5231538,531161,810676,1341837,6573375
Chubu,199208,,4470,4470,170214,176885,129264,,,30812,47432,77620,139438,295302,37151,64867,27588,173320,200908,18412,421180,439592,9478,107327,116805,251579,826361,197613,1275553,308833,3215374,3219844,238736,193119,431855,3651699
Hokuriku,199208,,4534,4534,11482,113971,29890,6914,3694,13655,,35422,35663,95348,2618,1521,10753,19741,30494,,75858,75858,,70256,70256,70694,17746,35454,123894,110832,666164,670698,26001,37075,63076,733774
Kansai,199208,,8569,8569,194437,107821,102126,,,77184,84648,43070,222345,427247,35156,43861,50886,195070,245956,205540,620838,826378,,138369,138369,338818,136872,133853,609543,347034,3077928,3086497,415429,373260,788689,3875186
Chugoku,199208,,16045,16045,53088,29786,45267,434,,23351,63493,15444,58219,160941,22883,21768,33945,48156,82101,161982,285435,447417,,90468,90468,98908,160950,43908,303766,78816,1336301,1352346,107133,91666,198799,1551145
Shikoku,199208,,4004,4004,23969,27017,93372,,,27277,6563,12521,46786,93147,26217,4186,30601,805,31406,,61613,61613,,,,49987,8682,19363,78032,34873,473832,477836,5783,26717,32500,510336
Kyushu,199208,4838,14812,19650,120880,42346,47759,,16510,41335,11714,19545,48978,138082,8523,35631,109814,27431,137245,45866,160573,206439,133,44237,44370,285177,63072,29654,377903,118842,1278020,1297670,90958,126478,217436,1515106
Okinawa,199208,,689,689,5686,,378,,,729,,,850,1579,3678,,4634,,4634,,8354,8354,,595,595,,,,,1576,26480,27169,,37009,37009,64178
Hokkaido,199207,13481,4499,17980,54099,,79212,,,14673,,,23739,38412,1458,302,34826,5594,40420,1258,50825,52083,,,,23985,5074,,29059,32279,327324,345304,26527,44936,71463,416767
Tohoku,199207,,17088,17088,90680,25948,68678,2423,18582,22592,,2427,83359,129383,4769,20640,52202,41409,93611,,197846,197846,,104263,104263,357093,63588,82176,502857,139756,1378429,1395517,120387,104833,225220,1620737
Tokyo,199207,,20378,20378,389904,18141,305098,45556,,95087,273814,23981,387842,826280,74063,95988,106794,214080,320874,118075,551724,669799,6891,425402,432293,841860,695549,295942,1833351,748717,5714508,5734886,507335,805031,1312366,7047252
Chubu,199207,,5110,5110,175609,209492,133773,,,38534,49540,82210,148227,318511,28473,82245,27387,195578,222965,30899,483391,514290,8339,127283,135622,281445,1080684,231139,1593268,362267,3776515,3781625,231294,197090,428384,4210009
Hokuriku,199207,,3692,3692,11696,125924,28974,3524,8106,12447,,36523,41931,102531,1789,1763,15085,23023,38108,,94468,94468,,75202,75202,79122,21569,38157,138848,126733,746036,749728,25156,35605,60761,810489
Kansai,199207,,10308,10308,205349,124985,111767,,,75925,73066,43385,255541,447917,33605,51540,40967,199625,240592,193780,667049,860829,,156412,156412,397382,163868,152731,713981,408221,3355198,3365506,402531,377634,780165,4145671
Chugoku,199207,,18039,18039,56050,34453,47890,564,,16202,79425,13082,64315,173588,23190,26780,46203,52795,98998,148212,329847,478059,,86590,86590,109474,193199,50693,353366,91156,1470120,1488159,98808,93567,192375,1680534
Shikoku,199207,,4972,4972,24894,32653,79556,,,26861,6081,12666,55505,101113,20107,4868,28019,1005,29024,,52465,52465,,,,53026,10134,23761,86921,39437,471038,476010,5444,26713,32157,508167
Kyushu,199207,4390,15414,19804,130077,47958,46684,,6453,41835,14189,17541,47618,127636,8555,41990,94380,28938,123318,42610,144461,187071,178,47224,47402,301194,72521,33301,407016,138373,1306080,1325884,83316,135919,219235,1545119
Okinawa,199207,,680,680,5112,,369,,,678,,,751,1429,2213,,2778,,2778,,8302,8302,,529,529,,,,,1402,22134,22814,,36855,36855,59669
Hokkaido,199206,14687,4234,18921,48608,,88499,,,12904,,,23811,36715,3105,290,28289,5124,33413,794,42815,43609,,,,22052,4679,,26731,30461,311431,330352,23380,40905,64285,394637
Tohoku,199206,,15826,15826,79084,23781,109517,1846,14329,36152,,2005,87215,141547,3921,19195,54852,39576,94428,,227788,227788,,142807,142807,322084,59945,74726,456755,131359,1430182,1446008,111431,96402,207833,1653841
Tokyo,199206,,20057,20057,368508,17150,328476,46766,,114957,288521,25693,373981,849918,68049,89431,112757,213979,326736,145045,572909,717954,6681,419018,425699,780673,643866,276208,1700747,722006,5614674,5634731,443806,760246,1204052,6838783
Chubu,199206,,5237,5237,159762,199391,136097,,,36510,47837,74915,147038,306300,26276,76589,28559,186317,214876,30496,492791,523287,6636,124055,130691,258603,975648,207594,1441845,339586,3554700,3559937,215793,182584,398377,3958314
Hokuriku,199206,,5954,5954,9911,118999,32699,6004,7959,15070,,33176,37757,99966,451,1580,15130,23786,38916,,114738,114738,,73736,73736,72277,20375,34813,127465,112450,730911,736865,23471,31473,54944,791809
Kansai,199206,,9975,9975,182859,114433,108127,,,81425,87547,40787,235476,445235,33563,47105,54547,200331,254878,199184,656880,856064,,148034,148034,360308,150986,135625,646919,371791,3209008,3218983,359587,345552,705139,3924122
Chugoku,199206,,17696,17696,49467,30577,52751,537,,22668,79483,10508,66516,179712,21523,24269,47173,50505,97678,132844,326466,459310,,92342,92342,99132,170262,45352,314746,84136,1406511,1424207,91396,82703,174099,1598306
Shikoku,199206,,4402,4402,22260,29479,76031,,,29710,5857,15299,50484,101350,23129,4363,34411,1121,35532,,63747,63747,,,,47039,8281,21567,76887,36868,469646,474048,4582,23542,28124,502172
