Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Tokyo,1984,6304227,2228679,3568653,19113,,14,118944,124046,,,,,,,,,,,,,244774,1724181,535333,477070,,120413,196362,139147,111505,51863,46793,32989,,,,,,,,,8028408,,650000,,43879,,,70032,,5655,,3300,,,37000,,,,,,,1071178,9099586
Chubu,1984,1761167,840271,771664,24032,,1,80735,44362,,,,,,,,,,,,,100,622279,178182,156000,,62629,35224,56390,61729,23342,40276,5238,,,,,,,,,2383447,,358000,,25571,,,38133,,2026,,26000,,,36000,,,,,,,608727,2992174
Hokuriku,1984,440523,205374,209606,1443,,,24089,,,,,,,,,,,,,,8,123013,43611,17350,,16929,4192,11674,14316,6555,6943,495,,,,,,13521,13521,,577058,,78540,,6658,,,10709,,280,,9500,,,9500,,,,,,,145783,722841
Kansai,1984,2796427,1231335,1373845,1541,,,67839,120340,,,,,,,,,,,,,1525,1039894,300455,383828,,44886,50875,82537,79742,54466,29901,8611,,,,,,19175,19175,,3855498,,449024,,56339,,,49435,,5433,,7000,,,35000,,,,,,,740547,4596045
Chugoku,1984,1099556,456300,582377,4562,,,46655,8903,,,,,,,,,,,,,757,335540,95883,99815,,41509,23863,27748,18584,16998,7864,1089,,,,,,,,,1435097,,174260,,13694,,,17039,,728,,13000,,,18000,,,,,,,282121,1717218
Shikoku,1984,623565,251620,327337,961,,26,22544,20864,,,,,,,,,,,,,209,173202,74200,34200,,7498,8793,14655,18547,8181,5844,422,,,,,,,,,796768,,103411,,4522,,,10491,,1324,,8000,,,5000,,,,,,,162053,958822
Kyushu,1984,1592223,640794,849918,3969,,34,65680,31639,,,,,,,,,,,,,186,452733,146973,112010,,35231,25220,53310,45471,11777,16099,4374,,,,,,,,,2044957,,224222,,22496,,,21867,,1904,,5000,,,15000,,,,,,,399674,2444631
Okinawa,1984,91041,,85617,,,,5423,,,,,,,,,,,,,,,27585,12686,,,4621,243,2865,5088,389,1027,619,,,,,,,,,118626,,14728,,,,,,,,,,,,,,,,,,,10150,128776
Hokkaido,1983,756910,304230,427673,4666,,,20277,,,,,,,,,,,,,,,153310,67131,25200,,12917,9576,16063,10298,8309,1937,1565,,,,,,338,338,,910559,,100000,,8534,,,9298,,276,,,,,,,,,,,,138852,1049412
Tohoku,1983,1494674,803725,619938,14672,,3,54836,624,,,,,,,,,,,,,713,390759,116692,118000,,40567,22393,31641,26721,15408,14666,2877,,,,,,13017,13017,,1898450,,240000,,27315,,,20702,,734,,,,,18000,,,,,,,383009,2281460
Tokyo,1983,5943125,2148079,3339904,34002,,22,134218,82663,,,,,,,,,,,,,203617,1578293,440588,408870,,112182,206918,146518,110819,50315,49666,42052,,,,,,28005,28005,,7549423,,650000,,43879,,,63532,,5722,,,,,37000,,,,,,,1023285,8572709
Chubu,1983,1644752,765075,745787,26745,,,78414,28420,,,,,,,,,,,,,,599449,170182,134000,,62073,24671,53147,82267,22695,43161,4561,,,,,,17228,17228,,2261430,,358000,,25571,,,34553,,1949,,,,,36000,,,,,,,575132,2836562
Hokuriku,1983,441475,203477,212191,1557,,,24181,,,,,,,,,,,,,,7,133380,50188,17250,,20134,5745,12175,18281,6543,2086,139,,,,,,18509,18509,,593364,,78540,,6658,,,9923,,247,,,,,9500,,,,,,,132412,725776
Kansai,1983,2641926,1193196,1292364,21341,,,63643,71032,,,,,,,,,,,,,,1022541,269185,360800,,81763,56010,73714,87943,49288,31071,9269,,,,,,34806,34806,,3699274,,443938,,50836,,,44996,,5419,,,,,35000,,,,,,,703838,4403112
Chugoku,1983,986942,427091,495517,6810,,,51192,6251,,,,,,,,,,,,,,311326,94113,71935,,37784,18345,25402,34012,16676,9460,1143,,,,,,,,,1298269,,174260,,13694,,,15296,,685,,,,,18000,,,,,,,263365,1561635
Shikoku,1983,631435,256312,338288,968,,26,22544,13235,,,,,,,,,,,,,,175295,67923,34200,,14394,7393,16910,18841,8102,5503,300,,,,,,,,,806731,,103168,,4250,,,9458,,1297,,,,,5000,,,,,,,152751,959482
Kyushu,1983,1509450,630751,795396,5822,,15,62565,14818,,,,,,,,,,,,,,425437,135289,97950,,35600,47223,47659,28929,12300,15229,3290,,,,,,2495,2495,,1937383,,224222,,22496,,,19624,,1869,,,,,15000,,,,,,,388243,2325626
Okinawa,1983,97456,1989,90336,,,,5131,,,,,,,,,,,,,,,20065,10440,,,2823,549,2564,1645,423,905,680,,,,,,,,,117522,,14728,,,,,,,,,,,,,,,,,,,5546,123069
Hokkaido,1982,705582,297240,382985,5046,,,20277,,,,,,,,,,,,,,,142461,57154,20400,,14178,9234,15327,14751,7840,2000,1296,,,,,,3580,3580,,851624,,100000,,8534,,,8298,,167,,,,,,,,,,,,134334,985959
Tohoku,1982,1385414,784383,524821,18493,,4,56614,,,,,,,,,,,,,,1016,337275,100268,95500,,48344,14779,29467,17463,15162,10206,4346,,,,,,13125,13125,,1735815,,240000,,27315,,,18302,,492,,,,,18000,,,,,,,367092,2102908
Tokyo,1982,5567881,2111686,3070620,58773,,4,134218,30269,,,,,,,,,,,,,162000,1363290,404307,362370,,136591,104405,123212,95089,49104,32782,46589,,,,,,17165,17165,,6948338,,650000,,43879,,,57032,,3391,,,,,37000,,,,,,,966486,7914824
Chubu,1982,1678688,819091,737264,32408,,1,78414,11251,,,,,,,,,,,,,100,551091,151971,161000,,61756,30261,49198,28720,22856,36585,6639,,,,,,15438,15438,,2245218,,293760,,8846,,,31294,,1157,,,,,36000,,,,,,,534742,2779961
Hokuriku,1982,460743,225922,209362,1239,,,24181,,,,,,,,,,,,,,7,101143,40778,16650,,15322,4079,11412,3776,6150,1313,952,,,,,,13803,13803,,575690,,78540,,6658,,,9137,,122,,,,,9500,,,,,,,122043,697733
Kansai,1982,2546280,1179216,1221805,46473,,,67948,30658,,,,,,,,,,,,,,906348,282037,330800,,63929,43130,68378,34563,44839,25497,10376,,,,,,22152,22152,,3474781,,438732,,44729,,,40784,,3553,,,,,35000,,,,,,,670038,4144820
Chugoku,1982,954809,429118,470379,7243,,,46504,1523,,,,,,,,,,,,,,248747,75089,63975,,32240,9546,24001,16792,15852,7077,2079,,,,,,1039,1039,,1204597,,174260,,13694,,,13552,,310,,,,,18000,,,,,,,248162,1452759
Shikoku,1982,616586,254927,331433,975,,26,23712,5482,,,,,,,,,,,,,,185754,79740,32600,,13000,13293,16973,15613,7993,4774,1081,,,,,,4075,4075,,806416,,103166,,4247,,,8426,,857,,,,,5000,,,,,,,143246,949663
Kyushu,1982,1426061,616306,730027,8172,,,65076,6439,,,,,,,,,,,,,,361043,121793,87850,,33383,29696,40224,19975,12955,11184,2335,,,,,,935,935,,1788040,,222639,,21955,,,17389,,1194,,,,,15000,,,,,,,366167,2154208
Okinawa,1982,104714,2262,97621,,,,4830,,,,,,,,,,,,,,,18884,10354,,,2909,952,2666,652,399,706,214,,,,,,,,,123598,,14728,,,,,,,,,,,,,,,,,,,-390,123208
Hokkaido,1981,662190,296980,339601,5331,,,20277,,,,,,,,,,,,,,,126773,46467,16400,,15121,9479,14667,12618,7471,2282,1967,,,,,,,3999,,793854,,76469,,6325,,,7145,,170,,,,,,,,,,,,102828,896682
Tohoku,1981,1174670,671130,421649,23915,,1,56614,,,,,,,,,,,,,,1360,315487,84366,73000,,59953,21060,27666,15544,14856,14248,3225,,,,,,,17118,,1522493,,240000,,27315,,,16000,,511,,,,,18000,,,,,,,345063,1867556
Tokyo,1981,5135184,2074712,2705061,102541,,19,134218,4033,,,,,,,,,,,,,114600,1220275,324527,339070,,113523,146647,123341,28391,48014,39120,49301,,,,,,,16236,,6449254,,650000,,43880,,,50532,,3463,,,,,43500,,,,,,,849586,7298840
Chubu,1981,1574528,785500,666448,39194,,,78414,4971,,,,,,,,,,,,,,486022,128081,130000,,58659,24321,46130,32555,22757,33929,7792,,,,,,,13760,,2083103,,293760,,8846,,,28357,,1176,,,,,36000,,,,,,,423310,2506413
Hokuriku,1981,428596,209090,194079,1242,,,24181,,,,,,,,,,,,,,5,99326,33690,14800,,24680,1891,10740,4213,6079,1555,1022,,,,,,,17799,,546456,,78540,,6658,,,8352,,124,,,,,9500,,,,,,,120645,667101
Kansai,1981,2429358,1161413,1109421,75242,,,67949,15333,,,,,,,,,,,,,,807279,229302,285800,,75552,38380,67325,30660,43364,23718,10363,,,,,,,25949,,3301876,,359734,,28987,,,37187,,3611,,,,,35000,,,,,,,519339,3821215
Chugoku,1981,934146,426585,454300,8541,,,43102,1619,,,,,,,,,,,,,,236667,60770,60015,,40619,13925,24242,9742,14718,7772,2451,,,,,,,3962,,1176252,,174260,,13695,,,11949,,316,,,,,18000,,,,,,,243477,1419729
Shikoku,1981,600335,247760,320517,5874,,26,23712,2446,,,,,,,,,,,,,,146246,60233,29800,,10292,10925,14008,7491,7811,4592,355,,,,,,,4769,,753032,,103164,,4245,,,7395,,872,,,,,5000,,,,,,,136523,889555
Kyushu,1981,1240334,544372,619326,13558,,6,59457,3609,,,,,,,,,,,,,7,341321,107897,69980,,42965,34279,35844,20070,14333,11943,1840,,,,,,,3126,,1625323,,220831,,21337,,,15274,,1212,,,,,15000,,,,,,,309699,1935022
Okinawa,1981,104,3,97,,,,4,,,,,,,,,,,,,,,18,9,,,5,1,2,1,,,,,,,,,,,,122,,14728,,,,,,,,,,,,,,,,,,,-1,121
Hokkaido,1980,596187,282040,288289,5578,,2,20277,,,,,,,,,,,,,,1,101671,35867,10600,,14693,8420,12766,9766,6763,1542,1063,,,,,,,,,698837,,74970,,7825,,,6545,,131,,,,,,,,,,,,98016,796853
Tohoku,1980,1011130,567540,357042,28176,,,56614,,,,,,,,,,,,,,1758,334446,81597,58500,,60665,16786,23693,56507,14694,9559,9609,,,,,,,3411,,1358338,,182070,,21293,,,13269,,485,,,,,,,,,,,,269261,1627599
Tokyo,1980,4549794,1971092,2270372,144105,,5,134218,,,,,,,,,,,,,,30000,1209668,253485,308670,,121618,130225,110511,148229,50686,36489,41225,,,,,,,5091,,5864157,,520200,,29397,,,42729,,2194,,,,,,,,,,,,725426,6589584
Chubu,1980,1480136,737720,615235,48635,,1,78414,,,,,,,,,,,,,,130,492664,99554,98000,,63166,38011,43215,83775,22947,35476,6833,,,,,,,8749,,1984192,,293760,,8846,,,23950,,747,,,,,,,,,,,,417654,2401846
Hokuriku,1980,398625,192155,176708,5576,,,24181,,,,,,,,,,,,,,5,114906,25042,12950,,25001,8432,10594,22647,6002,1745,827,,,,,,,8828,,523084,,78540,,6658,,,7173,,75,,,,,,,,,,,,119077,642162
Kansai,1980,2221765,1074308,992250,87257,,,67949,,,,,,,,,,,,,,,764880,171652,243800,,65005,35823,61456,109492,41678,24720,8360,,,,,,,14443,,3033337,,359682,,28925,,,31791,,2597,,,,,,,,,,,,519247,3552584
Chugoku,1980,803744,385430,367031,8198,,,43085,,,,,,,,,,,,,,,253181,57457,47097,,42031,13187,22292,41764,14530,7710,4860,,,,,,,5073,,1063287,,132794,,8645,,,9958,,139,,,,,,,,,,,,192602,1255889
Shikoku,1980,540532,223476,285285,8033,,26,23712,,,,,,,,,,,,,,,156808,49160,25300,,18305,10357,12495,21474,7250,4639,7129,,,,,,,5811,,719183,,102834,,3874,,,6022,,660,,,,,,,,,,,,135292,854475
Kyushu,1980,1114550,493793,543645,18494,,,58611,,,,,,,,,,,,,,8,339109,102307,55830,,35946,29451,32941,50723,17487,10751,2339,,,,,,,8104,,1494185,,174839,,15643,,,12649,,880,,,,,,,,,,,,251186,1745371
Okinawa,1980,101,3,94,,,,4,,,,,,,,,,,,,,,17,8,1,,4,1,2,1,,,,,,,,,,,,119,,14728,,,,,,,,,,,,,,,,,,,-2,117
Hokkaido,1979,497009,230980,241274,4393,,2,20356,,,,,,,,,,,,,,4,87745,32180,6300,,15504,11043,10509,2232,6822,944,2024,,,,,,,373,,586016,,73500,,9295,,,6104,,126,,,,,,,,,,,,95091,681107
Tohoku,1979,893806,500200,295260,39552,,1,56555,,,,,,,,,,,,,,2239,237899,57231,50500,,55767,13369,19820,3960,13985,5462,16754,,,,,,,1560,,1134396,,178500,,24863,,,12733,,342,,,,,7500,,,,,,,225196,1359592
Tokyo,1979,3946977,1779533,1867669,165542,,14,134218,,,,,,,,,,,,,,,1055785,280412,296170,,124041,124515,88678,16539,52528,23867,42912,,,,,,,,,5056670,,510000,,39597,,,41199,,1451,,,,,42000,,,,,,,610982,5667652
Chubu,1979,1398212,705420,563526,50752,,,78414,,,,,,,,,,,,,,99,399333,108732,86000,,54133,37634,37683,8840,24506,36233,4518,,,,,,,467,,1798546,,288000,,14606,,,23086,,534,,,,,20500,,,,,,,336418,2134964
Hokuriku,1979,372298,182120,160216,5552,,,24406,,,,,,,,,,,,,,4,84139,22946,11500,,21446,8087,9441,1503,6360,1317,775,,,,,,,713,,457452,,77000,,8198,,,6865,,71,,,,,3300,,,,,,,99535,556987
Kansai,1979,2107372,1006368,929892,103164,,,67949,,,,,,,,,,,,,,,649377,161703,243900,,74775,35834,51811,10037,41081,17509,11154,,,,,,,336,,2769222,,352619,,35965,,,30733,,1177,,,,,22000,,,,,,,434201,3203423
Chugoku,1979,730299,348585,329629,9092,,,42993,,,,,,,,,,,,,,,195103,43709,47772,,48429,8225,18325,3459,13192,5601,4362,,,,,,,,,925402,,130190,,11249,,,9567,,,,,,,11000,,,,,,,155750,1081152
Shikoku,1979,487677,200448,254038,9453,,26,23712,,,,,,,,,,,,,,,134070,45705,36361,,16733,6067,10428,2177,7641,3693,4800,,,,,,,2374,,634731,,80398,,4950,,,5700,,289,,,,,2800,,,,,,,98043,732774
Kyushu,1979,1016572,446748,482512,28693,,,58611,,,,,,,,,,,,,,9,279863,84982,64180,,40933,23203,28230,5057,21716,7582,3002,,,,,,,,,1314524,,170619,,18690,,,12137,,272,,,,,7900,,,,,,,209151,1523676
Okinawa,1979,83,3,76,,,,4,,,,,,,,,,,,,,,18,8,2,,4,1,2,,,,,,,,,,,,,101,,14728,,,,,,,,,,,,,,,,,,,,102
Hokkaido,1978,403536,183720,194843,4393,,1,20575,,,,,,,,,,,,,,4,67672,27170,3000,,7814,8091,9508,3702,6350,740,1167,,,,,,,,,472013,,73500,,9295,,,5737,,81,,,,,,,,,,,,98283,570297
Tohoku,1978,733240,406480,246108,21916,,,55957,,,,,,,,,,,,,,2779,211058,48291,43000,,28858,10732,18442,15057,13700,7041,24984,,,,,,,,,946024,,178500,,24863,,,11479,,342,,,,,3000,,,,,,,245894,1191917
Tokyo,1978,3163224,1427961,1458688,147285,,a,129290,,,,,,,,,,,,,,,911796,212332,252000,,67519,120744,83620,52138,54112,30591,33868,,,,,,,,,4118126,,510000,,39597,,,37119,,803,,,,,16000,,,,,,,685398,4803524
Chubu,1978,1194925,626570,449257,43739,,1,75066,,,,,,,,,,,,,,292,326729,83272,70000,,29904,27410,34983,20233,26023,27975,6002,,,,,,,,,1524924,,221391,,4189,,,21115,,284,,,,,7500,,,,,,,380269,1905193
Hokuriku,1978,292453,133805,128724,5598,,,24322,,,,,,,,,,,,,,4,81751,19855,10000,,10598,6316,7871,7005,6268,1176,10976,,,,,,,15,,374780,,58930,,5912,,,6393,,71,,,,,1800,,,,,,,87649,462429
Kansai,1978,1919952,916127,821720,115840,,,66266,,,,,,,,,,,,,,,570130,138928,177800,,48963,53152,57013,24397,38272,19937,9839,,,,,,,,,2504924,,293607,,35434,,,28384,,633,,,,,9000,,,,,,,417015,2921939
Chugoku,1978,567946,273920,237375,10408,,,46243,,,,,,,,,,,,,,,146432,42450,31444,,18940,8667,16249,6593,12094,6318,2589,,,,,,,,,715714,,130190,,11249,,,8525,,176,,,,,4500,,,,,,,182208,897922
Shikoku,1978,411800,175715,202786,11576,,26,21697,,,,,,,,,,,,,,,91543,34582,18800,,6602,6678,8503,4642,7040,4124,179,,,,,,,575,,514118,,80134,,4574,,,5058,,169,,,,,1000,,,,,,,103046,617164
Kyushu,1978,820433,364850,380601,17956,,,57016,,,,,,,,,,,,,,10,222569,76642,34245,,20107,22772,26540,10248,20874,7504,2530,,,,,,,,,1061746,,128920,,10649,,,10981,,272,,,,,2000,,,,,,,223945,1285691
Okinawa,1978,76,3,68,1,,,4,,,,,,,,,,,,,,,13,7,1,,1,1,1,,,,1,,,,,,,,,89,,14728,,,,,,,,,,,,,,,,,,,4,94
Hokkaido,1977,329163,152370,157056,47,,1,19686,,,,,,,,,,,,,,4,65190,29943,1000,,6402,5274,8776,6249,5847,712,856,,,,,,,,,395017,,56567,,6648,,,5171,,20,,,,,,,,,,,,77154,472171
Tohoku,1977,622394,348315,211771,5178,,,53716,,,,,,,,,,,,,,3415,216884,60811,38000,,40687,11553,17007,13953,13240,4811,16170,,,,,,,,,840628,,136631,,17463,,,10113,,135,,,,,,,,,,,,184367,1024995
Tokyo,1977,2427741,1179767,1096222,29030,,12,122707,,,,,,,,,,,,,,2,885237,242925,208000,,77110,127224,73715,44404,56106,24224,27411,,,,,,,,,3342013,,408959,,21952,,,32777,,112,,,,,,,,,,,,527599,3869613
Chubu,1977,999384,541080,384865,2414,,,70760,,,,,,,,,,,,,,266,331797,108374,50000,,31579,27514,32166,24805,26894,23743,5846,,,,,,,4504,,1349947,,221391,,4189,,,18901,,36,,,,,,,,,,,,282527,1632474
Hokuriku,1977,234122,105010,107733,27,,,21348,,,,,,,,,,,,,,4,83045,29525,9500,,12747,3906,7424,7865,5702,1135,4838,,,,,,,2104,,319705,,58930,,5912,,,5804,,13,,,,,,,,,,,,80673,400378
Kansai,1977,1504974,741652,687490,14111,,,61720,,,,,,,,,,,,,,,557300,181302,146000,,54404,39354,47945,26068,34878,15578,10332,,,,,,,5593,,2082756,,293330,,35025,,,25450,,88,,,,,,,,,,,,399833,2482589
Chugoku,1977,475155,234705,188467,42,,,51941,,,,,,,,,,,,,,,152568,48115,24444,,23951,11158,15715,9808,11370,5937,1199,,,,,,,91,,628807,,94582,,7562,,,7401,,52,,,,,,,,,,,,167853,796660
Shikoku,1977,343579,149513,173571,1329,,,19143,,,,,,,,,,,,,,23,93150,37838,17300,,7010,4264,9598,7150,6165,3149,173,,,,,,,3087,,446655,,61820,,1877,,,4349,,13,,,,,,,,,,,,98310,544965
Kyushu,1977,651874,287829,309313,377,,,54343,,,,,,,,,,,,,,11,212363,73837,27020,,25232,15589,23908,15213,18958,7079,2263,,,,,,,,,872800,,127424,,9782,,,9703,,52,,,,,,,,,,,,167688,1040488
Okinawa,1977,77,4,68,2,,,4,,,,,,,,,,,,,,,12,6,1,,2,,1,,,,,,,,,,a,,,89,,14728,,,,,,,,,,,,,,,,,,,2,90
Hokkaido,1976,278782,137833,121221,844,,1,18880,,,,,,,,,,,,,,4,56686,23523,,,7871,4756,7516,5532,5542,663,1159,,,,,,,1771,,337321,,56567,,6648,,,4605,,,,,,,,,,,,,,72381,409702
Tohoku,1976,575694,323745,191588,5504,,2,50692,,,,,,,,,,,,,,4163,184109,50465,28000,,39462,7816,15870,11517,12294,4335,13733,,,,,,,796,,760859,,136631,,17463,,,8746,,29,,,,,,,,,,,,174072,934932
Tokyo,1976,2019021,982151,883491,41215,,a,112160,,,,,,,,,,,,,,4,739465,237380,109000,,90986,97608,66940,37122,56356,20422,20006,,,,,,,4297,,2776790,,408959,,21952,,,28687,,58,,,,,,,,,,,,493451,3270241
Chubu,1976,890599,495126,324749,5052,,1,65209,,,,,,,,,,,,,,461,289807,83640,50000,,31229,16570,29483,19703,24540,29136,4646,,,,,,,9343,,1195854,,221391,,4189,,,16687,,,,,,,,,,,,,,261143,1456997
Hokuriku,1976,228815,102252,106608,29,,,19924,,,,,,,,,,,,,,3,67759,26502,9500,,9392,3031,7006,5315,5065,1143,430,,,,,,,7415,,304065,,58930,,5912,,,5214,,,,,,,,,,,,,,74941,379006
Kansai,1976,1385737,675366,625848,19566,,,64957,,,,,,,,,,,,,,,483019,150245,117000,,63992,33049,43015,21134,30949,14117,8107,,,,,,,16688,,1889508,,293330,,35025,,,22517,,44,,,,,,,,,,,,376555,2266063
Chugoku,1976,422250,206572,160840,54,,,54772,,,,,,,,,,,,,,11,123396,32503,21374,,22966,6217,13405,9239,11135,4155,1307,,,,,,,2661,,548532,,94582,,7562,,,6455,,30,,,,,,,,,,,,116488,665021
Shikoku,1976,303177,140049,142907,2020,,,18202,,,,,,,,,,,,,,,76152,31168,13800,,7776,2522,7530,5376,5679,1866,97,,,,,,,3946,,385602,,61818,,1876,,,3731,,,,,,,,,,,,,,73113,458715
Kyushu,1976,604835,263679,290196,333,,,50616,,,,,,,,,,,,,,11,171739,56229,25400,,23422,11744,19724,10260,17290,5155,1557,,,,,,,1530,,780712,,101620,,14360,,,8559,,30,,,,,,,,,,,,154609,935321
Okinawa,1976,68,4,58,3,,,3,,,,,,,,,,,,,,,13,4,4,,2,1,2,,,,,,,,,,,,,81,,14728,,,,,,,,,,,,,,,,,,,1,82
Hokkaido,1975,225008,110164,95874,846,,1,18120,,,,,,,,,,,,,,4,42062,17376,,,6237,3720,6435,2218,4579,618,798,,,,,,,4331,,271400,,55452,,7763,,,4160,,,,,,,,,,,,,,69843,341243
Tohoku,1975,476914,247951,167290,8355,,a,48291,,,,,,,,,,,,,,5026,134476,39365,24000,,24518,4413,12757,5464,10347,2753,10455,,,,,,,,,611390,,133939,,20155,,,7669,,,,,,,,,,,,,,167731,779121
Tokyo,1975,1768078,797648,800744,67436,,10,102233,,,,,,,,,,,,,,6,547793,181023,84000,,71353,52620,49822,23702,55388,13175,13962,,,,,,,1883,,2317755,,400899,,3010,,,25464,,,,,,,,,,,,,,478500,2796255
Chubu,1975,756937,423171,266001,7527,,1,59672,,,,,,,,,,,,,,565,242535,63559,50000,,27592,20644,22842,12395,20448,21202,3210,,,,,,,4613,,1004084,,217028,,8551,,,14941,,,,,,,,,,,,,,252136,1256220
Hokuriku,1975,223476,98705,103526,2625,,,18618,,,,,,,,,,,,,,3,53256,19001,8900,,7774,2189,6574,2139,3770,1611,831,,,,,,,3072,,279804,,57769,,7073,,,4748,,,,,,,,,,,,,,72139,351944
Kansai,1975,1262092,597252,567112,30760,,,66968,,,,,,,,,,,,,,,370760,105030,100000,,56318,21277,36905,10279,24173,9940,5369,,,,,,,9650,,1642502,,287550,,40805,,,20244,,,,,,,,,,,,,,363478,2005980
Chugoku,1975,349857,162100,127560,1675,,,58523,,,,,,,,,,,,,,,107244,30367,21166,,20202,5180,10858,3237,9950,3217,1405,,,,,,,1814,,459159,,92718,,9426,,,5709,,,,,,,,,,,,,,112293,571453
Shikoku,1975,254867,120848,113300,3539,,,17180,,,,,,,,,,,,,,,62281,19858,12900,,9166,2736,6984,3908,4451,1579,448,,,,,,,2317,,319982,,60600,,3094,,,3244,,,,,,,,,,,,,,70578,390560
Kyushu,1975,507474,218279,241961,533,,,46691,,,,,,,,,,,,,,11,144474,44746,18200,,23561,12228,17476,5936,15178,4549,1952,,,,,,,367,,652315,,99603,,16351,,,7757,,,,,,,,,,,,,,129090,781405
Okinawa,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14728,,,,,,,,,,,,,,,,,,,,
Hokkaido,1974,163276,87510,74914,848,,1,15944,,,,,,,,,,,,,,3,35384,14430,,,5340,2697,5433,2312,3728,369,1019,,,,,,18937,2993,,217597,,36360,,12311,,,3819,,,,,,,,,,,,,,54284,271881
Tohoku,1974,353705,195575,143662,8658,,3,43071,,,,,,,,,,,,,,5807,117396,36894,18000,,21207,4056,11260,6575,9017,3136,6870,,,,,,44430,253,,515531,,101000,,28612,,,6857,,285,,,,,,,,,,,,142137,657668
Tokyo,1974,1477839,681641,745371,50819,,a,88173,,,,,,,,,,,,,,8,540440,139626,104800,,68831,75458,46223,20657,55763,11213,15270,,,,,,89747,1574,,2108026,,306030,,51432,,,22465,,,,,,,,,,,,,,396700,2504726
Chubu,1974,608173,368470,229986,8782,,1,52233,,,,,,,,,,,,,,675,214484,54200,45000,,32506,12751,18987,9918,17709,19659,3076,,,,,,54965,2052,,877621,,159580,,21317,,,13216,,,,,,,,,,,,,,246363,1123984
Hokuriku,1974,188044,91038,94345,2626,,,16251,,,,,,,,,,,,,,3,48678,17471,7700,,6780,2100,5793,2098,3573,2354,568,,,,,,17030,779,,253753,,43562,,10721,,,4397,,,,,,,,,,,,,,60844,314597
