Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Kansai,1996,4296862,1450382,1931724,19701,,,104791,338042,,,150384,,,,,,,,,,28567,1306651,353689,488700,,51735,89347,130658,75019,3111,93481,18655,,,,,,,,,5603513,,489320,,65463,,,106669,,57,,207000,,,25000,,,,,,,1049923,6653437
Chugoku,1996,1866207,995747,709234,4498,,,52223,51066,,,30141,,,,,,,,,,7545,577317,145453,218717,39000,25145,31021,56729,16236,20976,20926,2528,,,,,,,,,2443524,,185527,,16676,,,38635,,29,,57000,,,39500,,,,,,,400021,2843545
Shikoku,1996,871208,319994,403747,2657,,,28416,62154,,,36285,,,,,,,,,,17953,204014,80504,51600,,9222,11568,24699,9747,642,14359,1479,,,,,,,,,1075223,,145551,,35140,,,26182,,21,,45000,,,5000,,,,,,,328963,1404186
Kyushu,1996,2547435,1054689,1177707,6979,,37,79091,142071,,,68009,,,,,,,,,,522,833579,276582,290000,,25539,63307,103248,22844,10260,35235,5452,,,,,,,,,3381014,,237304,,31087,,,49664,,33,,100300,,,45000,,,,,,,611586,3992601
Okinawa,1996,227669,2000,217569,,,,8099,,,,,,,,,,,,,,,42680,21409,,,3484,3348,5265,1690,366,7105,9,,,,,,,,,270349,,7437,,7290,,,573,,,,9000,,,27000,,,,,,,53178,323528
Hokkaido,1995,775227,371812,338509,2415,,,24135,21032,,,13907,,,,,,,,,,,296851,95186,100950,17000,10197,14234,27117,20690,520,9307,1558,,,,,,9629,9629,,1081709,,114291,,20826,,,21867,,32,,12500,,,41500,,,,,,,254783,1336492
Tohoku,1995,2376656,1292529,874020,3518,,12,61072,24466,,,12353,,,,,,,,,,89307,671983,151250,227298,,49707,58215,80688,33999,24602,41091,3652,,,,,,6108,6108,,3054748,,251441,,26497,,,50147,,49,,103000,,,36000,,,,,,,590197,3644946
Tokyo,1995,9605874,4453933,3832506,36621,,10,145836,633718,,,214253,,,,,,,,,,110562,2797055,954515,707308,130000,149925,306247,271789,120460,6251,125487,21757,,,,,,4314,4314,,12407244,,676433,,19013,,,142905,,141,,295200,,,37000,,,,,,,1393152,13800396
Chubu,1995,3894066,2071133,1395528,27780,,,114239,135774,,,51153,,,,,,,,,,,1183850,322500,427018,,58322,124189,110680,41960,27665,60097,11393,,,,,,,,,5077917,,372693,,12421,,,78318,,113,,273000,,,23000,,,,,,,906292,5984209
Hokuriku,1995,875885,457888,372519,1954,,,28290,7074,,,3399,,,,,,,,,,29,281036,125899,53680,30000,15047,8466,21764,17070,602,7500,1004,,,,,,9696,9696,,1166618,,117641,,33993,,,22000,,30,,51500,,,9500,,,,,,,288482,1455101
Kansai,1995,4164822,1467372,1800270,21667,,,108598,351655,,,140684,,,,,,,,,,1305,1372917,364765,488700,,46812,88389,173140,73383,3715,94419,21133,,,,,,,,,5537739,,489319,,65462,,,101761,,85,,207000,,,25000,,,,,,,1055156,6592895
Chugoku,1995,1693405,862374,662953,5083,,,54562,61264,,,28138,,,,,,,,,,3278,590353,165770,231217,,26746,28160,62198,23232,21567,25263,2694,,,,,,,,,2283759,,185527,,16676,,,36766,,43,,57000,,,33000,,,,,,,396044,2679804
Shikoku,1995,854828,349994,357519,3190,,,27503,62154,,,33234,,,,,,,,,,21231,197326,62890,50800,,9166,6054,28659,25429,920,12318,1046,,,,,,,,,1052154,,145551,,35140,,,24770,,32,,45000,,,5000,,,,,,,324173,1376328
Kyushu,1995,2538580,1075906,1153123,8518,,22,79434,139644,,,62942,,,,,,,,,,659,822894,261689,289000,,22840,48536,116267,28283,10152,41498,3664,,,,,,,,,3361474,,237303,,31086,,,47278,,49,,100300,,,30000,,,,,,,598560,3960035
Okinawa,1995,239030,5000,225978,,,,8048,,,,,,,,,,,,,,2,41092,18438,,,3620,4783,6241,2512,442,4854,198,,,,,,,,,280122,,7437,,7290,,,491,,,,9000,,,27000,,,,,,,53089,333212
Hokkaido,1994,775383,363638,354101,,,,23639,18673,,,11375,,,,,,,,,,537,279049,84059,100050,10000,10207,11021,28751,25608,484,7551,1244,,,,,,7156,7156,,1061589,,114291,,20825,,,20776,,47,,12500,,,24000,,,,,,,249378,1310968
Tohoku,1994,2149016,1186239,845784,,,1,60466,23997,,,10249,,,,,,,,,,2900,715764,170977,237298,,50847,67615,76557,45537,22161,41128,3638,,,,,,3783,3783,,2868563,,249562,,28376,,,47643,,71,,103000,,,18000,,,,,,,580355,3448919
Tokyo,1994,9587672,4482405,3843314,11092,,10,171005,625148,,,191495,,,,,,,,,,84038,2371180,717817,707458,,120292,232087,284776,159333,4069,119575,22209,,,,,,8394,8394,,11967247,,670415,,25031,,,136193,,245,,295200,,,37000,,,,,,,1412163,13379411
Chubu,1994,3702087,1948162,1339497,24625,,,110670,135620,,,45053,,,,,,,,,,,1158377,299168,402420,,42893,135574,107336,79484,25323,56425,9731,,,,,,2478,2478,,4862942,,369583,,15531,,,74596,,148,,273000,,,23000,,,,,,,899473,5762416
Hokuriku,1994,896700,470930,384748,621,,,27957,5409,,,2273,,,,,,,,,,29,232231,88639,60700,,12810,20690,23211,16090,382,8377,1329,,,,,,10142,10142,,1139074,,117641,,33992,,,20909,,43,,51500,,,9500,,,,,,,286887,1425961
Kansai,1994,4030042,1561198,1605685,6466,,,110192,339709,,,129193,,,,,,,,,,4327,1284215,332834,468700,,50840,73714,136845,53586,3152,84431,18645,,,,,,4907,4907,,5319165,,484781,,69999,,,96902,,180,,207000,,,35000,,,,,,,1055706,6374871
